
[00:00:00.000 --> 00:00:03.320]  我昔日可能大家都有同大家講過
[00:00:03.320 --> 00:00:06.400]  我係喺阿德萊德讀大學嘅
[00:00:06.400 --> 00:00:09.720]  喺阿德萊德讀大學呢
[00:00:09.720 --> 00:00:12.800]  身邊呢原來有唔少朋友呢係讀
[00:00:12.800 --> 00:00:16.120]  航空同埋讀飛行即係讀Aviation
[00:00:16.120 --> 00:00:19.720]  咁所以而家我身邊呢都有好多朋友就真係喺
[00:00:19.720 --> 00:00:23.040]  啲航空公司裏面呢佢哋就係揸飛機咁樣
[00:00:23.040 --> 00:00:24.320]  昔日呢
[00:00:24.320 --> 00:00:25.600]  小弟呢
[00:00:25.600 --> 00:00:29.440]  都係讀航天同埋機械工程
[00:00:29.440 --> 00:00:32.000]  飛機我就冇揸過啦
[00:00:32.000 --> 00:00:38.400]  咁但係呢我都稍稍有接觸過嘗試過呢啲叫做飛行嘅
[00:00:38.400 --> 00:00:40.960]  模擬器啲Flight Simulator
[00:00:40.960 --> 00:00:47.360]  我哋今日可能時常我哋都會揸車大家知道揸車嘅時候呢即使我哋喺
[00:00:47.360 --> 00:00:53.520]  黑夜裏面我哋打開嗰個車頭燈我哋就見到前面嘅路幫我哋去到
[00:00:53.520 --> 00:00:55.040]  變形方向
[00:00:55.040 --> 00:00:57.600]  但係如果我哋唔係揸車呀
[00:00:57.600 --> 00:00:59.380]  係揸飛機呢
[00:00:59.380 --> 00:01:03.480]  如果揸飛機嘅時候去到
[00:01:03.480 --> 00:01:09.880]  半空上面循航嘅高度嗰啲Cruising Attitude見到出面呢就係
[00:01:09.880 --> 00:01:12.180]  淨係白濛濛一片㗎啫
[00:01:12.180 --> 00:01:20.120]  又或者揸飛機嘅時候當天氣好差窗外變狂風暴雨甚至喺黑夜裏面
[00:01:20.120 --> 00:01:26.780]  究竟機師係點樣辨別即係嗰個飛機所在喺邊度同埋即係
[00:01:26.780 --> 00:01:32.920]  嗰個方向喺邊度以至嗰個飛機唔會好似盲頭蒼蠅一路一路咁樣
[00:01:32.920 --> 00:01:34.200]  亂咁飛嘅呢
[00:01:34.200 --> 00:01:35.740]  原來呢
[00:01:35.740 --> 00:01:42.140]  飛機就機師呢就要靠飛機呀機駕駛艙前面嘅飛行
[00:01:42.140 --> 00:01:43.420]  儀錶板
[00:01:43.420 --> 00:01:47.520]  幫佢去到變形方向究竟喺邊度
[00:01:47.520 --> 00:01:51.360]  我又要向邊度去到飛
[00:01:51.360 --> 00:01:54.940]  其實我哋作為信徒都一樣當我哋今日打開新聞
[00:01:54.940 --> 00:01:58.780]  見到經濟嘅動盪呀見到好多疾病嘅威脅
[00:01:58.780 --> 00:02:01.860]  見到地緣政治嘅衝突
[00:02:01.860 --> 00:02:06.980]  又或者係我哋自己身上當我哋可能打開自己嘅體檢報告
