
[00:00:00.000 --> 00:00:02.000]  我們一起中讀這十節聖經
[00:00:30.000 --> 00:00:32.000]  主持人:《聖經》中的第一句話:「我失去的羊剛在肩上。」
[00:00:32.000 --> 00:00:36.000]  主持人:「他回到家裡,請朋友和鄰舍來對他們說:
[00:00:36.000 --> 00:00:41.000]  『你們和我一同歡喜吧,我失去的羊已經找到了。』」
[00:00:41.000 --> 00:00:46.000]  主持人:「我告訴你們,一個罪人悔改,罪天上也要這樣為他歡喜,
[00:00:46.000 --> 00:00:50.000]  主持人:比為九十九個不用悔改的義人歡喜還大呢。」
[00:00:50.000 --> 00:00:56.000]  主持人:「同樣,哪一個婦人有十塊錢,又失落了一塊,不點上燈,
[00:00:56.000 --> 00:01:04.000]  主持人:打掃屋子,細細地找,直到找著呢?找到了,他就請朋友和鄰舍來對他們說:
[00:01:04.000 --> 00:01:09.000]  『你們和我一同歡喜吧,我失落的那塊錢已經找到了。』
[00:01:09.000 --> 00:01:15.000]  主持人:我告訴你們,一個罪人悔改,神的使者也是這樣為他歡喜。」
[00:01:15.000 --> 00:01:18.000]  主持人:請我們再一次同心,我們一同祈禱。
[00:01:18.000 --> 00:01:21.000]  主持人:天父,我們再一次感謝祢,給祢寶貴的話語,
[00:01:21.000 --> 00:01:28.000]  主持人:祢作為我們生命的指引,求祢藉著祢的話語去提醒、勸勉、挑戰、改變我們。
[00:01:28.000 --> 00:01:33.000]  主持人:求祢聖靈向我們每一個人說祢所說的話。
[00:01:33.000 --> 00:01:37.000]  主持人:我們這樣祈禱,奉耶穌名求,阿們。
[00:01:37.000 --> 00:01:44.000]  主持人:誰是真正的浪子?田家炳先生是香港很出名的一個慈善家和企業家。
[00:01:44.000 --> 00:01:52.000]  主持人:他在1982年創立了田家炳基金,做了不少慈善事業,無論是教育,
[00:01:52.000 --> 00:01:59.000]  主持人:所以你看到有很多田家炳小學、田家炳中學,還有醫療、衛生、社會福利,非常多貢獻。
[00:01:59.000 --> 00:02:06.000]  主持人:他差不多九十多歲了,最近他信了耶穌,在播道會恩福堂受洗禮。
[00:02:06.000 --> 00:02:14.000]  主持人:在洗禮期間,蘇永智牧師說過一句話,他說:好人信耶穌是相當難的。
[00:02:14.000 --> 00:02:21.000]  主持人:我對這句話,又同意又不同意。同意是什麼意思呢?
[00:02:21.000 --> 00:02:26.000]  主持人:的確是好人信耶穌是很難的。不同意是什麼呢?
[00:02:26.000 --> 00:02:29.000]  主持人:我覺得這句話要加一些註腳下去。
[00:02:29.000 --> 00:02:37.000]  主持人:首先我將好人改為自己覺得好人,或者自己都覺得以為自己是好人。
[00:02:37.000 --> 00:02:41.000]  主持人:第二,我將好難改為不可能。
[00:02:41.000 --> 00:02:47.000]  主持人:我的意思是一個自以為好人,他沒有這樣的需要信耶穌。
[00:02:47.000 --> 00:02:52.000]  主持人:就好像耶穌在路加福音第五章說,有病的人才看醫生。
[00:02:52.000 --> 00:02:59.000]  主持人:我的意思是要照做罪人,而不是照做義人。如果我覺得自己是一個義人,我自己是一個好人,我沒有這樣的需要。
[00:02:59.000 --> 00:03:06.000]  主持人:耶穌之所以反對法利賽人,不是因為他們是大壞蛋,不是因為他們是敗類。
[00:03:06.000 --> 00:03:13.000]  主持人:不少的法利賽人是德高望重,是高尚的道德,極之虔誠。
[00:03:13.000 --> 00:03:22.000]  主持人:但是耶穌責備他們是什麼呢?就是因為他們自以為義,他們以為自己是好人,沒有需要信耶穌。
[00:03:22.000 --> 00:03:29.000]  主持人:有時候我們會問,究竟我是不是一個好人呢?那就要看你跟誰比。
[00:03:29.000 --> 00:03:33.000]  主持人:如果我跟希特勒比,我肯定我是一個好人。
[00:03:33.000 --> 00:03:39.000]  主持人:如果我跟陳振聰比,或者有可能我是一個好人。
[00:03:39.000 --> 00:03:44.000]  主持人:但是如果我跟耶穌比,我肯定我是一個壞人,不是一個好人。
[00:03:44.000 --> 00:03:49.000]  主持人:好不好,看你用什麼尺碼,看你用什麼標準。
[00:03:49.000 --> 00:03:55.000]  主持人:耶穌形容我們是罪人,就是因為神用祂的尺碼,用祂的標準來量度。
[00:03:55.000 --> 00:04:02.000]  主持人:我們沒有辦法達到上帝給我們的標準,沒有辦法達到上帝給我們的規矩。
[00:04:02.000 --> 00:04:05.000]  主持人:我們全部是胖子,全部是不合格的。
[00:04:05.000 --> 00:04:13.000]  主持人:我很喜歡用這個例子來說明,散了會之後,我們來一個比賽,游泳比賽。
[00:04:13.000 --> 00:04:19.000]  主持人:游泳的目的地是哪裡呢?上海,或者范姑娘游泳很厲害的。
[00:04:19.000 --> 00:04:24.000]  主持人:她就決定,她已經操練了十幾二十年了,就準備游泳去上海。
[00:04:24.000 --> 00:04:29.000]  主持人:她就跳下去游泳去上海,我就知道我自己不行,一定是餵鯊魚的。
[00:04:29.000 --> 00:04:37.000]  主持人:所以我就一早投降,我就走去赤裸狗機場,買張機票,搭港龍,我就去到上海了。
[00:04:37.000 --> 00:04:44.000]  主持人:她永遠去不到上海,因為她是一個以為自己游泳很厲害的人,可以游到上海。
