
[00:00:00.000 --> 00:00:00.960]  弟子會早晨
[00:00:00.960 --> 00:00:03.720]  很高興能夠和大家在新一年的時間
[00:00:03.720 --> 00:00:06.680]  同心繼續去學習主的道理
[00:00:06.680 --> 00:00:09.360]  讓我們一起聆聽主導議先
[00:00:09.360 --> 00:00:10.760]  再次加上禱告
[00:00:10.760 --> 00:00:13.200]  讓神的靈與我們同在
[00:00:13.200 --> 00:00:13.760]  親愛的恩主
[00:00:13.760 --> 00:00:16.480]  多謝祢讓我們能夠再一次回來
[00:00:16.480 --> 00:00:19.200]  在祢寶貴的說話的面前
[00:00:19.200 --> 00:00:20.680]  同心去學習
[00:00:20.680 --> 00:00:22.400]  求祢與我們同在
[00:00:22.400 --> 00:00:25.880]  讓我們心思意念能夠隨著聖靈的引導
[00:00:25.880 --> 00:00:30.120]  在基督耶穌的救恩的基礎之下
[00:00:30.120 --> 00:00:32.920]  我們能夠一步一步地成長起來
[00:00:32.920 --> 00:00:34.680]  能夠在新的一年的裏面
[00:00:34.680 --> 00:00:36.760]  讓我們能夠更有智慧
[00:00:36.760 --> 00:00:38.880]  能夠活在主祢的當中
[00:00:38.880 --> 00:00:40.720]  活在主祢的面前
[00:00:40.720 --> 00:00:44.360]  並且活在上帝祢所安託的位置
[00:00:44.360 --> 00:00:47.080]  能夠在這個世界作明燈
[00:00:47.080 --> 00:00:49.880]  去讓人更多的認識主祢
[00:00:49.880 --> 00:00:51.760]  求主祢的幫助
[00:00:51.760 --> 00:00:53.000]  我們大家
[00:00:53.000 --> 00:00:55.960]  奉主耶穌的典草,Amen
[00:00:55.960 --> 00:00:59.480]  今天會和大家一起思想的經文是
[00:00:59.480 --> 00:01:02.200]  加拉太書的第五章
[00:01:02.200 --> 00:01:04.760]  從第十六節至第十八節
[00:01:04.760 --> 00:01:06.680]  簡單的三節的經文
[00:01:06.680 --> 00:01:10.200]  今天和大家一起說的主題就是
[00:01:10.200 --> 00:01:13.960]  實踐神子民真正的自由生活
[00:01:13.960 --> 00:01:19.040]  Practice the genuine freedom in the Holy Spirit
[00:01:19.040 --> 00:01:21.440]  好,讓我們先回到這段聖經的裏面
[00:01:21.440 --> 00:01:25.000]  讓我們一起熟悉一下這段經文所說的內容
[00:01:25.000 --> 00:01:27.360]  如果大家有聖經的話
[00:01:27.360 --> 00:01:31.280]  請一起打開加拉太書第五章
[00:01:31.280 --> 00:01:33.840]  第十六節至第十八節
[00:01:33.840 --> 00:01:35.680]  加拉太書的第五章
[00:01:35.680 --> 00:01:37.680]  第十六節至第十八節
[00:01:37.680 --> 00:01:42.880]  我說:你們當信著聖靈而行
[00:01:42.880 --> 00:01:45.640]  就不放縱肉體的情慾了
[00:01:45.640 --> 00:01:48.640]  因為情慾和聖靈相爭
[00:01:48.640 --> 00:01:51.240]  聖靈和情慾相爭
[00:01:51.240 --> 00:01:54.280]  這兩個是彼此相敵
[00:01:54.280 --> 00:01:57.760]  使你們不能做所願意做的
[00:01:57.760 --> 00:02:00.360]  但你們若被聖靈引導
[00:02:00.360 --> 00:02:03.000]  就不再律法而下
[00:02:03.000 --> 00:02:08.040]  不知道大家有沒有去過動物園看動物
[00:02:08.040 --> 00:02:11.680]  其實很多時候我們去到動物園的時候
[00:02:11.680 --> 00:02:16.920]  都會看到動物放在一個很大的籠裏面
[00:02:16.920 --> 00:02:21.960]  或者是放在一個有圍欄圍住的
