
[00:00:00.000 --> 00:00:01.500]  只能每一次的第二講
[00:00:01.500 --> 00:00:03.040]  今天我們要講的是
[00:00:03.040 --> 00:00:05.520]  「不要浪費生命」
[00:00:05.520 --> 00:00:09.040]  這個題目裡面
[00:00:09.040 --> 00:00:10.920]  我不知道你們看到最重要的兩個字
[00:00:10.920 --> 00:00:12.040]  是哪兩個字呢?
[00:00:12.040 --> 00:00:14.840]  有人看到是「不要」
[00:00:14.840 --> 00:00:16.500]  有人看到「浪費」
[00:00:16.500 --> 00:00:17.880]  有人看到「生命」
[00:00:17.880 --> 00:00:20.240]  其實這六個字都是同樣重要
[00:00:20.240 --> 00:00:22.720]  不過我們先從中間兩個字開始說起
[00:00:22.720 --> 00:00:25.160]  什麼叫做「浪費」呢?
[00:00:25.160 --> 00:00:29.040]  「浪費」難免不會想起
[00:00:29.040 --> 00:00:32.120]  每天我們都接觸到的水和電
[00:00:32.120 --> 00:00:33.680]  我們經常在生活裡面
[00:00:33.680 --> 00:00:35.800]  都會很常用到水和電
[00:00:35.800 --> 00:00:37.880]  在北美洲這麼豐富的國家裡面
[00:00:37.880 --> 00:00:39.120]  水電從來都不是一個問題
[00:00:39.120 --> 00:00:40.160]  禁制就有水
[00:00:40.160 --> 00:00:41.680]  禁制就有電
[00:00:41.680 --> 00:00:44.440]  特別是如果你是租用人家的地方
[00:00:44.440 --> 00:00:46.640]  包水電的地方就會怎樣呢?
[00:00:46.640 --> 00:00:48.040]  我不知道你是否其中一個
[00:00:48.040 --> 00:00:49.760]  是那種習慣的人
[00:00:49.760 --> 00:00:51.360]  開燈就不關燈的
[00:00:51.360 --> 00:00:53.000]  水喉沙不沙
[00:00:53.000 --> 00:00:54.160]  滴水都可以去的
[00:00:54.160 --> 00:00:56.440]  反正都不是自己的錢
[00:00:56.440 --> 00:00:58.320]  很多時候在模型中
[00:00:58.320 --> 00:01:01.800]  就會在生活上很多不必要的浪費
[00:01:01.800 --> 00:01:05.400]  我記得有一對年輕人
[00:01:05.400 --> 00:01:07.000]  跟他出去吃飯的時候
[00:01:07.000 --> 00:01:08.440]  他們夫婦二人
[00:01:08.440 --> 00:01:09.560]  通常我們吃餐的時候
[00:01:09.560 --> 00:01:13.160]  就知道每個人面前都有一張紙巾
[00:01:13.160 --> 00:01:14.840]  這對夫婦的年輕夫婦
[00:01:14.840 --> 00:01:17.400]  很小心地把其中一張紙巾摺起來
[00:01:17.400 --> 00:01:18.520]  就收好它
[00:01:18.520 --> 00:01:20.600]  剩下一張紙巾就撕開一半
[00:01:20.600 --> 00:01:21.800]  每人用一半
[00:01:21.800 --> 00:01:24.040]  很節省時間
[00:01:24.040 --> 00:01:27.000]  我就很欣賞這對年輕夫婦
[00:01:27.000 --> 00:01:30.880]  另外有一對夫婦跟他吃飯的時候
[00:01:30.880 --> 00:01:31.880]  都會怎樣呢?
[00:01:31.880 --> 00:01:35.040]  吃完飯之後桌上剩下的兩三張紙巾
[00:01:35.040 --> 00:01:36.880]  都會收起來帶回家
[00:01:36.880 --> 00:01:37.800]  我問他為什麼
[00:01:37.800 --> 00:01:40.440]  因為在加拿大吃飯
[00:01:40.440 --> 00:01:43.600]  剩下的紙巾是不會拿回去給下一個客人用的
[00:01:43.600 --> 00:01:45.040]  通常都會丟掉
[00:01:45.040 --> 00:01:46.120]  他說不要浪費
[00:01:46.120 --> 00:01:48.040]  拿回家用也好
[00:01:48.040 --> 00:01:50.400]  他的太太發覺是
[00:01:50.400 --> 00:01:52.840]  通常人時發覺他在吃飯的時候
[00:01:52.840 --> 00:01:56.240]  最後又會叫侍應拿多幾張紙巾來
[00:01:56.240 --> 00:01:58.120]  我發覺他還有需要用紙巾
[00:01:58.120 --> 00:01:59.240]  他說還有需要
[00:01:59.240 --> 00:02:00.120]  不要浪費
[00:02:00.120 --> 00:02:01.080]  不要浪費什麼呢?
[00:02:01.080 --> 00:02:02.360]  不要浪費付了的錢
[00:02:02.360 --> 00:02:05.520]  總會有付出的
[00:02:05.520 --> 00:02:08.000]  希望值回票價
[00:02:08.000 --> 00:02:12.040]  今天我們有兩節經文
[00:02:12.040 --> 00:02:14.600]  我們先看第二節的經文
[00:02:14.600 --> 00:02:18.480]  求主來指教我們如何數算自己的日子
[00:02:18.480 --> 00:02:20.760]  好讓我們得著智慧的心
[00:02:20.760 --> 00:02:22.640]  今天我和大家一起去數算
[00:02:22.640 --> 00:02:23.440]  不只是你們數
[00:02:23.440 --> 00:02:24.600]  我也要一起去數
[00:02:24.600 --> 00:02:29.200]  數算我們的日子如何得到智慧的心
[00:02:29.200 --> 00:02:32.960]  我就從三個方面來數算浪費這個問題
[00:02:32.960 --> 00:02:35.440]  有明知故犯的浪費
[00:02:35.440 --> 00:02:38.080]  有視而不見的浪費
[00:02:38.080 --> 00:02:43.760]  也有些不能輕忽的浪費
[00:02:43.760 --> 00:02:49.960]  第一個是明知故犯的浪費
[00:02:49.960 --> 00:02:56.720]  每天我們生命中有兩樣東西是必然會用了
[00:02:56.720 --> 00:02:57.920]  不斷地用
[00:02:57.920 --> 00:03:01.120]  就是我們的時間和金錢
[00:03:01.120 --> 00:03:03.240]  時間和金錢在我們生命中不可或缺
[00:03:03.240 --> 00:03:06.840]  也經常會運用的物質
[00:03:06.840 --> 00:03:11.040]  會挑戰我們是否不斷浪費
[00:03:11.040 --> 00:03:11.960]  當我想到這個題目的時候
[00:03:11.960 --> 00:03:16.560]  我想像得到和我們生活中另一個的機會
[00:03:16.560 --> 00:03:19.160]  層面有很多相似的地方
[00:03:19.160 --> 00:03:22.760]  有沒有人喜歡吃自助餐?
[00:03:22.760 --> 00:03:24.880]  原來沒有人喜歡吃自助餐
[00:03:24.880 --> 00:03:26.760]  原來大部分人都不喜歡吃自助餐
[00:03:26.760 --> 00:03:28.520]  請舉手
[00:03:28.520 --> 00:03:30.080]  真的有些人不喜歡吃自助餐
[00:03:30.080 --> 00:03:32.000]  無論你喜歡不喜歡也好
[00:03:32.000 --> 00:03:35.320]  我相信你總會有機會嘗試吃自助餐
[00:03:35.320 --> 00:03:36.120]  吃自助餐的時候
[00:03:36.120 --> 00:03:37.840]  我也是喜歡吃自助餐的心態
[00:03:37.840 --> 00:03:39.680]  你有沒有試過吃自助餐的那一天
[00:03:39.680 --> 00:03:41.800]  白天開始不吃早餐
[00:03:41.800 --> 00:03:43.120]  甚至午餐也不吃
[00:03:43.120 --> 00:03:45.240]  這是一個很自然的心態
[00:03:45.240 --> 00:03:46.440]  因為我們不想浪費
[00:03:46.440 --> 00:03:50.040]  避了幾十元就吃得不夠暢快、痛快
[00:03:50.040 --> 00:03:53.760]  儘量從早餐開始就留空肚子
[00:03:53.760 --> 00:03:55.960]  是一個拼命的感覺
[00:03:55.960 --> 00:03:57.920]  和我們人生都有些相似的地方
[00:03:57.920 --> 00:03:59.480]  我們都是拼搏的人生
[00:03:59.480 --> 00:04:01.120]  我們生命都是拼搏的人生
[00:04:01.120 --> 00:04:03.600]  每天努力不斷地拼搏
