
[00:00:00.000 --> 00:00:04.680]  今天會和大家一起來看啟示錄七教會裡面的第六間教會
[00:00:04.680 --> 00:00:08.280]  在我們過往日子都看過其中五間
[00:00:08.280 --> 00:00:10.880]  在我開始講啟示錄這段經文之前
[00:00:10.880 --> 00:00:13.160]  都和大家介紹過七教會裡面
[00:00:13.160 --> 00:00:17.080]  有兩間教會是神所稱讚的
[00:00:17.080 --> 00:00:19.240]  基本上沒有什麼特別的責備
[00:00:19.240 --> 00:00:21.640]  所以我們都會覺得這兩間教會
[00:00:21.640 --> 00:00:24.280]  都應該是我們更加可以學習的
[00:00:24.280 --> 00:00:26.640]  其實在稱讚的背後
[00:00:26.640 --> 00:00:27.600]  我上次也提過
[00:00:27.600 --> 00:00:31.360]  其實稱讚背後可能也是有些代價要付上
[00:00:31.360 --> 00:00:34.240]  今天我們會和非裔鐵匪教會
[00:00:34.240 --> 00:00:36.800]  這個是神在七教會裡面第二間
[00:00:36.800 --> 00:00:38.920]  去得到稱讚
[00:00:38.920 --> 00:00:40.880]  沒有什麼責備的教會
[00:00:40.880 --> 00:00:43.440]  我們和非裔鐵匪教會的信徒
[00:00:43.440 --> 00:00:44.960]  伸上來學習
[00:00:44.960 --> 00:00:47.840]  又聆聽神給教會今天的訊息
[00:00:47.840 --> 00:00:50.440]  我們一起來翻開聖經或者看完光芒
[00:00:50.440 --> 00:00:52.640]  我們會讀出這段經文
[00:00:52.640 --> 00:00:55.720]  在啟示錄三章的七到十三節
[00:00:57.360 --> 00:00:59.720]  找到的我們一起來讀完這段經文
[00:00:59.720 --> 00:01:01.200]  預備起
[00:01:01.200 --> 00:01:06.160]  「你要寫信給非裔鐵匪教會的使者說
[00:01:06.160 --> 00:01:10.600]  那聖傑真實拿著大衛的約時
[00:01:10.600 --> 00:01:13.480]  開了就沒有人能關
[00:01:13.480 --> 00:01:17.440]  關了就沒有人能開的說
[00:01:17.440 --> 00:01:19.800]  我知道你的行為
[00:01:19.800 --> 00:01:22.280]  你略有一點力量
[00:01:22.280 --> 00:01:24.840]  也曾遵守我的道
[00:01:24.840 --> 00:01:27.400]  沒有棄絕我的命
[00:01:27.400 --> 00:01:32.440]  看那我在你面前給你一個敞開的門
[00:01:32.440 --> 00:01:34.920]  是無人能關的
[00:01:34.920 --> 00:01:39.360]  那撒旦一會的自稱是猶太人
[00:01:39.360 --> 00:01:41.640]  其實不是猶太人
[00:01:41.640 --> 00:01:44.200]  乃是說方話的
[00:01:44.200 --> 00:01:46.400]  我要使他們來
[00:01:46.400 --> 00:01:48.960]  在你腳前下拜
[00:01:48.960 --> 00:01:53.920]  也使他們知道我是已經愛你了
[00:01:53.920 --> 00:01:57.520]  你既遵守我忍耐的道
[00:01:57.520 --> 00:02:02.160]  我必在普天下人受試煉的時候
[00:02:02.160 --> 00:02:05.760]  保守你免去你的試煉
[00:02:05.760 --> 00:02:07.400]  我必快來
[00:02:07.400 --> 00:02:10.480]  你要持守你所有的
[00:02:10.480 --> 00:02:13.920]  免得人奪去你的冠冕
[00:02:13.920 --> 00:02:15.160]  得勝的
[00:02:15.160 --> 00:02:19.880]  我要叫他在我神殿中作柱子
[00:02:19.880 --> 00:02:23.560]  他也必不再從那裡出去
[00:02:23.560 --> 00:02:28.560]  我又要將我神的名和我神城的名
[00:02:28.560 --> 00:02:31.440]  這城就是從天上
[00:02:31.440 --> 00:02:36.440]  從我神那裡降下來的新耶路撒冷
[00:02:36.440 --> 00:02:41.280]  定我的生命都寫在它上面
[00:02:41.280 --> 00:02:44.960]  聖靈向眾教會所說的話
[00:02:44.960 --> 00:02:49.280]  凡有耳的就應當聽
[00:02:49.280 --> 00:02:53.560]  飛拉鐵飛教會對我們比較熟悉可能是它的名字
[00:02:53.560 --> 00:02:56.440]  飛拉鐵飛就是有兄弟之愛的意思
[00:02:56.440 --> 00:02:57.760]  我們說到愛的時候
[00:02:57.760 --> 00:02:59.760]  有時候也會提到希臘文
[00:02:59.760 --> 00:03:01.400]  我想讓大家認識一下
[00:03:01.400 --> 00:03:04.120]  飛拉鐵飛教會其實所處的一個地方
