
[00:00:00.000 --> 00:00:01.800]  各位電影節目的早上好
[00:00:01.800 --> 00:00:03.240]  新年快樂
[00:00:03.240 --> 00:00:07.240]  2022年很感恩和興奮
[00:00:07.240 --> 00:00:08.720]  能夠和大家一起
[00:00:08.720 --> 00:00:12.960]  在有時候可以一起聆聽神的話語
[00:00:12.960 --> 00:00:19.680]  和去聽聖經給我們的教導
[00:00:19.680 --> 00:00:21.680]  聖經就是神的話語
[00:00:21.680 --> 00:00:24.360]  在這裡的題目是
[00:00:24.360 --> 00:00:28.360]  耶穌基督是昔日、今日、明日的主
[00:00:28.360 --> 00:00:30.200]  再加上英文
[00:00:30.200 --> 00:00:33.000]  因為這是很重要的訊息
[00:00:33.000 --> 00:00:34.200]  在新的一年
[00:00:34.200 --> 00:00:35.520]  進入2022年的時候
[00:00:35.520 --> 00:00:39.920]  我很希望大家能夠得到這個訊息
[00:00:39.920 --> 00:00:43.200]  成為你整年在2022年裡面
[00:00:43.200 --> 00:00:46.080]  一個很重要的提醒
[00:00:46.080 --> 00:00:50.160]  一個避傷和幫助
[00:00:50.160 --> 00:00:53.280]  首先我們又回望一下
[00:00:53.280 --> 00:00:56.760]  在年尾或者年初這段時間
[00:00:56.760 --> 00:01:02.240]  新聞特輯最喜歡總結全年2021年的新聞
[00:01:02.240 --> 00:01:07.680]  我見到記者會去街頭訪問一下市民
[00:01:07.680 --> 00:01:08.680]  通常都是問
[00:01:08.680 --> 00:01:11.040]  覺得過去一年開心還是不開心
[00:01:11.040 --> 00:01:15.320]  不知道大家怎樣自己給個答案
[00:01:15.320 --> 00:01:17.200]  我看記者訪問的時候
[00:01:17.200 --> 00:01:20.400]  多數市民都是不開心的
[00:01:20.400 --> 00:01:22.280]  很明顯
[00:01:22.280 --> 00:01:29.400]  2019的新冠病毒已經快要兩年以上了
[00:01:29.400 --> 00:01:32.120]  變相去不了旅行
[00:01:32.120 --> 00:01:33.920]  無法通關
[00:01:33.920 --> 00:01:35.280]  如果你還記得上半年
[00:01:35.280 --> 00:01:37.280]  去一些地方都是受限制的
