
[00:00:00.000 --> 00:00:03.000]  鄧志明早晨
[00:00:03.000 --> 00:00:09.000]  我參加過一個很有挑戰的按摩文言
[00:00:09.000 --> 00:00:15.000]  這個挑戰對按摩的牧師來說是非常有挑戰的
[00:00:15.000 --> 00:00:19.000]  因為當時在文言裡面有一個遊戲
[00:00:19.000 --> 00:00:21.000]  這個遊戲是什麼呢?
[00:00:21.000 --> 00:00:24.000]  就是牧師不可以看的
[00:00:24.000 --> 00:00:27.000]  有支咪就傳來傳去
[00:00:27.000 --> 00:00:32.000]  傳去不同的人身上
[00:00:32.000 --> 00:00:34.000]  那個人就會說幾句話
[00:00:34.000 --> 00:00:38.000]  牧師就要猜他是誰
[00:00:38.000 --> 00:00:40.000]  這樣的
[00:00:40.000 --> 00:00:42.000]  這樣都很厲害
[00:00:42.000 --> 00:00:44.000]  都有八九成是對的
[00:00:44.000 --> 00:00:45.000]  全對的
[00:00:45.000 --> 00:00:47.000]  聽聽聲音
[00:00:47.000 --> 00:00:50.000]  但是那是一間比較小的舊會
[00:00:50.000 --> 00:00:51.000]  差不多二百人
[00:00:51.000 --> 00:00:53.000]  都是很多的家庭
[00:00:53.000 --> 00:00:55.000]  牧師又在那裡十幾年
[00:00:55.000 --> 00:00:57.000]  所以都認識的
[00:00:57.000 --> 00:00:59.000]  每個家庭是誰都認識的
[00:00:59.000 --> 00:01:03.000]  那個問題是
[00:01:03.000 --> 00:01:06.000]  你知不知道你是誰呢?
[00:01:06.000 --> 00:01:08.000]  牧師你知不知道我是誰呢?
[00:01:08.000 --> 00:01:10.000]  我們要問我們自己
[00:01:10.000 --> 00:01:13.000]  我們知不知道我們是誰呢?
[00:01:13.000 --> 00:01:17.000]  施洗日行在聖經記載
[00:01:17.000 --> 00:01:20.000]  他都被人問過這個問題
[00:01:20.000 --> 00:01:21.000]  你是誰
[00:01:21.000 --> 00:01:26.000]  在十九節、二十一節和二十二節
[00:01:26.000 --> 00:01:28.000]  那裡我們看到
[00:01:28.000 --> 00:01:31.000]  這個問題重複了很多次
[00:01:31.000 --> 00:01:33.000]  猶太人從耶路撒冷
[00:01:33.000 --> 00:01:37.000]  猜祭司和尼美人到約翰那裡
[00:01:37.000 --> 00:01:40.000]  問他說你是誰
[00:01:40.000 --> 00:01:41.000]  十九節
[00:01:41.000 --> 00:01:42.000]  二十一節就說
[00:01:42.000 --> 00:01:45.000]  他們又問他說你是誰呢?
[00:01:45.000 --> 00:01:47.000]  二十二節
[00:01:47.000 --> 00:01:50.000]  於是他們說你到底是誰
[00:01:50.000 --> 00:01:52.000]  叫我們好
[00:01:52.000 --> 00:01:54.000]  回覆猜我們來的人
[00:01:54.000 --> 00:01:57.000]  不如你自己說你是誰吧
[00:01:57.000 --> 00:01:59.000]  所以你看到
[00:01:59.000 --> 00:02:02.000]  十九節至五十一節的經文
[00:02:02.000 --> 00:02:05.000]  那裡一開始的時候
[00:02:05.000 --> 00:02:09.000]  在短短的三四節的經文裡
[00:02:09.000 --> 00:02:12.000]  問了四次你是誰
[00:02:12.000 --> 00:02:16.000]  那段經文是比較長的
[00:02:16.000 --> 00:02:17.000]  我嘗試用一個方法
[00:02:17.000 --> 00:02:22.000]  幫大家理解這十九節至五十一節
[00:02:22.000 --> 00:02:24.000]  究竟主要是怎樣分段
[00:02:24.000 --> 00:02:27.000]  我會用每一天來分
[00:02:27.000 --> 00:02:29.000]  因為那裡很特別
[00:02:29.000 --> 00:02:32.000]  他經常約翰說了話之後
[00:02:32.000 --> 00:02:35.000]  第二段他又怎樣開始呢?
[00:02:35.000 --> 00:02:36.000]  次日
[00:02:36.000 --> 00:02:38.000]  又第二段了
[00:02:38.000 --> 00:02:39.000]  第三段怎樣開始呢?
[00:02:39.000 --> 00:02:41.000]  再次日
[00:02:41.000 --> 00:02:43.000]  再次日
[00:02:43.000 --> 00:02:44.000]  所以有四天
[00:02:44.000 --> 00:02:48.000]  第一天有人問施首約翰你是誰
[00:02:48.000 --> 00:02:49.000]  第二天
[00:02:49.000 --> 00:02:52.000]  施首約翰見到耶穌
[00:02:52.000 --> 00:02:55.000]  他見證耶穌是神的兒子
[00:02:55.000 --> 00:02:56.000]  第三天
[00:02:56.000 --> 00:02:58.000]  施首約翰又見到耶穌
[00:02:58.000 --> 00:03:00.000]  然後他和兩個門徒說
[00:03:00.000 --> 00:03:02.000]  耶穌是神的羔羊
[00:03:02.000 --> 00:03:03.000]  第四天
[00:03:03.000 --> 00:03:04.000]  由耶穌
[00:03:04.000 --> 00:03:05.000]  焦點去到耶穌
[00:03:05.000 --> 00:03:08.000]  耶穌呼召肥力跟從他
[00:03:08.000 --> 00:03:12.000]  後來那擔業也跟從耶穌
[00:03:12.000 --> 00:03:16.000]  在這個時候我們先看十九節至二十八節
[00:03:16.000 --> 00:03:18.000]  我讀給大家聽
[00:03:18.000 --> 00:03:21.000]  因為我也需要訓練廣東話
[00:03:21.000 --> 00:03:23.000]  所以我連一連也好
[00:03:23.000 --> 00:03:26.000]  十九節開始
[00:03:26.000 --> 00:03:28.000]  約翰所作的見證記在下面
[00:03:28.000 --> 00:03:30.000]  猶太人從耶路撒冷
[00:03:30.000 --> 00:03:32.000]  猜祭司和尼微人
[00:03:32.000 --> 00:03:33.000]  到約翰那裡
[00:03:33.000 --> 00:03:34.000]  問他說
[00:03:34.000 --> 00:03:36.000]  你是誰
[00:03:36.000 --> 00:03:37.000]  他就明說
[00:03:37.000 --> 00:03:38.000]  並不隱瞞
[00:03:38.000 --> 00:03:39.000]  明說
[00:03:39.000 --> 00:03:41.000]  我不是基督
[00:03:41.000 --> 00:03:43.000]  他們又問他說
[00:03:43.000 --> 00:03:44.000]  這樣
[00:03:44.000 --> 00:03:45.000]  你是誰呢
[00:03:45.000 --> 00:03:46.000]  是以利亞嗎
[00:03:46.000 --> 00:03:47.000]  他說
[00:03:47.000 --> 00:03:48.000]  我不是
[00:03:48.000 --> 00:03:50.000]  是那先知嗎
[00:03:50.000 --> 00:03:51.000]  他回答
[00:03:51.000 --> 00:03:52.000]  說
[00:03:52.000 --> 00:03:53.000]  不是
[00:03:53.000 --> 00:03:54.000]  於是他們說
[00:03:54.000 --> 00:03:56.000]  你到底是誰
[00:03:56.000 --> 00:03:57.000]  叫我們好回覆
[00:03:57.000 --> 00:03:59.000]  猜我們來的人
