
[00:00:00.000 --> 00:00:02.340]  剛才啟認
[00:00:02.340 --> 00:00:05.280]  生命聖詩七道成肉身
[00:00:05.280 --> 00:00:08.320]  和獻詩明星燦爛
[00:00:08.320 --> 00:00:09.640]  提醒我們
[00:00:09.640 --> 00:00:13.200]  耶穌基督的降世日子就快來了
[00:00:13.200 --> 00:00:14.400]  還有多少天?
[00:00:14.400 --> 00:00:16.280]  還有二十多天
[00:00:16.280 --> 00:00:18.920]  聽到我的麥克風了嗎?
[00:00:18.920 --> 00:00:22.540]  今天是張臨期的第一個主日
[00:00:22.540 --> 00:00:24.160]  其實在聖誕節
[00:00:24.160 --> 00:00:26.820]  今年我們聖誕節都有一個
[00:00:26.820 --> 00:00:29.560]  浸禮和崇拜在二十五號星期一
[00:00:29.560 --> 00:00:32.200]  之前的四個主日就是張臨期
[00:00:32.200 --> 00:00:33.940]  今天是張臨期的第一個主日
[00:00:33.940 --> 00:00:37.440]  提醒我們耶穌基督在二千多年前降世
[00:00:37.440 --> 00:00:40.520]  耶穌基督也會再次回來
[00:00:40.520 --> 00:00:44.840]  而耶穌基督有沒有在你的生命中誕生呢?
[00:00:44.840 --> 00:00:47.380]  你有沒有讓耶穌基督成為你的主呢?
[00:00:47.380 --> 00:00:51.460]  今天當我們再回到上帝的道的時候
[00:00:51.460 --> 00:00:53.460]  願我們也將上帝的道
[00:00:53.460 --> 00:00:55.220]  放在我們心中
[00:00:55.220 --> 00:00:57.720]  我們遵行耶穌基督給我們的教導
[00:00:57.720 --> 00:01:00.100]  讓耶穌基督活在我們的生命中
[00:01:00.100 --> 00:01:03.760]  不知道大家是否記得這張照片
[00:01:03.760 --> 00:01:05.960]  或者這個時間
[00:01:05.960 --> 00:01:07.640]  就是我們今年四月二號
[00:01:07.640 --> 00:01:10.400]  是我們土浸2021的啟動禮
[00:01:10.400 --> 00:01:13.480]  我們有一個五年計劃
[00:01:13.480 --> 00:01:15.480]  就是使人得見的教會
[00:01:15.480 --> 00:01:17.480]  很多弟兄姊妹那天回來
[00:01:17.480 --> 00:01:21.480]  都印了手指紋在使命宣言那裡
