
[00:00:00.000 --> 00:00:03.460]  今日我哋希望能夠同大家開始一個新嘅series
[00:00:03.460 --> 00:00:05.080]  係一啲basic嘅嘢
[00:00:05.080 --> 00:00:06.920]  我哋基督徒有啲basic嘅嘢
[00:00:06.920 --> 00:00:08.480]  係需要去掌握嘅
[00:00:08.480 --> 00:00:11.480]  特別係我哋點樣聽上帝嘅聲音
[00:00:11.480 --> 00:00:14.800]  呢啲呢絕對唔係某一啲人嘅特權嚟㗎
[00:00:14.800 --> 00:00:16.600]  唔係話有啲人熟齡啲呀
[00:00:16.600 --> 00:00:17.840]  佢哋熟齡指導呀
[00:00:17.840 --> 00:00:19.720]  或者佢係師傅呀
[00:00:19.720 --> 00:00:21.840]  或者做牧師呀等等
[00:00:21.840 --> 00:00:25.040]  佢哋先要聽到上帝嘅聲音嘅
[00:00:25.040 --> 00:00:27.200]  上帝不久都同我哋講嘢嘅
[00:00:27.200 --> 00:00:30.400]  個問題呢就係我哋有冇去專心去聽㗎姐
[00:00:30.400 --> 00:00:33.320]  咁設計呢一個嘅slide就好容易啦
[00:00:33.320 --> 00:00:36.040]  因為講到頻度嘛 frequency
[00:00:36.040 --> 00:00:38.960]  你知呢個係我哋UV嘅logo嚟㗎
[00:00:38.960 --> 00:00:41.640]  我哋UV logo就係一啲voice吖嘛
[00:00:41.640 --> 00:00:45.680]  voice咁咪梗係講緊一啲頻度嘅嘢
[00:00:45.680 --> 00:00:49.400]  咁所以呢係用一個咁樣嘅比喻啦或者
[00:00:49.400 --> 00:00:52.200]  聖經裏面好多時
[00:00:52.200 --> 00:00:54.440]  上帝話同我哋講說話嘅
[00:00:54.440 --> 00:00:56.280]  但問題呢我哋聽唔聽到
[00:00:56.280 --> 00:00:58.600]  即係呢個先係個issue
[00:00:58.600 --> 00:01:01.840]  到底我哋有冇聆聽上主嘅聲音
[00:01:01.840 --> 00:01:04.840]  咁你記得我哋呢啲比較老餅嘅
[00:01:04.840 --> 00:01:06.960]  我哋仲用緊收音機
[00:01:06.960 --> 00:01:08.640]  有邊個係聽緊收音機㗎
[00:01:08.640 --> 00:01:09.680]  喺架車嗰度
[00:01:09.680 --> 00:01:11.120]  哦 有吓
[00:01:11.120 --> 00:01:14.000]  你記得以前呢收音機係咪要教嘅
[00:01:14.000 --> 00:01:16.600]  教台呀FM或者AM 吖係咪
[00:01:16.600 --> 00:01:18.920]  你要教佢 你教得唔正嘅時候
[00:01:18.920 --> 00:01:21.640]  就死傻死啲時候收到好多雜音㗎係咪
[00:01:21.640 --> 00:01:23.640]  甚至你完全聽唔到㗎
[00:01:23.640 --> 00:01:25.680]  嗱 我哋就係好似呢
[00:01:25.680 --> 00:01:29.520]  一個生命裏面嘅一個頻道係需要調教
[00:01:29.520 --> 00:01:31.880]  有陣時世界裏面太多聲音
[00:01:31.880 --> 00:01:33.160]  太多噪音
[00:01:33.160 --> 00:01:36.400]  我哋聽唔見主導我哋講嘅說話
[00:01:36.400 --> 00:01:38.560]  其實上帝不嬲都同我哋講緊嘢㗎
[00:01:38.560 --> 00:01:41.800]  問題呢我哋嗰個收音機有冇得教得準呢
[00:01:41.800 --> 00:01:44.280]  我哋個頻道係咪啱呢
[00:01:44.280 --> 00:01:46.960]  咁所以我抽取咗一啲嘅經文
[00:01:46.960 --> 00:01:48.680]  去到講到呢一方面嘅
[00:01:48.680 --> 00:01:49.960]  係比較主題性嘅
[00:01:49.960 --> 00:01:52.760]  不過呢今日呢我哋想去睇
[00:01:52.760 --> 00:01:55.440]  一段嘅經文呢係約翰福音第十章
[00:01:55.440 --> 00:01:58.280]  約翰福音第十章呢段成段嘅經文裏面呢
[00:01:58.280 --> 00:02:00.560]  有幾節呢係好出名嘅
[00:02:00.560 --> 00:02:02.680]  其中一節呢就係十一節
[00:02:02.680 --> 00:02:03.760]  十章十一節
[00:02:03.760 --> 00:02:06.720]  耶穌話我是好牧人 Good Shepherd
[00:02:06.720 --> 00:02:08.800]  好牧人為羊寫名
[00:02:08.800 --> 00:02:10.640]  邊個係羊啊
[00:02:10.640 --> 00:02:11.720]  你同我係咪
[00:02:11.720 --> 00:02:14.360]  我哋上帝嘅子民就係羊
[00:02:14.360 --> 00:02:15.680]  而十七節呢亦都好出名
[00:02:15.680 --> 00:02:18.160]  我的羊聽我的聲音
[00:02:18.160 --> 00:02:19.320]  我認識佢們
[00:02:19.320 --> 00:02:20.920]  佢們也跟從我
[00:02:20.920 --> 00:02:24.880]  咁呢個呢就係牧羊人同埋羊之間嘅關係
[00:02:24.880 --> 00:02:25.960]  我識我嘅羊
[00:02:25.960 --> 00:02:28.760]  羊要聽我嘅聲音跟我走嘅
[00:02:28.760 --> 00:02:30.360]  整個約翰福音第十章呢
[00:02:30.360 --> 00:02:32.680]  我哋可以叫佢做 Good Shepherd Message
