
[00:00:00.000 --> 00:00:04.000]  很高興有機會和大家在差不多下午的時間
[00:00:04.000 --> 00:00:07.000]  一起思想關於信仰的真理
[00:00:07.000 --> 00:00:10.000]  今天有些新的朋友來到這裡
[00:00:10.000 --> 00:00:11.000]  我們很歡迎你
[00:00:11.000 --> 00:00:15.000]  也有些朋友可能來教會都不是第一次
[00:00:15.000 --> 00:00:16.000]  不過始終覺得
[00:00:16.000 --> 00:00:18.000]  你是聽聽 看看
[00:00:18.000 --> 00:00:23.000]  在信仰的邊緣還在掙扎的時候
[00:00:23.000 --> 00:00:25.000]  今天我很希望我能夠講這個題目
[00:00:25.000 --> 00:00:28.000]  能夠給你一些分享
[00:00:28.000 --> 00:00:31.000]  也希望你能夠更進一步認識
[00:00:31.000 --> 00:00:32.000]  不是認識我
[00:00:32.000 --> 00:00:33.000]  不是認識真理這麼簡單
[00:00:33.000 --> 00:00:34.000]  認識神
[00:00:34.000 --> 00:00:36.000]  這是我今天很想講的
[00:00:36.000 --> 00:00:38.000]  不過我們所選的題目就是
[00:00:38.000 --> 00:00:40.000]  生命沒有了什麼不行
[00:00:40.000 --> 00:00:42.000]  生命沒有了什麼不行
[00:00:42.000 --> 00:00:45.000]  我相信你的答案很快
[00:00:45.000 --> 00:00:46.000]  和很多人一樣
[00:00:46.000 --> 00:00:47.000]  生命沒有了什麼不行
[00:00:47.000 --> 00:00:48.000]  沒得吃
[00:00:48.000 --> 00:00:50.000]  沒得睡
[00:00:50.000 --> 00:00:52.000]  沒健康就不行
[00:00:52.000 --> 00:00:53.000]  對嗎
[00:00:53.000 --> 00:00:54.000]  對嗎
[00:00:54.000 --> 00:00:55.000]  對
[00:00:55.000 --> 00:00:56.000]  生命不可以沒得吃
[00:00:56.000 --> 00:00:59.000]  不可以沒得健康
[00:00:59.000 --> 00:01:01.000]  不過你留意我今天的題目有一點點不同
[00:01:01.000 --> 00:01:02.000]  我是生命
[00:01:02.000 --> 00:01:06.000]  剛才講的那些是死不了
[00:01:06.000 --> 00:01:07.000]  沒得吃
[00:01:07.000 --> 00:01:08.000]  沒得睡
[00:01:08.000 --> 00:01:10.000]  沒健康就會死
[00:01:10.000 --> 00:01:13.000]  但是有生存
[00:01:13.000 --> 00:01:16.000]  不一定有有意思的生命
[00:01:16.000 --> 00:01:18.000]  但這個是有分別的
[00:01:18.000 --> 00:01:20.000]  生存和生命不同
[00:01:20.000 --> 00:01:22.000]  已經幾年前
[00:01:22.000 --> 00:01:23.000]  孟子很厲害
[00:01:23.000 --> 00:01:24.000]  孟子已經講了
[00:01:24.000 --> 00:01:26.000]  他說人禽之別
[00:01:26.000 --> 00:01:28.000]  人和禽獸有什麼不同
[00:01:28.000 --> 00:01:32.000]  人和禽獸不同的地方就不是吃和吃
[00:01:32.000 --> 00:01:34.000]  吃要吃要吃
[00:01:34.000 --> 00:01:36.000]  這些都是人和豬狗都一樣
[00:01:36.000 --> 00:01:37.000]  這個是真的
