
[00:00:00.000 --> 00:00:06.440]  有時我們真的可能要重新學習怎樣去生活
[00:00:06.440 --> 00:00:09.700]  我們也要重新學習怎樣去生活
[00:00:09.700 --> 00:00:16.720]  跟隨主耶穌的人是怎樣去生活的呢?
[00:00:16.720 --> 00:00:24.160]  首先我們指出,人要擺脫一種舊人的生活方式
[00:00:24.160 --> 00:00:31.100]  改在基督裡面過新人的生活
[00:00:31.100 --> 00:00:34.440]  原來神做人的目的
[00:00:34.440 --> 00:00:42.180]  是要人跟自己建立一個和諧的關係
[00:00:42.180 --> 00:00:49.420]  並且按祂的旨意在生活當中行善
[00:00:49.420 --> 00:00:53.520]  凡是被神拯救的罪人
[00:00:53.520 --> 00:00:58.040]  都可以因為直覺相信耶穌基督十字架上的死亡
[00:00:58.040 --> 00:01:02.480]  都可以接著相信基督耶穌在十字架上的死亡
[00:01:02.480 --> 00:01:06.820]  也都因為相信耶穌後來從死裡復活
[00:01:06.820 --> 00:01:11.020]  也相信耶穌後來從死裡復活
[00:01:11.020 --> 00:01:16.300]  因而為自己過往所犯的罪而後悔
[00:01:16.300 --> 00:01:19.700]  因而為自己過去所犯的罪後悔
[00:01:19.700 --> 00:01:22.040]  當一個罪人悔改那一刻
[00:01:22.040 --> 00:01:24.180]  當一個罪人悔改那一刻
[00:01:24.180 --> 00:01:28.880]  他就因為信主而罪得赦免
[00:01:28.880 --> 00:01:31.280]  他因為信主而罪得赦免
[00:01:31.280 --> 00:01:33.980]  就可以成為神的兒女
[00:01:33.980 --> 00:01:36.480]  就可以成為神的兒女
[00:01:36.480 --> 00:01:38.580]  但一個罪人得救以後
[00:01:38.580 --> 00:01:40.380]  但一個罪人得救以後
[00:01:40.380 --> 00:01:43.920]  是必須在生活上有所改變
[00:01:43.920 --> 00:01:46.360]  是必須在生活上有所改變
[00:01:46.360 --> 00:01:48.560]  每一個罪人悔改信主
[00:01:48.560 --> 00:01:50.460]  每一個罪人悔改信主
[00:01:50.460 --> 00:01:56.940]  雖然神是按照他的應許親自去拯救他
[00:01:56.940 --> 00:02:00.700]  雖然神是按照他的應許親自拯救他
[00:02:00.700 --> 00:02:03.240]  換句話說這個人已經得救了
[00:02:03.240 --> 00:02:05.340]  換句話說這個人已經得救了
[00:02:05.340 --> 00:02:07.380]  但是每一個跟隨主的人
[00:02:07.380 --> 00:02:09.080]  但是每一個跟隨主的人
[00:02:09.080 --> 00:02:12.880]  都需要下定決心
[00:02:12.880 --> 00:02:17.920]  不再按照不信主的人的生活方式去生活
[00:02:17.920 --> 00:02:23.000]  不再按照不信主的人的生活方式去生活
[00:02:23.000 --> 00:02:26.240]  以夫所書第4章17節很清楚地告訴我們
[00:02:26.240 --> 00:02:29.840]  以夫所書第4章17節很清楚地說
[00:02:29.840 --> 00:02:32.940]  保羅說所以我說
[00:02:32.940 --> 00:02:37.680]  且在主裡確實地說
[00:02:37.680 --> 00:02:41.420]  你們信徒行事
[00:02:41.420 --> 00:02:45.780]  不要像外邦人存虛妄的心行事
[00:02:45.780 --> 00:02:50.060]  不要像外邦人存虛妄的心行事
[00:02:50.060 --> 00:02:54.760]  跟著下面有五節的聖經
[00:02:54.760 --> 00:03:01.040]  跟著下面有五節的聖經
[00:03:01.040 --> 00:03:03.040]  我現在把聖經已經打出來了
[00:03:03.040 --> 00:03:04.340]  不如我們再讀一次
[00:03:04.340 --> 00:03:06.240]  因為這個是我們沒有讀過的
[00:03:06.240 --> 00:03:08.280]  我們一同來讀好嗎
[00:03:08.280 --> 00:03:11.680]  你們學了基督卻不是這樣
[00:03:11.680 --> 00:03:14.020]  如果你們聽過祂的道
[00:03:14.020 --> 00:03:15.580]  領了祂的教
[00:03:15.580 --> 00:03:17.160]  學了祂的真理
