
[00:00:00.000 --> 00:00:02.000]  佛陀師妹,讓我們先聽神的道義
[00:00:02.000 --> 00:00:03.420]  讓我們先同心討穀
[00:00:03.420 --> 00:00:04.660]  各位弟兄姊妹
[00:00:04.660 --> 00:00:06.380]  讓我們聽神的道之前
[00:00:06.380 --> 00:00:08.380]  讓我們同心禱告
[00:00:08.380 --> 00:00:11.880]  慈悲的佛神,多謝你
[00:00:11.880 --> 00:00:15.380]  讓我們能夠繼續在你的當中
[00:00:15.380 --> 00:00:17.380]  打開你的說話
[00:00:17.380 --> 00:00:21.380]  去聆聽上帝在聖經裏面對我們的啟示
[00:00:21.380 --> 00:00:24.380]  我們再次恭敬將我們的生命交上
[00:00:24.380 --> 00:00:27.880]  求聖靈開堂我們的心思意念
[00:00:27.880 --> 00:00:30.880]  能夠裝載著你的教訓
[00:00:30.880 --> 00:00:33.880]  並且成為我們生命的一個部份
[00:00:33.880 --> 00:00:36.880]  活出一個滿有自由
[00:00:36.880 --> 00:00:41.880]  並且能夠活化出上帝你仰式的生命
[00:00:41.880 --> 00:00:43.880]  使人見到我們的時候
[00:00:43.880 --> 00:00:45.880]  讓我們讓他們認識到
[00:00:45.880 --> 00:00:49.880]  上帝你怎樣在我們身上作的啟示
[00:00:49.880 --> 00:00:52.880]  生命的更生,求你與我們同在
[00:00:52.880 --> 00:00:54.880]  禱告奉耶穌,保衛聖命至以求
[00:00:54.880 --> 00:00:57.880]  阿們
[00:00:57.880 --> 00:01:01.880]  有一次有兩個基督徒坐在一起
[00:01:01.880 --> 00:01:08.880]  他們在一起交談
[00:01:08.880 --> 00:01:12.880]  其中一個基督徒很喜歡說話
[00:01:12.880 --> 00:01:16.880]  一坐下來的時候
[00:01:16.880 --> 00:01:19.880]  他說話美美動聽不停地說
[00:01:19.880 --> 00:01:26.880]  而且當他在一些基督徒群體聚會裏面的傾談
[00:01:26.880 --> 00:01:33.880]  也經常用很多屬靈的用語
[00:01:33.880 --> 00:01:40.880]  去說上帝怎樣幫助他,上帝怎樣帶領他
[00:01:40.880 --> 00:01:47.880]  甚至有時候說到上帝怎樣向他有特別的啟示
[00:01:47.880 --> 00:01:56.880]  有一次和另外一個基督徒坐在一起的時候
[00:01:56.880 --> 00:02:00.880]  他這樣說
