
[00:00:00.000 --> 00:00:02.200]  信仰不是點綴品
[00:00:02.200 --> 00:00:05.600]  我們知道我們今天從《路交坊》第七章裏面
[00:00:05.600 --> 00:00:06.600]  你請你打了一段經文
[00:00:06.600 --> 00:00:09.400]  因爲經文的內容非常長
[00:00:09.400 --> 00:00:11.400]  是牽涉了五十節的經文
[00:00:11.400 --> 00:00:16.700]  我們見到有很多的非信徒認爲信仰是可有可無的
[00:00:16.700 --> 00:00:21.000]  但是基督徒就認爲信仰是一個裝飾品來的
[00:00:21.000 --> 00:00:22.600]  例如我們今天梳了個頭
[00:00:22.600 --> 00:00:24.600]  覺得有少少齋
[00:00:24.600 --> 00:00:27.400]  所以加個髮夾下去
[00:00:27.400 --> 00:00:30.000]  我穿件衣服比較清淡
[00:00:30.000 --> 00:00:32.000]  加個飾物下去
[00:00:32.000 --> 00:00:33.800]  讓它漂亮一點
[00:00:33.800 --> 00:00:35.400]  好像是我們的生活
[00:00:35.400 --> 00:00:37.600]  我們的生命是有信仰
[00:00:37.600 --> 00:00:38.800]  就好看一點
[00:00:38.800 --> 00:00:40.400]  但是它是否重要呢?
[00:00:40.400 --> 00:00:41.400]  它不是很重要
[00:00:41.400 --> 00:00:43.000]  有很多的基督徒是這樣想的
[00:00:43.000 --> 00:00:44.800]  但是在《路交坊》第七章裏面
[00:00:44.800 --> 00:00:47.000]  我們知道在之前裏面提到
[00:00:47.000 --> 00:00:49.800]  耶穌要來到一個革新的生命
[00:00:49.800 --> 00:00:51.600]  一個新的時代
[00:00:51.600 --> 00:00:53.200]  在一個新的時代裏面
[00:00:53.200 --> 00:00:55.400]  所做的一切都是新的
[00:00:55.400 --> 00:00:58.200]  所有信徒進入了這個新的國度裏面
[00:00:58.200 --> 00:01:00.200]  所以我們被稱爲是一個
[00:01:00.200 --> 00:01:01.200]  跟你介紹一下
[00:01:01.200 --> 00:01:04.000]  是一個新造的
[00:01:04.000 --> 00:01:05.000]  如果這樣的時候
[00:01:05.000 --> 00:01:07.000]  信仰並不是可有可無
[00:01:07.000 --> 00:01:10.000]  信仰又並不是一種裝飾品
[00:01:10.000 --> 00:01:11.200]  在我們的生活裏面
[00:01:11.200 --> 00:01:12.600]  令它沒那麼平淡
[00:01:12.600 --> 00:01:15.000]  而我們覺得信仰是非常重要
[00:01:15.000 --> 00:01:16.400]  在《路交坊》第七章裏面
[00:01:16.400 --> 00:01:17.600]  我們進入經文裏面
[00:01:17.600 --> 00:01:19.400]  先給大家看這幅圖
[00:01:19.400 --> 00:01:21.000]  在這幅圖裏面
[00:01:21.000 --> 00:01:24.400]  你看了之後有三種可能性的反應
[00:01:24.400 --> 00:01:26.000]  待會你要表態一下
[00:01:26.000 --> 00:01:27.000]  第一種就是
[00:01:27.000 --> 00:01:28.000]  你看了這幅圖
[00:01:28.000 --> 00:01:31.000]  是一幅靜止的圖
[00:01:31.000 --> 00:01:32.200]  完全靜止的
[00:01:32.200 --> 00:01:34.000]  如果你看這幅圖不清楚
[00:01:34.000 --> 00:01:35.000]  看電視機裏面
