
[00:00:00.000 --> 00:00:03.120]  本節目我們繼續來一個齊來敬拜的系列
[00:00:03.120 --> 00:00:10.440]  今天的題目叫做「盛哉盛哉盛哉經文來自和修本聖經二賽亞書六章一至八節」
[00:00:10.440 --> 00:00:12.800]  大家都熟悉的經文 請聽我讀出
[00:00:30.000 --> 00:00:39.000]  「盛哉萬鈞之夜和華 他的榮光遍滿全地 因呼喊者的聲音 門欄的根基震動 電裡充滿了煙雲
[00:00:39.000 --> 00:00:45.360]  那時我說 何在我滅亡了 因我是嘴唇不潔的人 住在嘴唇不潔的民中
[00:00:45.360 --> 00:00:53.360]  又因我親眼看見大君王 萬鈞之夜和華 有位撒拉弗 向我飛來手裡拿著銷紅的炭
[00:00:53.360 --> 00:01:06.520]  他用火鉗從壇上取下來的 用炭沾了我的口說 看哪 這炭沾了你的嘴唇 你的罪孽便除掉 你的罪惡別就赦免了
[00:01:06.520 --> 00:01:15.400]  我聽見著的聲音說 我可以差遣誰呢 誰肯為我門去呢 我說 我在這裡 請差遣我」
[00:01:15.400 --> 00:01:23.720]  丁子梅 我們通常這一段經文 大家很熟悉 因為在很多的培靈會 獻身會 差遣禮等等
[00:01:23.720 --> 00:01:29.800]  我們都聽過這一段經文 最後那句就是 我在這裡 請差遣我
[00:01:29.800 --> 00:01:38.800]  聽到整個呼召去做傳道人 或者去做宣教士 或者做一些全時間奉獻的立志 去讀神學等等
[00:01:38.800 --> 00:01:48.880]  大家知道這段經文不是單純集中在差遣 這段經文其實和崇拜很有關係
[00:01:48.880 --> 00:01:55.080]  就是當人遇見上帝的時候 他的反應應該是怎樣
[00:01:55.080 --> 00:01:58.640]  還有我們應該怎樣去看待這位上帝
[00:01:58.640 --> 00:02:08.960]  我們知道以賽亞年輕開始已經在烏沙王的王朝裡面 去做上帝的發言人 做先知
[00:02:08.960 --> 00:02:18.000]  他一直都是先知 經歷了這一次的異象之後 他也是先知 他沒有任何改變過
[00:02:18.000 --> 00:02:23.000]  這個異象的關鍵其實不是說你轉換了你的工種
[00:02:23.000 --> 00:02:32.840]  現在扔下工作 繼續去全世界侍奉 轉換你工作的崗位 或者工種
[00:02:32.840 --> 00:02:38.240]  最重要的關鍵就是告訴我們 無論我們是什麼人 當我們遇見上帝的時候
[00:02:38.240 --> 00:02:42.520]  生命是會面對一個改變的挑戰
[00:02:42.520 --> 00:02:47.240]  當上帝向我們顯現的時候 和我們相遇的時候
[00:02:47.240 --> 00:02:53.760]  我們不可能不去思想生命我們需要有什麼調整 有什麼轉變
[00:02:53.760 --> 00:03:00.520]  我開始這個系列的時候 都講到我們的上帝是喜悅和要求我們
[00:03:00.520 --> 00:03:05.720]  在聖經裡面提及那三樣不同的崇拜 大家互相的結連的
[00:03:05.720 --> 00:03:10.680]  就是說我們要有生命的敬拜 我們也要有個人的時間
[00:03:10.680 --> 00:03:13.320]  每天在神面前有單獨的敬拜
[00:03:13.320 --> 00:03:16.440]  但是我們也都需要走在一起集體的敬拜
[00:03:16.440 --> 00:03:22.160]  而你的集體敬拜會令到你的個人崇拜更加豐富
[00:03:22.160 --> 00:03:25.280]  而你的個人崇拜也會令到你生命的崇拜更加豐富
[00:03:25.280 --> 00:03:31.120]  而反過來這些崇拜也會幫助到你在集體的敬拜裡面更加投身
[00:03:31.120 --> 00:03:34.000]  所以這些都是我們第一次曾經講過
[00:03:34.000 --> 00:03:40.720]  我們曾經講過 上帝不想我們的崇拜是一個愚昧和枉然的崇拜
[00:03:40.720 --> 00:03:44.720]  什麼叫枉然呢 就是馬福音第七章六至七節 耶穌說的
[00:03:44.720 --> 00:03:50.560]  當我們和敬拜的對象錯誤了的時候
[00:03:50.560 --> 00:03:54.000]  有些人的敬拜其實他的對象是自己的
[00:03:54.000 --> 00:03:56.280]  去享受 有一個娛樂
[00:03:56.280 --> 00:04:00.160]  這個敬拜是枉然的 因為我們要敬畏
[00:04:00.160 --> 00:04:03.880]  我們也說到敬畏就是當上帝有道
[00:04:03.880 --> 00:04:10.840]  我們來到上帝面前 必須要交征我們的對象
[00:04:10.840 --> 00:04:12.360]  為什麼要敬畏祂呢?
[00:04:12.360 --> 00:04:16.000]  所以今天我們從以色列的經歷裡面
