
[00:00:00.000 --> 00:00:02.000]  作神喜悅的好父母
[00:00:02.000 --> 00:00:05.000]  我曾經在五月份的五堂
[00:00:05.000 --> 00:00:08.000]  和弟兄姊妹來分享上半集
[00:00:08.000 --> 00:00:10.000]  不過時間不許可
[00:00:10.000 --> 00:00:12.000]  我來到這裡全部說一次
[00:00:12.000 --> 00:00:14.000]  很想讓大家知道
[00:00:14.000 --> 00:00:18.000]  當我們做上帝喜悅的好父母的時候
[00:00:18.000 --> 00:00:21.000]  我們必須對於自己的角色和責任
[00:00:21.000 --> 00:00:25.000]  有一個很清楚正確的一個形式
[00:00:25.000 --> 00:00:28.000]  我上次和五堂弟兄姊妹說
[00:00:28.000 --> 00:00:31.000]  我們要忠於做父母的角色
[00:00:31.000 --> 00:00:34.000]  原來在我們的信仰告訴我們
[00:00:34.000 --> 00:00:37.000]  我們父母有小孩的時候
[00:00:37.000 --> 00:00:39.000]  這個小孩不是我們的
[00:00:39.000 --> 00:00:42.000]  聖經說兒女是耶華所賜給我們的產業
[00:00:42.000 --> 00:00:44.000]  是什麼意思呢
[00:00:44.000 --> 00:00:46.000]  其實對於當時人來說
[00:00:46.000 --> 00:00:51.000]  產業就是承受上帝福氣的一個很具體的明證
[00:00:51.000 --> 00:00:54.000]  換言之上帝如果給我有小孩
[00:00:54.000 --> 00:00:57.000]  意思就是上帝對我們做父母的福氣
[00:00:57.000 --> 00:00:58.000]  就可以繼續延續
[00:00:58.000 --> 00:01:00.000]  所以簡單來說
[00:01:00.000 --> 00:01:02.000]  我們要知道我們做父母
[00:01:02.000 --> 00:01:05.000]  只不過是領受上帝恩典的人
[00:01:05.000 --> 00:01:07.000]  第二方面
[00:01:07.000 --> 00:01:08.000]  聖經也都告訴我們
[00:01:08.000 --> 00:01:11.000]  我們做父母只不過是兒女的
[00:01:11.000 --> 00:01:13.000]  可以說啟蒙者、監護人
[00:01:13.000 --> 00:01:16.000]  上帝將兒女交給我們
[00:01:16.000 --> 00:01:18.000]  不是要我們去管他這麼簡單
[00:01:18.000 --> 00:01:22.000]  上帝是要我們給我們的兒女
[00:01:22.000 --> 00:01:23.000]  叫我們要去同行
[00:01:23.000 --> 00:01:25.000]  無論我們有多少日子
[00:01:25.000 --> 00:01:28.000]  我們一起經歷過人生每一個階段
[00:01:28.000 --> 00:01:30.000]  我們要成為他們的好榜樣
[00:01:30.000 --> 00:01:33.000]  將他們的恩賜好好發揮
[00:01:33.000 --> 00:01:35.000]  而不是照我自己的喜好
[00:01:35.000 --> 00:01:36.000]  我要你做醫生
[00:01:36.000 --> 00:01:37.000]  你做醫生
[00:01:37.000 --> 00:01:38.000]  不是這樣的意思
[00:01:38.000 --> 00:01:42.000]  而是我要將兒女的恩賜好好培育的時候
[00:01:42.000 --> 00:01:44.000]  所以將這些恩賜能夠去侍奉上帝
[00:01:44.000 --> 00:01:48.000]  將他納在一個好的屬靈根基裏面
[00:01:48.000 --> 00:01:51.000]  這個是我們做父母角色應該知道的責任
[00:01:51.000 --> 00:01:53.000]  另一方面
[00:01:53.000 --> 00:01:55.000]  我們知道上帝將兒女交給我們
[00:01:55.000 --> 00:01:59.000]  他會有一些期盼在我們身上
[00:01:59.000 --> 00:02:01.000]  所以我們第二方面
[00:02:01.000 --> 00:02:03.000]  就是要忠於神託付我們的責任
[00:02:03.000 --> 00:02:05.000]  上次我說到
[00:02:05.000 --> 00:02:07.000]  其實生命不單單是生存這麼簡單
[00:02:07.000 --> 00:02:10.000]  如果生存者就代表生命的時候
[00:02:10.000 --> 00:02:11.000]  我們真的沒什麼意思
[00:02:11.000 --> 00:02:12.000]  我們和禽獸都差不多
[00:02:12.000 --> 00:02:14.000]  但是上帝告訴我們
[00:02:14.000 --> 00:02:17.000]  他賜給我們的生命是很豐盛的
[00:02:17.000 --> 00:02:19.000]  很有意義、很有價值的
[00:02:19.000 --> 00:02:21.000]  我們要將這個這麼豐盛的生命
[00:02:21.000 --> 00:02:23.000]  完整的生命的意義
[00:02:23.000 --> 00:02:25.000]  來教導
[00:02:25.000 --> 00:02:28.000]  甚至是活現給我們的下一代知道
[00:02:28.000 --> 00:02:30.000]  我們更加要引導我們兒女
[00:02:30.000 --> 00:02:32.000]  走在一個正道的裏面
[00:02:32.000 --> 00:02:34.000]  使他們道路都不偏離
[00:02:34.000 --> 00:02:36.000]  這個正道就是一個屬於上帝
[00:02:36.000 --> 00:02:38.000]  以上帝做核心
[00:02:38.000 --> 00:02:42.000]  以上帝的說話做指引的道路上
[00:02:42.000 --> 00:02:45.000]  當我們做父母能夠明白自己的角色
[00:02:45.000 --> 00:02:47.000]  又忠於所託的時候
[00:02:47.000 --> 00:02:49.000]  我相信我們某程度來說
[00:02:49.000 --> 00:02:52.000]  都可以達到造神喜悅的好父母
[00:02:52.000 --> 00:02:55.000]  不過今天我好想告訴大家
[00:02:55.000 --> 00:02:57.000]  無論環境
[00:02:57.000 --> 00:02:58.000]  無論我們自己
