
[00:00:00.000 --> 00:00:05.000]  我們來溫習一下上周的金句
[00:00:05.000 --> 00:00:07.000]  彼得候書一章七節
[00:00:07.000 --> 00:00:12.000]  敬虔加上手足之愛
[00:00:12.000 --> 00:00:15.000]  手足之愛加上博愛
[00:00:15.000 --> 00:00:20.000]  一般來說現中的翻譯都沒有和合盤那麼簡潔
[00:00:20.000 --> 00:00:23.000]  很多人很喜歡和合盤因為簡潔
[00:00:23.000 --> 00:00:26.000]  但這節金句是一個例外
[00:00:26.000 --> 00:00:28.000]  和合盤比較爭氣
[00:00:28.000 --> 00:00:32.000]  有了敬虔又要加上愛弟兄的心
[00:00:32.000 --> 00:00:36.000]  有了愛弟兄的心又要加上愛眾人的心
[00:00:36.000 --> 00:00:39.000]  似乎沒有現中版那麼簡潔
[00:00:39.000 --> 00:00:43.000]  不過如果你習慣了和合盤
[00:00:43.000 --> 00:00:45.000]  你仍然可以背和合盤
[00:00:45.000 --> 00:00:51.000]  重要的不是我們能夠背得出哪一個版本哪一節聖經
[00:00:51.000 --> 00:00:56.000]  而是我們能不能夠實行經文的教導
[00:00:56.000 --> 00:01:02.000]  上周跟大家思想過主耶穌所說的好撒瑪利亞人的比喻
[00:01:02.000 --> 00:01:08.000]  重點是教導我們不要界定誰是我們的鄰舍
[00:01:08.000 --> 00:01:13.000]  假如我們先界定誰是我們的鄰舍
[00:01:13.000 --> 00:01:16.000]  我們就會好像那個時代的猶太人那樣
[00:01:16.000 --> 00:01:20.000]  特別歧視那些撒瑪利亞人
[00:01:20.000 --> 00:01:24.000]  以至他們都不願意提撒瑪利亞人這個名字
[00:01:24.000 --> 00:01:31.000]  甚至當他們要從北面的加利利去到南面的耶路撒冷的時候
[00:01:31.000 --> 00:01:33.000]  或者從南面到北都一樣
[00:01:33.000 --> 00:01:35.000]  從北到南南到北
[00:01:35.000 --> 00:01:39.000]  他們寧願走遠一些路
[00:01:39.000 --> 00:01:42.000]  先渡過約旦河的東邊
[00:01:42.000 --> 00:01:44.000]  由那裡來到上下
[00:01:44.000 --> 00:01:50.000]  目的只是避免經過撒瑪利亞人的地區
[00:01:50.000 --> 00:01:53.000]  好撒瑪利亞人的比喻的重點
[00:01:53.000 --> 00:01:58.000]  就是要我們去成為別人的好鄰舍
[00:01:58.000 --> 00:02:01.000]  當我們遇到有需要的人的時候
[00:02:01.000 --> 00:02:05.000]  我們是願意下手下腳出力去幫助人
[00:02:05.000 --> 00:02:13.000]  這個才是真正實踐第二條大解明愛倫如己的教導
[00:02:13.000 --> 00:02:16.000]  我們今天看利美記二十六章
[00:02:16.000 --> 00:02:19.000]  我們看利美記已經有一段日子了
[00:02:19.000 --> 00:02:22.000]  今天會是最後一次看利美記
[00:02:22.000 --> 00:02:24.000]  當我們思考二十六章
[00:02:24.000 --> 00:02:27.000]  我希望大家記得
[00:02:27.000 --> 00:02:29.000]  看了一段日子之後
[00:02:29.000 --> 00:02:32.000]  利美記可以分為兩大部分
[00:02:32.000 --> 00:02:34.000]  第一部分是一至十六章
[00:02:34.000 --> 00:02:38.000]  主要是講到有關敬拜上帝的事
[00:02:38.000 --> 00:02:41.000]  第二部分是十七至二十七章
[00:02:41.000 --> 00:02:48.000]  主要是教導以色列要過上帝認為是聖潔的生活
[00:02:48.000 --> 00:02:52.000]  是按照上帝的意思去過聖潔的生活
[00:02:52.000 --> 00:02:55.000]  我們講過十八章十九章
[00:02:55.000 --> 00:02:58.000]  二十至二十五章和二十七章
[00:02:58.000 --> 00:03:02.000]  裡面有很多條例的記載
[00:03:02.000 --> 00:03:05.000]  跟我們關係不是很大
[00:03:05.000 --> 00:03:07.000]  二十六章就比較特別
[00:03:07.000 --> 00:03:10.000]  是上帝提醒以色列人
[00:03:10.000 --> 00:03:14.000]  有關遵從律法的祝福
[00:03:14.000 --> 00:03:17.000]  和違反誡明的後果
[00:03:17.000 --> 00:03:19.000]  從這個記載裡面
[00:03:19.000 --> 00:03:23.000]  我發現上帝有一條賞罰定律
[00:03:23.000 --> 00:03:27.000]  而這條賞罰定律是超時代性的
[00:03:27.000 --> 00:03:33.000]  上帝今天仍然會將福氣賜給全心信靠他的人
[00:03:33.000 --> 00:03:37.000]  而會懲罰一些抗拒他的人
[00:03:37.000 --> 00:03:39.000]  我們一起來思想
[00:03:39.000 --> 00:03:42.000]  如果你蓋好聖經請你打開
[00:03:42.000 --> 00:03:45.000]  利美記二十六章
[00:03:45.000 --> 00:03:47.000]  利美記二十六章的經文
[00:03:47.000 --> 00:03:50.000]  很明顯可以分成兩大段
[00:03:50.000 --> 00:03:53.000]  在第一至十三節
[00:03:53.000 --> 00:03:58.000]  就是一個引言和遵行誡明的福氣
[00:03:58.000 --> 00:04:01.000]  在第十四至四十六節
[00:04:01.000 --> 00:04:06.000]  就是違反誡明的懲罰和一個結語
[00:04:06.000 --> 00:04:09.000]  一般來說
[00:04:09.000 --> 00:04:15.000]  國家訂立法例只會訂立一些違例的懲罰
[00:04:15.000 --> 00:04:19.000]  譬如說你違例泊車可能要罰九十元
[00:04:19.000 --> 00:04:22.000]  如果你沒有傷健人士許可證
[00:04:22.000 --> 00:04:24.000]  而泊那些傷健人士的車位
[00:04:24.000 --> 00:04:26.000]  要罰四百多元
[00:04:26.000 --> 00:04:29.000]  所以大家要小心不要亂泊那些位
[00:04:29.000 --> 00:04:32.000]  但上帝的誡明
[00:04:32.000 --> 00:04:36.000]  就是先講明遵行者的福氣
[00:04:36.000 --> 00:04:40.000]  第一至第二節是一個引言
[00:04:40.000 --> 00:04:45.000]  那裡再提醒以色列人應該尊重上主
[00:04:45.000 --> 00:04:47.000]  不可以做偶像
[00:04:47.000 --> 00:04:51.000]  不可以樹立人像、石柱或者雕刻的石頭
[00:04:51.000 --> 00:04:53.000]  作為敬拜的對象
[00:04:53.000 --> 00:04:56.000]  事實上上主再三吩咐他們
[00:04:56.000 --> 00:04:58.000]  不可以做偶像
[00:04:58.000 --> 00:05:00.000]  這個教訓反映出
[00:05:00.000 --> 00:05:02.000]  在古代的社會
[00:05:02.000 --> 00:05:07.000]  其實很多信神的民族是會做偶像的
[00:05:07.000 --> 00:05:09.000]  我找到兩幅圖片
[00:05:09.000 --> 00:05:13.000]  是迦南人所拜的神
[00:05:13.000 --> 00:05:17.000]  這幅圖片是在舊約聖經中時常看到的
[00:05:17.000 --> 00:05:19.000]  提到的兩個神
[00:05:19.000 --> 00:05:22.000]  巴力和阿斯他祿
[00:05:22.000 --> 00:05:25.000]  第二幅圖片是舊約聖經沒有提及的
[00:05:25.000 --> 00:05:28.000]  是迦南的地主神
[00:05:28.000 --> 00:05:33.000]  為什麼上帝不准人用偶像去代表祂呢?
[00:05:33.000 --> 00:05:35.000]  原因其實很簡單
[00:05:35.000 --> 00:05:38.000]  在羅馬書一章二十三字說
[00:05:38.000 --> 00:05:40.000]  他們不敬拜永生的上帝
[00:05:40.000 --> 00:05:42.000]  反而去拜偶像
[00:05:42.000 --> 00:05:44.000]  就是那些仿照必死的人
[00:05:44.000 --> 00:05:49.000]  飛禽走獸、爬蟲等形狀所製造出來的
[00:05:49.000 --> 00:05:54.000]  上帝是按照自己的形象做人
[00:05:54.000 --> 00:06:00.000]  但很多人很喜歡按照動物或人的形象
[00:06:00.000 --> 00:06:04.000]  去做上帝或神明
[00:06:04.000 --> 00:06:08.000]  這是對上帝最大的侮辱
[00:06:08.000 --> 00:06:12.000]  在《出埃及記》三十二章記載了一件事
[00:06:12.000 --> 00:06:15.000]  由於摩西上山去見上帝
[00:06:15.000 --> 00:06:17.000]  過了一個月還未下來
[00:06:17.000 --> 00:06:25.000]  人民要求亞倫幫他們做一個領他們出埃及的神明
[00:06:25.000 --> 00:06:28.000]  結果亞倫就做了一隻金牛
[00:06:28.000 --> 00:06:31.000]  人民見到的時候就很歡喜
[00:06:31.000 --> 00:06:32.000]  啊 以色列啊
[00:06:32.000 --> 00:06:36.000]  這是帶領我們離開埃及的神明
[00:06:36.000 --> 00:06:41.000]  他們不是以為那隻牛
[00:06:41.000 --> 00:06:43.000]  剛剛做出來的金牛
[00:06:43.000 --> 00:06:46.000]  是帶領他們出埃及的神明
[00:06:46.000 --> 00:06:49.000]  而是那隻金牛代表上帝
[00:06:49.000 --> 00:06:54.000]  但用牛去代表上帝都真是豈有此理
