
[00:00:00.000 --> 00:00:05.100]  讓我們在神的面前準備好自己的心
[00:00:05.100 --> 00:00:07.400]  去敬拜上帝的時候
[00:00:07.400 --> 00:00:10.400]  我們就能謙卑祂的面前
[00:00:10.400 --> 00:00:13.520]  我們有一個禱告
[00:00:13.520 --> 00:00:14.800]  上帝,我們感謝祢
[00:00:14.800 --> 00:00:16.800]  因為祢賜下祢的說話
[00:00:16.800 --> 00:00:19.300]  求祢開我們的眼睛
[00:00:19.300 --> 00:00:20.700]  用祢的角度
[00:00:20.700 --> 00:00:24.200]  聖靈帶領我們進入祢的話語當中
[00:00:24.200 --> 00:00:26.400]  當中如果有什麼提醒
[00:00:26.400 --> 00:00:29.400]  有什麼責備
[00:00:29.400 --> 00:00:32.900]  都願意上帝讓我們用得下祢的說話
[00:00:32.900 --> 00:00:33.600]  多謝祢
[00:00:33.600 --> 00:00:35.600]  我們祈禱奉耶穌的聖名祈求
[00:00:35.600 --> 00:00:36.600]  阿門
[00:00:59.400 --> 00:01:01.400]  不知道大家是否記得十四年前
[00:01:01.400 --> 00:01:05.400]  阿伯拉罕聽了撒拉的主意
[00:01:05.400 --> 00:01:08.900]  用自己的方法去實現神的應許
[00:01:08.900 --> 00:01:12.400]  就和夏鴿生了以實瑪利
[00:01:12.400 --> 00:01:15.400]  這件事反而令到今日
[00:01:15.400 --> 00:01:18.400]  這個應許實現的好事
[00:01:18.400 --> 00:01:23.400]  激化了阿伯拉罕家中各種張力
[00:01:23.400 --> 00:01:29.400]  首先我們看看,撒拉一向不和夏鴿
[00:01:29.400 --> 00:01:32.400]  十四章的時候大家有一個很大的衝突
[00:01:32.400 --> 00:01:34.400]  夏鴿要出走
[00:01:34.400 --> 00:01:37.400]  回去後也不會好日子過
[00:01:37.400 --> 00:01:39.400]  大家都是權力的鬥爭
[00:01:39.400 --> 00:01:42.400]  現在撒拉多了一個兒子
[00:01:42.400 --> 00:01:45.400]  大家更加旗鼓相當
[00:01:45.400 --> 00:01:48.400]  鬥爭又一白熱化
[00:01:48.400 --> 00:01:54.400]  夏鴿的兒子以實瑪利和撒拉之間的關係緊張
[00:01:54.400 --> 00:01:58.400]  雖然以實瑪利名義上歸撒拉
[00:01:58.400 --> 00:02:01.400]  但他始終是夏鴿的兒子
[00:02:01.400 --> 00:02:03.400]  他對夏鴿的憎恨
[00:02:03.400 --> 00:02:07.400]  也會對以實瑪利看不順眼
[00:02:07.400 --> 00:02:10.400]  當以實出世之後
[00:02:10.400 --> 00:02:13.400]  夏鴿也覺得有威脅
[00:02:13.400 --> 00:02:15.400]  因為以實出世之後
[00:02:15.400 --> 00:02:18.400]  夏鴿的地位就會更加低
[00:02:18.400 --> 00:02:21.400]  以前因為撒拉沒有兒子
[00:02:21.400 --> 00:02:25.400]  下一代之間又如何呢?
[00:02:25.400 --> 00:02:29.400]  以實瑪利其實對以實不太友善
[00:02:29.400 --> 00:02:32.400]  稍後的經文大家都可以看到
[00:02:32.400 --> 00:02:34.400]  在種種的張力下
[00:02:34.400 --> 00:02:36.400]  誰夾在中間呢?
[00:02:36.400 --> 00:02:38.400]  是伯拉罕
[00:02:38.400 --> 00:02:40.400]  慘不慘?
[00:02:40.400 --> 00:02:42.400]  所以不要說齊人之福
[00:02:42.400 --> 00:02:45.400]  原來是禍
[00:02:45.400 --> 00:02:48.400]  在種種的張力下
[00:02:48.400 --> 00:02:52.400]  只要任何一個火花擦一擦
[00:02:52.400 --> 00:02:55.400]  就足以引爆一場大的衝突
[00:02:55.400 --> 00:02:58.400]  果然以實瑪利一個動作
[00:02:58.400 --> 00:03:01.400]  你發覺就拉開了火頭
[00:03:01.400 --> 00:03:05.400]  剛才大家看到第九節到第十一節
[00:03:05.400 --> 00:03:08.400]  大家會記得吧?
[00:03:08.400 --> 00:03:11.400]  上一段經文一節八節
[00:03:11.400 --> 00:03:15.400]  其實是強調撒拉的歡笑
[00:03:15.400 --> 00:03:17.400]  記不記得?
[00:03:17.400 --> 00:03:20.400]  就在這個開心的場合
[00:03:20.400 --> 00:03:23.400]  出現了一個反高潮的一幕
[00:03:23.400 --> 00:03:26.400]  一開始就說那時
[00:03:26.400 --> 00:03:28.400]  那時是什麼時候呢?
[00:03:28.400 --> 00:03:31.400]  原來在第八節裡說到
[00:03:31.400 --> 00:03:33.400]  以實斷奶那一天
[00:03:33.400 --> 00:03:36.400]  伯拉罕擺設盛大的筵席
[00:03:36.400 --> 00:03:38.400]  開心嗎?
[00:03:38.400 --> 00:03:39.400]  開心
[00:03:39.400 --> 00:03:42.400]  就在這個時候一件事發生
[00:03:42.400 --> 00:03:44.400]  什麼事呢?
[00:03:44.400 --> 00:03:52.400]  原來以實瑪利的氣笑
[00:03:52.400 --> 00:03:55.400]  整個場合應該是歡笑的
[00:03:55.400 --> 00:03:57.400]  為什麼以實瑪利的氣笑
[00:03:57.400 --> 00:04:01.400]  會拉著撒拉的怒火
[00:04:01.400 --> 00:04:04.400]  還要即時趕走他們兩母子呢?
[00:04:04.400 --> 00:04:06.400]  剛才大家讀過了
[00:04:06.400 --> 00:04:09.400]  原來氣笑是什麼意思呢?
[00:04:09.400 --> 00:04:12.400]  我們嘗試看看切斯記
[00:04:12.400 --> 00:04:14.400]  同一個字來的
[00:04:14.400 --> 00:04:15.400]  就是當時大家記得
[00:04:15.400 --> 00:04:18.400]  參孫被菲律賓人捉了
[00:04:18.400 --> 00:04:20.400]  挖了他們的眼睛出來
[00:04:20.400 --> 00:04:23.400]  然後在一個場合裡
[00:04:23.400 --> 00:04:24.400]  很開心
[00:04:24.400 --> 00:04:28.400]  他們叫參孫出來鬥我們歡樂
[00:04:28.400 --> 00:04:31.400]  捉他出來玩猴子戲
[00:04:31.400 --> 00:04:36.400]  於是他們把參孫從監獄裡提出來
[00:04:36.400 --> 00:04:39.400]  在他們面前氣灑
[00:04:39.400 --> 00:04:42.400]  氣灑這個字就是氣笑
[00:04:42.400 --> 00:04:45.400]  原來氣笑是有侮辱成分的
[00:04:45.400 --> 00:04:51.400]  是一個貶低性的玩弄的動作
[00:04:51.400 --> 00:04:55.400]  為什麼以實瑪利會做這些小動作呢?
[00:04:55.400 --> 00:04:57.400]  聖經沒有交代
[00:04:57.400 --> 00:05:00.400]  但我們看回聖經的歷史
[00:05:00.400 --> 00:05:03.400]  以實瑪利斷奶的時候
[00:05:03.400 --> 00:05:06.400]  是沒有任何的言直說他擺設的
[00:05:06.400 --> 00:05:08.400]  或者這就是他的妒忌呢?
[00:05:08.400 --> 00:05:09.400]  我不知道
[00:05:09.400 --> 00:05:11.400]  但無論如何
[00:05:11.400 --> 00:05:13.400]  以實瑪利對於以實是相當不友善
[00:05:13.400 --> 00:05:15.400]  我們可以看到
[00:05:15.400 --> 00:05:18.400]  甚至充滿了敵意
[00:05:18.400 --> 00:05:20.400]  至於撒拉呢?
[00:05:20.400 --> 00:05:25.400]  撒拉在他的說話當中說了什麼呢?
[00:05:25.400 --> 00:05:29.400]  他一直在踩著夏甲和以實瑪利
[00:05:29.400 --> 00:05:32.400]  他連夏甲的名字都不想提
[00:05:32.400 --> 00:05:34.400]  他說「這是女」
[00:05:34.400 --> 00:05:37.400]  也不提以實瑪利的名字
[00:05:37.400 --> 00:05:39.400]  他說「她的兒子」
[00:05:39.400 --> 00:05:42.400]  他強調她是他的兒子
[00:05:42.400 --> 00:05:44.400]  表示什麼呢?
