
[00:00:00.000 --> 00:00:02.800]  一起來禱告,來仰望他
[00:00:02.800 --> 00:00:06.400]  主啊,我們的心願就是在這個末世的年間
[00:00:06.400 --> 00:00:11.900]  我們能夠看見主你福星的功人在各處來做功
[00:00:11.900 --> 00:00:14.700]  主你給我們一個天國來的意象
[00:00:14.700 --> 00:00:20.200]  就是地上有許多許多需要栽種福音種子的地方
[00:00:20.200 --> 00:00:24.100]  也有許多許多需要收割的地方
[00:00:24.100 --> 00:00:27.600]  主啊,我們盼望你,盼望你栽培
[00:00:27.600 --> 00:00:31.400]  主你支持檢選中的兒女們
[00:00:31.400 --> 00:00:34.700]  就在這個世界中能夠站立起來
[00:00:34.700 --> 00:00:39.200]  說明你的恩典,見證你的奇妙
[00:00:39.200 --> 00:00:45.500]  也在當中能夠向世人來宣佈主救贖的大能
[00:00:45.500 --> 00:00:50.700]  願主你的兒女們長壽主愛中的吉利
[00:00:50.700 --> 00:00:57.000]  也長能夠看見如同洗禮法一樣的這個榮耀的國度
[00:00:57.000 --> 00:01:01.400]  就能夠堅持,能夠定精,能夠穩步
[00:01:01.400 --> 00:01:04.800]  能夠謙卑,能夠順服的走下去
[00:01:04.800 --> 00:01:09.900]  我們就把團區部的牧師這個移民的手續我們仰望你
[00:01:09.900 --> 00:01:15.900]  願你在當中幫助,在當中彰顯你自己的榮耀
[00:01:15.900 --> 00:01:22.700]  在我們等待的裡面,教我們更學會如何的知道你的心懷意念
[00:01:22.700 --> 00:01:29.900]  我們也在這個時候,來到六月有許多的家庭需要外出旅行
[00:01:29.900 --> 00:01:34.700]  願你在他們走過的這個旅程的道路中
[00:01:34.700 --> 00:01:39.500]  也給他們能夠得著這個被接待的恩典
[00:01:39.500 --> 00:01:47.600]  讓他們身體靈魂都能夠在主你自己的帶領的當中得到更新
[00:01:47.600 --> 00:01:51.700]  願你今天把你的話語傳染的給我們
[00:01:51.700 --> 00:01:54.900]  讓我們用信心傳染的接受
[00:01:54.900 --> 00:01:57.700]  聽我們在你的面前感謝的禱告
[00:01:57.700 --> 00:02:01.000]  靠恩典的主耶穌基督的聖名
[00:02:01.000 --> 00:02:02.200]  Amen
[00:02:02.200 --> 00:02:06.100]  今天我願意在這個時候把在約翰三書中
[00:02:06.100 --> 00:02:09.400]  愛中的接待這個信息帶給大家
[00:02:09.400 --> 00:02:14.900]  一個生命經過了神的愛,也經過了光照了以後
[00:02:14.900 --> 00:02:18.900]  我們知道我們裡面總有一個生命中的變化
[00:02:18.900 --> 00:02:23.700]  這個變化開始離開了我們原先看自己的地位
[00:02:23.700 --> 00:02:28.500]  我們開始看到主耶穌在我們生命當中做公的喜樂
[00:02:28.500 --> 00:02:32.100]  所以我們的言行,我們的生活,我們的住處
[00:02:32.100 --> 00:02:34.900]  我們開始有另外一種的看見
[00:02:34.900 --> 00:02:38.100]  甚至於在我們與神的關係被建立起來的時候
[00:02:38.100 --> 00:02:43.500]  我們開始發現愛中能夠改變我們周圍的人際關係
[00:02:43.500 --> 00:02:45.300]  這個是約翰書信的當中
