
[00:00:00.000 --> 00:00:02.000]  各位聽眾早晨
[00:00:02.000 --> 00:00:06.000]  今日一返到教會
[00:00:06.000 --> 00:00:08.000]  最多人
[00:00:08.000 --> 00:00:10.000]  問我的問題是什麼
[00:00:10.000 --> 00:00:12.000]  昨晚報道會怎樣
[00:00:12.000 --> 00:00:16.000]  一會兒我講到會講
[00:00:16.000 --> 00:00:20.000]  一會兒講到會講
[00:00:20.000 --> 00:00:22.000]  你見到今日的講題
[00:00:22.000 --> 00:00:24.000]  都知道我會講什麼
[00:00:24.000 --> 00:00:26.000]  莊稼已經熟了
[00:00:26.000 --> 00:00:28.000]  約翰福音四章
[00:00:28.000 --> 00:00:30.000]  三十八節
[00:00:30.000 --> 00:00:32.000]  我們一起讀出
[00:00:32.000 --> 00:00:34.000]  今日的主題經文
[00:00:34.000 --> 00:00:36.000]  一二三
[00:00:36.000 --> 00:00:38.000]  耶穌說:我的食物就是
[00:00:38.000 --> 00:00:40.000]  遵行那差我來者的旨意
[00:00:40.000 --> 00:00:42.000]  造成他的功
[00:00:42.000 --> 00:00:44.000]  你們豈不說
[00:00:44.000 --> 00:00:46.000]  到收割的時候還有四個月嗎
[00:00:46.000 --> 00:00:48.000]  我告訴你們
[00:00:48.000 --> 00:00:50.000]  舉目向田觀看
[00:00:50.000 --> 00:00:52.000]  莊稼已經熟了
[00:00:52.000 --> 00:00:54.000]  可以收割了
[00:00:54.000 --> 00:00:56.000]  收割的人得功架
[00:00:56.000 --> 00:00:58.000]  五穀道永生
[00:00:58.000 --> 00:01:00.000]  叫殺種的和收割的
[00:01:00.000 --> 00:01:02.000]  一同快樂
[00:01:02.000 --> 00:01:04.000]  俗語說:乃人殺種
[00:01:04.000 --> 00:01:06.000]  者人收割
[00:01:06.000 --> 00:01:08.000]  者說可見是真的
[00:01:08.000 --> 00:01:10.000]  我差你們去
[00:01:10.000 --> 00:01:12.000]  收你們所沒有奴婦的
[00:01:12.000 --> 00:01:14.000]  別人奴婦
[00:01:14.000 --> 00:01:16.000]  你們享受他們所奴婦的
[00:01:16.000 --> 00:01:20.000]  如果你喜歡
[00:01:20.000 --> 00:01:22.000]  可以打開聖經
[00:01:22.000 --> 00:01:24.000]  因為經文就這麼多
[00:01:24.000 --> 00:01:26.000]  沒有其他相片
[00:01:26.000 --> 00:01:28.000]  今天沒有
[00:01:28.000 --> 00:01:30.000]  今天是很簡單的一個
[00:01:30.000 --> 00:01:32.000]  PowerPoint
[00:01:32.000 --> 00:01:34.000]  希望大家將注意力集中在經文
[00:01:34.000 --> 00:01:36.000]  和集中在我和大家分享的
[00:01:36.000 --> 00:01:38.000]  神的訊息華語裏面
[00:01:38.000 --> 00:01:40.000]  都會略略了解一下上下文
[00:01:40.000 --> 00:01:42.000]  這個我們在
[00:01:42.000 --> 00:01:44.000]  聖經講道裏面
[00:01:44.000 --> 00:01:46.000]  很著重的
[00:01:46.000 --> 00:01:48.000]  第一句三十四節說
[00:01:48.000 --> 00:01:50.000]  我的食物就是
[00:01:50.000 --> 00:01:52.000]  遵行那差我來者的旨意
[00:01:52.000 --> 00:01:54.000]  而造成他的功
[00:01:54.000 --> 00:01:56.000]  這是耶穌說的
[00:01:56.000 --> 00:01:58.000]  當時的背景就是
[00:01:58.000 --> 00:02:00.000]  耶穌去到一個
[00:02:00.000 --> 00:02:02.000]  雅各的井旁
[00:02:02.000 --> 00:02:04.000]  在撒瑪利亞的一個地方
[00:02:04.000 --> 00:02:06.000]  當時耶穌肚子餓
[00:02:06.000 --> 00:02:08.000]  身邊的門徒都出去買食物
[00:02:08.000 --> 00:02:10.000]  在中午的時分
[00:02:10.000 --> 00:02:12.000]  烈日當空的時候
[00:02:12.000 --> 00:02:14.000]  耶穌在等門徒買食物回來
[00:02:14.000 --> 00:02:16.000]  買麥當勞也好
[00:02:16.000 --> 00:02:18.000]  買什麼也好
[00:02:18.000 --> 00:02:20.000]  然後有個撒瑪利亞婦人來了
[00:02:20.000 --> 00:02:22.000]  耶穌和她談道
[00:02:22.000 --> 00:02:24.000]  相信大家都熟悉這段經文
[00:02:24.000 --> 00:02:26.000]  撒瑪利亞婦人發覺
[00:02:26.000 --> 00:02:28.000]  耶穌不簡單
[00:02:28.000 --> 00:02:30.000]  知道我的身世
[00:02:30.000 --> 00:02:32.000]  回到村莊裏面
[00:02:32.000 --> 00:02:34.000]  和她的村民分享
[00:02:34.000 --> 00:02:36.000]  很多人湧去
[00:02:36.000 --> 00:02:38.000]  結識耶穌
[00:02:38.000 --> 00:02:40.000]  留下耶穌住了幾晚
[00:02:40.000 --> 00:02:42.000]  很多人信主
[00:02:42.000 --> 00:02:44.000]  大致上背景是這樣
[00:02:44.000 --> 00:02:46.000]  中間婦人離開了耶穌
[00:02:46.000 --> 00:02:48.000]  回到村莊
[00:02:48.000 --> 00:02:50.000]  撒瑪利亞婦人報料
