
[00:00:00.000 --> 00:00:02.000]  今天要跟各位分享
[00:00:02.000 --> 00:00:04.000]  復活的基督
[00:00:04.000 --> 00:00:07.000]  我不是說復活的耶穌
[00:00:07.000 --> 00:00:09.000]  因為耶穌已經死了
[00:00:09.000 --> 00:00:12.000]  但是我們活的是基督
[00:00:12.000 --> 00:00:14.000]  祂是Christ
[00:00:14.000 --> 00:00:16.000]  祂是Messiah
[00:00:16.000 --> 00:00:18.000]  祂是Adonai
[00:00:18.000 --> 00:00:19.000]  祂是El Shaddai
[00:00:19.000 --> 00:00:22.000]  祂是大能的神
[00:00:22.000 --> 00:00:24.000]  所以
[00:00:24.000 --> 00:00:27.000]  復活的基督是Living Christ
[00:00:27.000 --> 00:00:29.000]  Hallelujah
[00:00:29.000 --> 00:00:31.000]  祂活在我們的心裡面
[00:00:31.000 --> 00:00:34.000]  祂現在在天上
[00:00:34.000 --> 00:00:37.000]  那麼我們這一個禮拜過來
[00:00:37.000 --> 00:00:40.000]  我們走過了受難
[00:00:40.000 --> 00:00:41.000]  受死
[00:00:41.000 --> 00:00:44.000]  今天我們要來看祂的復活
[00:00:44.000 --> 00:00:46.000]  因為我們耶穌
[00:00:46.000 --> 00:00:48.000]  我們基督的復活
[00:00:48.000 --> 00:00:50.000]  祂是必要的
[00:00:50.000 --> 00:00:53.000]  而且是可以證明的
[00:00:53.000 --> 00:00:56.000]  而且祂彰顯出祂自己來
[00:00:56.000 --> 00:00:59.000]  最後祂賜給我們盼望
[00:00:59.000 --> 00:01:03.000]  所以讓我們從這個實價苦路
[00:01:03.000 --> 00:01:06.000]  走到一個重生
[00:01:06.000 --> 00:01:09.000]  一個新的一條路
[00:01:09.000 --> 00:01:11.000]  我們雖然好像生活上
[00:01:11.000 --> 00:01:13.000]  我們日子裡面
[00:01:13.000 --> 00:01:15.000]  我相信大部分人
[00:01:15.000 --> 00:01:18.000]  沒有受過耶穌所受過的
[00:01:18.000 --> 00:01:21.000]  那個實價苦路
[00:01:21.000 --> 00:01:22.000]  我進步就是說
[00:01:22.000 --> 00:01:26.000]  耶穌你為什麼要來
[00:01:26.000 --> 00:01:29.000]  誰願意讓自己來到一個
[00:01:29.000 --> 00:01:33.000]  最低價環境被打被殺
[00:01:33.000 --> 00:01:35.000]  誰願意
[00:01:35.000 --> 00:01:37.000]  我們每一個人來到這個世界上面
[00:01:37.000 --> 00:01:39.000]  我們都希望是
[00:01:39.000 --> 00:01:42.000]  如果不能含著金湯匙出生嘛
[00:01:42.000 --> 00:01:44.000]  一生榮華富貴
[00:01:44.000 --> 00:01:47.000]  好歹也是平安安安的
[00:01:47.000 --> 00:01:48.000]  快快樂樂
[00:01:48.000 --> 00:01:50.000]  健健康康的
[00:01:50.000 --> 00:01:52.000]  但是我們的神
[00:01:52.000 --> 00:01:54.000]  卻把祂的獨生愛子
[00:01:54.000 --> 00:01:56.000]  賜給我們
[00:01:56.000 --> 00:01:58.000]  然後被我們打殺
[00:01:58.000 --> 00:02:00.000]  被我們吐吐沫
[00:02:00.000 --> 00:02:01.000]  然後還說
[00:02:01.000 --> 00:02:03.000]  父啊赦免他們
[00:02:03.000 --> 00:02:04.000]  因為他們所做的
[00:02:04.000 --> 00:02:06.000]  他們不知道
[00:02:06.000 --> 00:02:10.000]  甚至用自己的血
[00:02:10.000 --> 00:02:13.000]  來除盡我們一切的罪孽
[00:02:13.000 --> 00:02:14.000]  叫一切信祂的
[00:02:14.000 --> 00:02:16.000]  不致滅亡
[00:02:16.000 --> 00:02:21.000]  反得永生
[00:02:21.000 --> 00:02:23.000]  那麼我剛才說
[00:02:23.000 --> 00:02:24.000]  我們上個禮拜
[00:02:24.000 --> 00:02:28.000]  叫做受難週
[00:02:28.000 --> 00:02:29.000]  是不是
[00:02:29.000 --> 00:02:31.000]  受難週基本上
[00:02:31.000 --> 00:02:34.000]  就是從上個禮拜天開始
[00:02:34.000 --> 00:02:37.000]  耶穌進入聖城耶路撒冷
[00:02:37.000 --> 00:02:38.000]  是不是
[00:02:38.000 --> 00:02:40.000]  那是上個禮拜天
[00:02:40.000 --> 00:02:43.000]  所以我們稱作叫做入城日
[00:02:43.000 --> 00:02:46.000]  因為那一天耶穌進入到
[00:02:46.000 --> 00:02:48.000]  耶路撒冷城的時候
[00:02:48.000 --> 00:02:51.000]  祂是騎著驢車
[00:02:51.000 --> 00:02:54.000]  然後許多的老百姓來到
[00:02:54.000 --> 00:02:57.000]  聖城
[00:02:57.000 --> 00:02:59.000]  他們準備要採購
[00:02:59.000 --> 00:03:01.000]  愈節的羔羊
[00:03:01.000 --> 00:03:06.000]  準備愈節的時候吃羊肉的
[00:03:06.000 --> 00:03:07.000]  殊不知
[00:03:07.000 --> 00:03:10.000]  耶穌就是愈節的羔羊
[00:03:10.000 --> 00:03:12.000]  祂把祂自己獻給我們
[00:03:12.000 --> 00:03:15.000]  祂把祂自己獻在祭壇上
[00:03:15.000 --> 00:03:19.000]  一次獻祭就完成了永遠的獻祭
[00:03:19.000 --> 00:03:21.000]  那麼禮拜天的時候
[00:03:21.000 --> 00:03:24.000]  又叫做忠肅主日
[00:03:24.000 --> 00:03:27.000]  因為老百姓夾道歡呼
[00:03:27.000 --> 00:03:31.000]  手拿忠肅之口唱和善納
[00:03:31.000 --> 00:03:34.000]  歡迎被殺的羔羊
[00:03:34.000 --> 00:03:38.000]  來檢選那個沒有罪的羔羊
[00:03:38.000 --> 00:03:43.000]  那一天耶穌祂預言祂要受難受死
[00:03:43.000 --> 00:03:46.000]  那一天祂看到耶路撒冷
[00:03:46.000 --> 00:03:48.000]  看到大家那麼歡喜
[00:03:48.000 --> 00:03:50.000]  祂禁不住哭了
[00:03:50.000 --> 00:03:53.000]  因為祂說耶路撒冷城要被毀掉
[00:03:53.000 --> 00:03:56.000]  聖殿要被毀掉
[00:03:56.000 --> 00:03:58.000]  第二天
[00:03:58.000 --> 00:04:01.000]  潔淨聖殿禮拜一
[00:04:01.000 --> 00:04:03.000]  叫做潔淨日
[00:04:03.000 --> 00:04:05.000]  耶穌進到聖殿裡面
[00:04:05.000 --> 00:04:08.000]  祂看到許多有做生意做買賣的
[00:04:08.000 --> 00:04:11.000]  還有許多的閒雜人物
[00:04:11.000 --> 00:04:16.000]  祂就把那些兌換銀錢的錢推翻掉了
[00:04:16.000 --> 00:04:18.000]  然後把他們趕出去
