
[00:00:00.000 --> 00:00:01.880]  返嚟今日嘅講道
[00:00:01.880 --> 00:00:03.440]  信仰最大嘅挑戰
[00:00:03.440 --> 00:00:06.720]  如果我話信仰面對最大嘅挑戰
[00:00:06.720 --> 00:00:09.160]  並唔係被拒絕相信
[00:00:09.160 --> 00:00:11.920]  而係被信得虛偽
[00:00:11.920 --> 00:00:14.400]  你認唔認同呢?
[00:00:14.400 --> 00:00:15.680]  無論係乜嘢信仰
[00:00:15.680 --> 00:00:18.120]  當然我哋講緊嘅係基督教嘅信仰
[00:00:18.120 --> 00:00:20.440]  基督教信仰如果我哋站喺信仰
[00:00:20.440 --> 00:00:21.400]  對別人嚟對講
[00:00:21.400 --> 00:00:23.000]  我唔驚你唔信
[00:00:23.000 --> 00:00:25.080]  我最驚你信成點呀?
[00:00:25.080 --> 00:00:27.720]  就係你信得假
[00:00:27.720 --> 00:00:29.120]  信得虛偽
[00:00:29.120 --> 00:00:32.800]  令到呢個信仰備受批評
[00:00:32.800 --> 00:00:36.160]  有一位印度教徒曾經向葛培里牧師講
[00:00:36.160 --> 00:00:40.520]  如果我能夠親眼睇到一位真正嘅基督徒
[00:00:40.520 --> 00:00:42.960]  我就會接受你嘅信仰
[00:00:42.960 --> 00:00:44.760]  有啲未信嘅人就會話
[00:00:44.760 --> 00:00:47.880]  如果信耶穌信到好似某人咁呢
[00:00:47.880 --> 00:00:50.400]  我就寧願唔信啦
[00:00:50.400 --> 00:00:54.000]  其實基督教信仰最強而有力嘅
[00:00:54.000 --> 00:00:56.880]  係基督徒嘅生命見證
[00:00:56.880 --> 00:00:58.400]  好可惜
[00:00:58.400 --> 00:01:01.640]  有時有啲基督徒可能係我哋自己
[00:01:01.640 --> 00:01:03.200]  言行不一
[00:01:03.200 --> 00:01:05.400]  唔單係講一套做一套
[00:01:05.400 --> 00:01:09.000]  而係信一套做一套
[00:01:09.000 --> 00:01:12.080]  令到我哋嘅信仰備受批評
[00:01:12.080 --> 00:01:16.840]  耶穌基督嘅名字都因為咁受虧損
[00:01:16.840 --> 00:01:19.360]  今日我講到嘅信息
[00:01:19.360 --> 00:01:21.360]  好想話畀電影姊妹聽
[00:01:21.360 --> 00:01:25.480]  信心同行為係不能夠分割
[00:01:25.480 --> 00:01:28.480]  當我哋講我哋信上帝嘅時候
[00:01:28.480 --> 00:01:33.000]  我哋嘅信心係要透過行為嚟驗證
[00:01:33.000 --> 00:01:34.400]  而且仲要係咩呢
[00:01:34.400 --> 00:01:36.240]  我哋要知道自己信緊乜
[00:01:36.240 --> 00:01:37.960]  信得正確
[00:01:37.960 --> 00:01:41.240]  我哋行嘅先至正確
[00:01:41.240 --> 00:01:42.920]  頭先重讀嘅經文
[00:01:42.920 --> 00:01:45.680]  我哋可以將佢分做三段
[00:01:45.680 --> 00:01:51.080]  雅各用《我的弟兄們》作為一個新段落嘅開始
[00:01:51.080 --> 00:01:52.720]  交代一下大綱
[00:01:52.720 --> 00:01:54.480]  嗰三段係點嘅呢
[00:01:54.480 --> 00:01:56.040]  十四至十七節係一段
[00:01:56.040 --> 00:01:58.520]  十八至二十節係一段
[00:01:58.520 --> 00:02:00.600]  廿一至廿六節係一段
[00:02:00.600 --> 00:02:02.800]  點樣可以見到咁嘅分段
[00:02:02.800 --> 00:02:04.720]  其實我哋常常話查聖經
[00:02:04.720 --> 00:02:06.760]  你會見到啲段落標誌
[00:02:06.760 --> 00:02:10.280]  每一段最後嘅一節係重複
[00:02:10.280 --> 00:02:11.040]  重複乜嘢呢
[00:02:11.040 --> 00:02:14.480]  就係重複信心如果冇行為就係死
[00:02:14.480 --> 00:02:17.040]  中間嗰段就係冇有行為嘅信心
[00:02:17.040 --> 00:02:21.240]  用一個問嘅方式嚟對話係死
