
[00:00:00.000 --> 00:00:01.800]  粉絲姐妹又來讀聖經啦
[00:00:01.800 --> 00:00:04.800]  生命樹和大家一起看聖經人聖經時
[00:00:04.800 --> 00:00:07.480]  今次是「我必站在你面前」
[00:00:07.480 --> 00:00:11.080]  這個「我必站在你面前」是誰說的呢?
[00:00:11.080 --> 00:00:13.080]  是主耶和華說的
[00:00:13.080 --> 00:00:14.160]  不用怕
[00:00:14.160 --> 00:00:16.800]  我會站在你面前
[00:00:16.800 --> 00:00:20.840]  即是說我會在場在此
[00:00:20.840 --> 00:00:22.960]  哎呀 糟糕了
[00:00:22.960 --> 00:00:24.720]  那個人還沒回來
[00:00:24.720 --> 00:00:26.520]  那怎麼辦?
[00:00:26.520 --> 00:00:31.120]  哎呀 講完還沒來 聚會怎麼開呢?
[00:00:31.120 --> 00:00:33.920]  那個人還沒來 說不出話來
[00:00:33.920 --> 00:00:36.400]  很惆悵徬徨的時候
[00:00:36.400 --> 00:00:40.600]  那個說得是有力量的人說
[00:00:40.600 --> 00:00:42.440]  「我必站在你面前」
[00:00:42.440 --> 00:00:45.800]  「我到時會在場」
[00:00:45.800 --> 00:00:48.280]  嘩 定了
[00:00:48.280 --> 00:00:49.680]  看看經文
[00:00:49.680 --> 00:00:51.280]  初級十七章
[00:00:51.280 --> 00:00:54.680]  以色列全會眾都遵守耶和華的吩咐
[00:00:54.680 --> 00:00:59.000]  就按著站口從信的曠野往前行
[00:00:59.000 --> 00:01:01.800]  在利菲定安營百姓沒有水渴
[00:01:01.800 --> 00:01:04.560]  一章章說
[00:01:04.560 --> 00:01:08.880]  以色列全會眾就按著神的吩咐
[00:01:08.880 --> 00:01:09.760]  怎樣神的吩咐呢?
[00:01:09.760 --> 00:01:11.840]  好 見到雲柱動
[00:01:11.840 --> 00:01:12.640]  大家就動了
[00:01:12.640 --> 00:01:16.280]  雲柱一條雲直落到地下
[00:01:16.280 --> 00:01:18.600]  雲柱的地下收起
[00:01:18.600 --> 00:01:20.720]  在前面一塊雲
[00:01:20.720 --> 00:01:21.880]  即是一塊雲
[00:01:21.880 --> 00:01:23.480]  向前走 大家就跟著它
[00:01:23.480 --> 00:01:24.720]  一見到雲柱收起
[00:01:24.720 --> 00:01:25.480]  大家收拾東西
[00:01:25.480 --> 00:01:28.000]  收拾帳篷
[00:01:28.000 --> 00:01:29.560]  我相信收拾帳篷
[00:01:29.560 --> 00:01:32.160]  綁好 放在身上
[00:01:32.160 --> 00:01:33.680]  揹起來
