
[00:00:00.000 --> 00:00:01.720]  各位聽衆朋友
[00:00:01.720 --> 00:00:02.820]  主佬平安
[00:00:02.820 --> 00:00:03.920]  今天我們要講的題目是
[00:00:03.920 --> 00:00:07.240]  當耶穌遇上遙佬的生命
[00:00:07.240 --> 00:00:09.560]  基本上是來自《約翰福音》第六章第十六節
[00:00:09.560 --> 00:00:10.940]  到二十一節
[00:00:10.940 --> 00:00:13.380]  耶穌在水上行走的神蹟
[00:00:13.380 --> 00:00:15.800]  其實不僅在《約翰福音》裏面有記載
[00:00:15.800 --> 00:00:17.700]  在《馬太福音》和《馬學福音》
[00:00:17.700 --> 00:00:20.320]  分別也有記載這個神蹟
[00:00:20.320 --> 00:00:23.760]  我們今天會嘗試跟三卷不同的福音書裏面
[00:00:23.760 --> 00:00:25.000]  講同一個故事
[00:00:25.000 --> 00:00:28.580]  去看看當耶穌遇上遙佬的生命的時候
[00:00:28.580 --> 00:00:30.860]  到底對我們有什麼特別的啓發
[00:00:30.860 --> 00:00:32.360]  的一些分享
[00:00:32.360 --> 00:00:33.320]  第一件事
[00:00:33.320 --> 00:00:35.400]  在這個故事裏面讓我們看到
[00:00:35.400 --> 00:00:39.860]  耶穌仍然那麼關心受折騰中的你和我
[00:00:39.860 --> 00:00:43.240]  根據《約翰福音》第六章第十六到第十七節講到
[00:00:43.240 --> 00:00:45.540]  「到了晚上,他的門徒下海邊去
[00:00:45.540 --> 00:00:48.320]  上出船,要過海往加伯隆去
[00:00:48.320 --> 00:00:52.240]  天已經黑了,耶穌還沒有來到他們那裏」
[00:00:52.240 --> 00:00:56.140]  這裏讓我們看到兩個與時間有關係的字眼
[00:00:56.140 --> 00:01:02.360]  第一個是晚上 第二個是更晚的天已經黑了
[00:01:02.360 --> 00:01:04.460]  當門徒上了船
[00:01:04.460 --> 00:01:08.380]  是向着加利利的加伯隆那邊出發
[00:01:08.380 --> 00:01:14.000]  而經文也特別強調耶穌還沒有來到他們那裏
[00:01:14.000 --> 00:01:17.820]  似乎他們是期待着耶穌坐船和他們會合
[00:01:17.820 --> 00:01:21.560]  雖然我們根本不清楚他們實際從哪裏出發
[00:01:21.560 --> 00:01:22.860]  根據《馬學福音》的記載
[00:01:22.860 --> 00:01:25.740]  有可能是從白塞大這個地方
[00:01:25.740 --> 00:01:28.360]  但是《約翰福音》第六章第十九節
[00:01:28.360 --> 00:01:32.040]  如果根據《約翰福音》第六章第十九節講得很清楚
[00:01:32.040 --> 00:01:35.540]  「門徒遙路行了約十里多路
[00:01:35.540 --> 00:01:37.580]  看見耶穌在海面上走
[00:01:37.580 --> 00:01:39.120]  漸漸靠近了船
[00:01:39.120 --> 00:01:41.720]  他們就害怕」
[00:01:41.720 --> 00:01:44.460]  這裏的原文「十里多路」的原文
[00:01:44.460 --> 00:01:48.520]  意思就是二十五或者是三十個Stadion
[00:01:48.520 --> 00:01:54.180]  而這個Stadion這個單位大約等於180到200公尺
[00:01:54.180 --> 00:01:56.860]  我們用200去計算比較齊頭一點
[00:01:56.860 --> 00:01:59.060]  200公尺
[00:01:59.060 --> 00:02:02.600]  如果乘以最大限度的30公尺
[00:02:02.600 --> 00:02:05.260]  就等於6000公尺
[00:02:05.260 --> 00:02:09.300]  6000公尺就等於3.5到4公里
[00:02:09.300 --> 00:02:13.760]  即是說門徒至少出發的地點
[00:02:13.760 --> 00:02:19.100]  在海上已經走了約3.5公里左右
[00:02:19.100 --> 00:02:21.780]  而又根據《馬太》和《馬可福音》的版本
[00:02:21.780 --> 00:02:25.680]  就告訴我們耶穌大概在四更天的時間
[00:02:25.680 --> 00:02:29.520]  來到行走在海面上
[00:02:29.520 --> 00:02:32.600]  大概這裏所說的四更天
[00:02:32.600 --> 00:02:36.140]  我們相信是當時由日落開始計算的
[00:02:36.140 --> 00:02:38.100]  是分爲四個階段的時間
[00:02:38.100 --> 00:02:39.660]  6點到9點
[00:02:39.660 --> 00:02:42.520]  然後9點到凌晨的12點
[00:02:42.520 --> 00:02:44.580]  然後12點到3點
[00:02:44.580 --> 00:02:46.580]  到最後的第四更
[00:02:46.580 --> 00:02:53.280]  也就是經文所說的凌晨3點到早上6點
[00:02:53.280 --> 00:02:54.680]  如果是這樣說的話
[00:02:54.680 --> 00:02:58.320]  我們相信門徒大約應該是第二更的尾
[00:02:58.320 --> 00:03:01.840]  或者是第三更的頭左右來出發
[00:03:01.840 --> 00:03:02.780]  換句話說
[00:03:02.780 --> 00:03:04.720]  去到第四更的時候
[00:03:04.720 --> 00:03:06.520]  差不多已經天亮了
[00:03:06.520 --> 00:03:08.000]  這樣說
[00:03:08.000 --> 00:03:10.960]  門徒即是說他花了好幾個小時
[00:03:10.960 --> 00:03:14.800]  在海上搖簍很長的時間
[00:03:14.800 --> 00:03:19.060]  只不過是走了3.5公里
[00:03:19.060 --> 00:03:22.780]  而耶穌也是花了很長的時間
[00:03:22.780 --> 00:03:25.000]  自己一個人來禱告
[00:03:25.000 --> 00:03:28.180]  馬可和約翰的版本
[00:03:28.180 --> 00:03:31.740]  同樣提到門徒在海上很辛苦
[00:03:31.740 --> 00:03:33.480]  死撐地表達
[00:03:33.480 --> 00:03:35.480]  兩個作者都用了同一個字
[00:03:35.480 --> 00:03:37.140]  「搖簍」這個字
[00:03:37.140 --> 00:03:38.720]  「搖簍」這個字
[00:03:38.720 --> 00:03:39.840]  「Atlanto」這個字
[00:03:39.840 --> 00:03:44.180]  其實在《新約》裏大概只是出了五次的出現
[00:03:44.180 --> 00:03:47.800]  意思主要是說被某一種力量來驅動他
[00:03:47.800 --> 00:03:50.480]  曾經用過來說到邪靈催逼
[00:03:50.480 --> 00:03:53.940]  但也是指人用盡他的力氣去推動
[00:03:53.940 --> 00:03:55.240]  去驅動一件事
[00:03:55.240 --> 00:03:58.380]  在這本書裏面的故事裏面
[00:03:58.380 --> 00:04:01.440]  特別是指門徒用盡他們的力氣
[00:04:01.440 --> 00:04:07.180]  去搖杖或者是搖簍
[00:04:07.180 --> 00:04:09.400]  令到這艘船能夠驅動
[00:04:09.400 --> 00:04:10.160]  很可惜
[00:04:10.160 --> 00:04:12.840]  他們花了很大的力氣
[00:04:12.840 --> 00:04:14.720]  很多的時間
[00:04:14.720 --> 00:04:18.560]  只不過是走了3.5公里
[00:04:18.560 --> 00:04:20.400]  仍然還沒去到目的地
[00:04:20.400 --> 00:04:22.360]  只是去到湖的中間
[00:04:22.360 --> 00:04:24.840]  如果根據《馬學》的記載
[00:04:24.840 --> 00:04:26.800]  仍然在海浪裏面
[00:04:26.800 --> 00:04:28.200]  在大海當中
[00:04:28.200 --> 00:04:30.360]  和風來到鬥前
[00:04:30.360 --> 00:04:34.180]  他們繼續不斷地死撐下去
[00:04:34.180 --> 00:04:35.680]  我們知道
[00:04:35.680 --> 00:04:37.400]  在香港來的朋友弟兄姊妹
[00:04:37.400 --> 00:04:40.560]  我們都經歷了不少這樣的苦況
