
[00:00:00.000 --> 00:00:04.000]  弟兄姊妹們 早晨
[00:00:04.000 --> 00:00:08.000]  嘩 今日好感恩
[00:00:08.000 --> 00:00:14.000]  一黎到一個咁有力嘅C班
[00:00:14.000 --> 00:00:17.000]  真係為你哋感恩
[00:00:17.000 --> 00:00:19.000]  你知唔知我點睇C班嘅 弟兄姊妹
[00:00:19.000 --> 00:00:22.000]  我其實唔係聽佢哋嘅音樂嘅
[00:00:22.000 --> 00:00:26.000]  因為冇理由喺舊廳聽音樂㗎 同大家講
[00:00:26.000 --> 00:00:29.000]  喺舊廳音樂不如你去大會堂好聽啲
[00:00:29.000 --> 00:00:31.000]  喺呢度聽乜嘢呢
[00:00:31.000 --> 00:00:34.000]  係聽佢哋生命嘅見證
[00:00:34.000 --> 00:00:37.000]  係聽佢哋點樣能夠藉住佢哋嘅生命
[00:00:37.000 --> 00:00:40.000]  將上帝嘅榮耀彈出嚟
[00:00:40.000 --> 00:00:44.000]  啊 我又幾鍾意你哋嘅詩琴啊
[00:00:44.000 --> 00:00:46.000]  啊
[00:00:46.000 --> 00:00:51.000]  咁當然唔會忘記呀陳sir啦
[00:00:51.000 --> 00:00:53.000]  我哋嘅指揮呀真係
[00:00:53.000 --> 00:00:55.000]  真係好耐 好多年朋友啊
[00:00:55.000 --> 00:00:57.000]  為你感恩 上嚟就祝福佢啦
[00:00:57.000 --> 00:00:59.000]  俾佢好返一手心工
[00:00:59.000 --> 00:01:02.000]  哎呀 指揮又冇你手你點指
[00:01:02.000 --> 00:01:04.000]  冇搵你腳你指㗎嘛先
[00:01:04.000 --> 00:01:06.000]  所以 感謝主
[00:01:06.000 --> 00:01:08.000]  我同大家講啊
[00:01:08.000 --> 00:01:11.000]  我可以聯想到 收到聽天國嘅時候
[00:01:11.000 --> 00:01:16.000]  一萬四千四百個C班員啊
[00:01:16.000 --> 00:01:18.000]  一齊喺度見證神
[00:01:18.000 --> 00:01:20.000]  點解咁樣諗呢
[00:01:20.000 --> 00:01:22.000]  佢哋 佢哋今日呢個 呢個重讚呢
[00:01:22.000 --> 00:01:23.000]  令我諗起
[00:01:23.000 --> 00:01:27.000]  1984年 我喺全球嗰個Urbana
[00:01:27.000 --> 00:01:30.000]  係全世界嘅mission conference
[00:01:30.000 --> 00:01:32.000]  每三年開一次嘅
[00:01:32.000 --> 00:01:34.000]  哇 嗰度
