
[00:00:00.000 --> 00:00:05.400]  今日講題叫做「奇妙聖靈 全程主靈」
[00:00:05.400 --> 00:00:08.400]  你看經文便會發現
[00:00:08.400 --> 00:00:10.280]  不單是這段經文
[00:00:10.280 --> 00:00:14.320]  整個《司徒行傳》都是聖靈、奇妙的大靈
[00:00:14.320 --> 00:00:16.720]  考考姐妹
[00:00:16.720 --> 00:00:19.200]  「全程主靈」是一首詩歌
[00:00:19.200 --> 00:00:21.560]  有人聽過嗎?聽過可以拍拍手
[00:00:21.560 --> 00:00:24.680]  「全程主靈」不認識吧?
[00:00:24.680 --> 00:00:28.960]  聽說是在平安詩集裡
[00:00:29.760 --> 00:00:31.320]  是喪禮唱的歌
[00:00:31.320 --> 00:00:36.040]  「全程主靈」即是我從出生到回到天下
[00:00:36.040 --> 00:00:38.640]  全程主都會大靈
[00:00:38.640 --> 00:00:40.720]  你有沒有這個信念
[00:00:40.720 --> 00:00:43.200]  你有沒有覺得從你出生之前
[00:00:43.200 --> 00:00:44.160]  正如聖經所說
[00:00:44.160 --> 00:00:47.920]  在創世前神已經揀選了你
[00:00:47.920 --> 00:00:50.800]  神救贖了你、救贖了我
[00:00:50.800 --> 00:00:54.760]  神在我們過去、現在、將來
[00:00:54.760 --> 00:00:56.840]  神都與我們同在
[00:00:56.840 --> 00:00:59.400]  當然我們信主的時候
[00:00:59.760 --> 00:01:03.560]  聖靈才可以內註在我們的生命裡
[00:01:03.560 --> 00:01:07.760]  「全程主靈」很有意思
[00:01:07.760 --> 00:01:09.760]  考考大家的姐妹
[00:01:09.760 --> 00:01:10.840]  今天講的題目
[00:01:10.840 --> 00:01:12.480]  很特別的一段經文
[00:01:12.480 --> 00:01:15.680]  聖靈怎樣在人的心裡作供
[00:01:15.680 --> 00:01:17.800]  在傳福音的人身上
[00:01:17.800 --> 00:01:19.520]  在聽福音的人身上
[00:01:19.520 --> 00:01:23.080]  在整個教會的福音事供
[00:01:23.080 --> 00:01:25.200]  奇妙的聖靈怎樣大靈
[00:01:25.200 --> 00:01:26.840]  福音臨到外邦人
[00:01:26.840 --> 00:01:28.880]  福音臨到所有人
[00:01:29.040 --> 00:01:31.400]  聖靈怎樣作為導演
[00:01:31.400 --> 00:01:34.800]  怎樣帶領著教會
[00:01:34.800 --> 00:01:36.840]  基督這個屬靈的群體
[00:01:36.840 --> 00:01:38.200]  去做屬靈的事
[00:01:38.200 --> 00:01:40.280]  就是靠屬靈的方法
[00:01:40.280 --> 00:01:42.360]  聖靈是很特別的
[00:01:42.360 --> 00:01:45.800]  不過問一問大家
[00:01:45.800 --> 00:01:47.520]  在新約聖經裡面
[00:01:47.520 --> 00:01:52.800]  有哪幾本書是用地方名來納明的?
[00:01:54.080 --> 00:02:00.160]  菲律賓、羅馬、哥倫多、以佛、索加、拉、泰
[00:02:00.160 --> 00:02:03.840]  哥羅西、帖薩羅尼加
[00:02:03.840 --> 00:02:08.560]  其他都是用人名
[00:02:08.560 --> 00:02:12.720]  或者用民族的希伯來
[00:02:12.720 --> 00:02:21.080]  還有啟示錄就是用寫作的文學性質
[00:02:21.880 --> 00:02:26.200]  但由羅馬書、哥倫多到帖薩羅尼加
[00:02:26.200 --> 00:02:30.280]  這一堆都是屬於什麼地方的?
[00:02:30.280 --> 00:02:33.360]  屬於歐洲的哪幾個地方?
[00:02:33.360 --> 00:02:34.400]  羅馬
[00:02:34.400 --> 00:02:36.920]  哥倫多屬於什麼?
[00:02:36.920 --> 00:02:38.720]  歐洲
[00:02:38.720 --> 00:02:39.720]  還有呢?
[00:02:39.720 --> 00:02:42.280]  加拉太呢?
[00:02:42.280 --> 00:02:44.520]  亞洲的
[00:02:44.520 --> 00:02:45.880]  以佛索呢?
[00:02:45.880 --> 00:02:47.680]  亞洲的
[00:02:47.680 --> 00:02:48.800]  菲律賓?
[00:02:48.800 --> 00:02:50.800]  歐洲的
[00:02:51.080 --> 00:02:52.280]  你想去哪裏旅行?
[00:02:52.280 --> 00:02:55.160]  兩個地方都想去
[00:02:55.160 --> 00:02:56.680]  帖薩羅尼加呢?
[00:02:56.680 --> 00:02:58.720]  歐洲的
[00:02:58.720 --> 00:02:59.760]  哥羅西呢?
[00:02:59.760 --> 00:03:01.480]  亞洲的
[00:03:01.480 --> 00:03:06.960]  聖經所說的這些書信
[00:03:06.960 --> 00:03:08.840]  全部都是保羅寫的
[00:03:08.840 --> 00:03:12.440]  因為保羅是從亞洲到歐洲
[00:03:12.440 --> 00:03:14.800]  福音是從耶路撒冷
[00:03:14.800 --> 00:03:16.960]  一直到歐洲
[00:03:16.960 --> 00:03:18.280]  到羅馬
[00:03:18.280 --> 00:03:19.920]  後來到西班牙
[00:03:20.440 --> 00:03:22.440]  聖經有這些書信
[00:03:22.440 --> 00:03:26.040]  但我想今天我們看這段經文的時候
[00:03:26.040 --> 00:03:27.720]  福音如何臨到愛邦人
