
[00:00:00.000 --> 00:00:03.000]  新的一年我們會講哪一卷書呢?
[00:00:03.000 --> 00:00:04.400]  我們在思考當中
[00:00:04.400 --> 00:00:05.600]  過去我都有提及
[00:00:05.600 --> 00:00:08.500]  我們決定仍然是用四十篇讀
[00:00:08.500 --> 00:00:10.400]  講羅馬書
[00:00:10.400 --> 00:00:11.500]  所以接下來一年
[00:00:11.500 --> 00:00:13.200]  我們會有不同的同工
[00:00:13.200 --> 00:00:14.700]  一齊的同心
[00:00:14.700 --> 00:00:16.800]  來用四十篇講章
[00:00:16.800 --> 00:00:19.000]  來完成羅馬書
[00:00:19.000 --> 00:00:21.500]  我很希望我們的同工站在港台的時候
[00:00:21.500 --> 00:00:22.900]  有大家的祝福
[00:00:22.900 --> 00:00:24.100]  有大家的祈禱
[00:00:24.100 --> 00:00:25.800]  因為我們很深信
[00:00:25.800 --> 00:00:27.000]  我們不同的
[00:00:27.000 --> 00:00:29.800]  不同的資歷的同工
[00:00:29.800 --> 00:00:31.200]  我們有些是資深
[00:00:31.200 --> 00:00:32.700]  有些較為資淺的
[00:00:32.700 --> 00:00:35.400]  我們仍然是願意按照真理
[00:00:35.400 --> 00:00:37.400]  來分解神的道
[00:00:37.400 --> 00:00:39.200]  我們更加渴望
[00:00:39.200 --> 00:00:40.500]  我們每一篇道
[00:00:40.500 --> 00:00:42.000]  都是生命的道
[00:00:42.000 --> 00:00:43.200]  因為生命的道
[00:00:43.200 --> 00:00:44.700]  是能夠將信息
[00:00:44.700 --> 00:00:45.900]  和自己的生命
[00:00:45.900 --> 00:00:47.100]  先掛勾
[00:00:47.100 --> 00:00:48.900]  然後希望在分享的時候
[00:00:48.900 --> 00:00:50.400]  帶著自己的生命
[00:00:50.400 --> 00:00:51.600]  那個學習
[00:00:51.600 --> 00:00:53.100]  來鼓勵大家
[00:00:53.100 --> 00:00:55.100]  我們一起去成長
[00:00:55.100 --> 00:00:56.500]  一起去學習
[00:00:56.500 --> 00:00:57.200]  當然
[00:00:57.200 --> 00:00:59.100]  為什麼我們會選擇羅馬書
[00:00:59.100 --> 00:01:00.300]  有三個原因
[00:01:00.300 --> 00:01:01.700]  第一個原因是很簡單
[00:01:01.700 --> 00:01:02.500]  就是因為
[00:01:02.500 --> 00:01:04.300]  聖經是不是都是整個話
[00:01:04.300 --> 00:01:05.400]  大家是不是
[00:01:05.400 --> 00:01:06.000]  是不是
[00:01:06.000 --> 00:01:07.800]  所以講哪一本書都無所謂
[00:01:07.800 --> 00:01:08.500]  你跟鄰居說
[00:01:08.500 --> 00:01:09.900]  其實哪一本書都無所謂
[00:01:09.900 --> 00:01:11.000]  所以第一個原因就是
[00:01:11.000 --> 00:01:12.200]  其實哪一本書都無所謂
[00:01:12.200 --> 00:01:13.700]  因為都是整個說話
[00:01:13.700 --> 00:01:15.000]  但是第二個原因
[00:01:15.000 --> 00:01:16.800]  較為深入多一點
[00:01:16.800 --> 00:01:19.400]  就是過去十幾二十年那邊
[00:01:19.400 --> 00:01:20.200]  是一個
[00:01:20.200 --> 00:01:21.600]  全世界一個運動
[00:01:21.600 --> 00:01:23.100]  這個運動就是
[00:01:23.100 --> 00:01:24.400]  Back to Jerusalem
[00:01:24.400 --> 00:01:26.900]  就是回歸去到耶路撒冷的運動
[00:01:26.900 --> 00:01:28.300]  因為這個運動
[00:01:28.300 --> 00:01:31.100]  是一個很重要的宣教運動
[00:01:31.100 --> 00:01:32.100]  因為在地圖那邊
[00:01:32.100 --> 00:01:33.300]  我們看回經緯線
