
[00:00:00.000 --> 00:00:02.000]  (主席) 早晨各位弟兄姊妹
[00:00:02.000 --> 00:00:06.240]  我們基督徒
[00:00:06.240 --> 00:00:08.240]  我們教會
[00:00:08.240 --> 00:00:11.160]  是一個怎樣的群體呢?
[00:00:11.160 --> 00:00:15.320]  我想我們比較容易說我們是一個
[00:00:15.320 --> 00:00:16.840]  有愛心
[00:00:16.840 --> 00:00:18.840]  是傳福音
[00:00:18.840 --> 00:00:21.760]  是敬拜神的群體
[00:00:21.760 --> 00:00:24.240]  但是如果問
[00:00:24.240 --> 00:00:26.240]  一個這樣的群體
[00:00:26.240 --> 00:00:29.440]  當在社會上
[00:00:29.440 --> 00:00:33.680]  見到有不公義的事情的時候
[00:00:33.680 --> 00:00:35.680]  這個群體
[00:00:35.680 --> 00:00:37.680]  又會是怎樣的呢?
[00:00:37.680 --> 00:00:41.960]  我想我們比較容易做的都是說
[00:00:41.960 --> 00:00:45.600]  我們就是為這個不公義的社會
[00:00:45.600 --> 00:00:47.600]  來繼續的
[00:00:47.600 --> 00:00:51.920]  求神使它變成更加公義
[00:00:51.920 --> 00:00:55.920]  其實這樣的態度
[00:00:55.920 --> 00:00:58.880]  久而久之會變成怎樣的呢?
[00:00:58.880 --> 00:01:00.880]  你有沒有想過
[00:01:00.880 --> 00:01:03.920]  即是每逢見到有事的時候
[00:01:03.920 --> 00:01:05.920]  有不公義的時候
[00:01:05.920 --> 00:01:11.680]  我們都是說我們都是回來聚會祈禱就可以了
[00:01:11.680 --> 00:01:14.880]  我今天想和大家探討的就是
[00:01:14.880 --> 00:01:16.880]  到底這種態度
[00:01:16.880 --> 00:01:18.880]  這種生活方式
[00:01:18.880 --> 00:01:20.880]  是不是其實
[00:01:20.880 --> 00:01:24.160]  背棄著我們的生命的本質
[00:01:24.160 --> 00:01:27.360]  其實是不是對我們的主
[00:01:27.360 --> 00:01:29.360]  是有一種的
[00:01:29.360 --> 00:01:31.360]  不敬
[00:01:31.360 --> 00:01:33.360]  即是剛才主席都分享了一個
[00:01:33.360 --> 00:01:35.360]  很重要的經文就是
[00:01:35.360 --> 00:01:38.560]  公平公正是你寶座的根基
[00:01:38.560 --> 00:01:40.560]  而我們都知道曾彥有說話說
[00:01:40.560 --> 00:01:43.120]  是這個國家的根基
[00:01:43.120 --> 00:01:45.520]  是要建立在公義上面
[00:01:45.520 --> 00:01:48.560]  而當社會是充滿著腐敗
[00:01:48.560 --> 00:01:50.960]  充滿著壓榨
[00:01:50.960 --> 00:01:52.960]  這樣的情況
[00:01:52.960 --> 00:01:55.440]  教會其實可以怎樣做
[00:01:55.440 --> 00:01:57.440]  除了祈禱
[00:01:57.440 --> 00:02:00.480]  那你說你是不是想煽動我們
[00:02:00.480 --> 00:02:02.480]  出去有所行動呢?
[00:02:02.480 --> 00:02:04.480]  我也都不敢
[00:02:04.480 --> 00:02:07.920]  因為要面對著社會上
[00:02:07.920 --> 00:02:11.520]  一些不公平不公義的課題的時候
[00:02:11.520 --> 00:02:15.120]  其實一點都不容易掌握
[00:02:15.120 --> 00:02:17.920]  我們又不是全知全能
[00:02:17.920 --> 00:02:20.640]  我們自己也都不是完全的正義
[00:02:20.640 --> 00:02:22.640]  不過我希望藉著今天的訊息
[00:02:22.640 --> 00:02:26.640]  至少打破我們有一種的
[00:02:26.640 --> 00:02:28.640]  習慣性的思維
[00:02:28.640 --> 00:02:30.640]  就是我們教會
[00:02:30.640 --> 00:02:32.640]  只是屬靈
[00:02:32.640 --> 00:02:36.400]  我們是不涉及社會
[00:02:36.400 --> 00:02:39.920]  我們更加不涉及政治
[00:02:39.920 --> 00:02:41.920]  因為政治是危險的
[00:02:41.920 --> 00:02:44.400]  我們中國人有優秀的傳統
[00:02:44.400 --> 00:02:47.280]  生不入衙門死不入地獄
[00:02:47.280 --> 00:02:49.280]  所以衙門
[00:02:49.280 --> 00:02:51.760]  這些跟官有關的東西
[00:02:51.760 --> 00:02:53.760]  政治的東西我們不理
[00:02:53.760 --> 00:02:55.760]  再加上我們有一些的
[00:02:55.760 --> 00:02:57.760]  教會的傳統
[00:02:57.760 --> 00:02:59.760]  是
[00:02:59.760 --> 00:03:01.760]  我也不說哪個名字
[00:03:01.760 --> 00:03:03.760]  不說哪個派別
[00:03:03.760 --> 00:03:05.760]  不過這種傳統就會告訴我們
[00:03:05.760 --> 00:03:09.760]  我們是絕對相信政教分離
[00:03:09.760 --> 00:03:11.760]  所以是政教分離的話
[00:03:11.760 --> 00:03:15.760]  教會是教嘛,對不對?
[00:03:15.760 --> 00:03:17.760]  政就是國家社會
[00:03:17.760 --> 00:03:19.760]  那政教分離
[00:03:19.760 --> 00:03:21.760]  就是我們教會
[00:03:21.760 --> 00:03:23.760]  做好教會裡面的事情就行了
[00:03:23.760 --> 00:03:25.760]  就是什麼呢?
[00:03:25.760 --> 00:03:27.760]  宗教性的,屬靈性的
[00:03:27.760 --> 00:03:29.760]  其他的領域呢
[00:03:29.760 --> 00:03:31.760]  就是外面的,是社會的
[00:03:31.760 --> 00:03:33.760]  是政府的
[00:03:33.760 --> 00:03:35.760]  此之為政教分離也
[00:03:35.760 --> 00:03:37.760]  親愛的兄弟姐妹
[00:03:37.760 --> 00:03:39.760]  我對這種思想
[00:03:39.760 --> 00:03:41.760]  其實心裡面是有一團火的
[00:03:41.760 --> 00:03:45.760]  有一種不滿的火
[00:03:45.760 --> 00:03:47.760]  即是怎樣?
[00:03:47.760 --> 00:03:49.760]  你要將教會
[00:03:49.760 --> 00:03:51.760]  限在一個四面牆裡面?
[00:03:51.760 --> 00:03:55.760]  你要將教會的信仰
[00:03:55.760 --> 00:03:57.760]  限在四面牆裡面?
[00:03:57.760 --> 00:04:01.760]  你要將教會的道德價值
[00:04:01.760 --> 00:04:03.760]  是從公共的價值裡面
[00:04:03.760 --> 00:04:07.760]  這個空間完全排除出去?
[00:04:07.760 --> 00:04:09.760]  你接不接受?
[00:04:09.760 --> 00:04:11.760]  親愛的兄弟姐妹
[00:04:11.760 --> 00:04:13.760]  如果如此的政教分離
[00:04:13.760 --> 00:04:15.760]  帶來我們這樣的思維
[00:04:15.760 --> 00:04:17.760]  我今天就是一百個不情願
[00:04:17.760 --> 00:04:19.760]  一百個反對
