
[00:00:00.000 --> 00:00:05.000]  頂姐妹,讓我們在領受神的說話之前一起祈禱
[00:00:05.000 --> 00:00:10.000]  深愛我們的天父上帝,多謝祢
[00:00:10.000 --> 00:00:13.000]  因為祢的聖言是何等的豐富
[00:00:13.000 --> 00:00:17.000]  求主祢幫助我們,挪開在我們生命裡
[00:00:17.000 --> 00:00:20.000]  蒙蔽著我們去認識祢的地方
[00:00:20.000 --> 00:00:23.000]  天父,開我們的心眼
[00:00:23.000 --> 00:00:27.000]  讓我們更深來領受祢話語的寶貴
[00:00:27.000 --> 00:00:30.000]  最後求祢賜給我們一個信心
[00:00:30.000 --> 00:00:32.000]  讓我們不單單聽到
[00:00:32.000 --> 00:00:35.000]  我們也能夠立志將我們所聽到的
[00:00:35.000 --> 00:00:38.000]  在生命裡走出來
[00:00:38.000 --> 00:00:40.000]  求主幫助我們
[00:00:40.000 --> 00:00:42.000]  我們的禱告、仰望是奉靠
[00:00:42.000 --> 00:00:45.000]  主耶穌基督的聖名字而求
[00:00:45.000 --> 00:00:47.000]  阿們
[00:00:47.000 --> 00:00:50.000]  頂姐妹,我們在這個現代
[00:00:50.000 --> 00:00:53.000]  很現代化的社會裡生活
[00:00:53.000 --> 00:00:56.000]  我們的生活變得越來越忙
[00:00:56.000 --> 00:01:02.000]  之前在地鐵上很多人都是休息
[00:01:02.000 --> 00:01:05.000]  現在很多人就是不休息了
[00:01:05.000 --> 00:01:08.000]  因為繼續看手機或打機
[00:01:08.000 --> 00:01:10.000]  我們的生活不單忙了
[00:01:10.000 --> 00:01:12.000]  還有很多的招操
[00:01:12.000 --> 00:01:14.000]  越來越不健康
[00:01:14.000 --> 00:01:20.000]  所以有很多人發明了很多健康的產品
[00:01:20.000 --> 00:01:25.000]  來幫助我們在這個不健康的環境裡維持健康
[00:01:25.000 --> 00:01:27.000]  在疫情期間
[00:01:27.000 --> 00:01:29.000]  我相信大家都要在網上工作
[00:01:29.000 --> 00:01:33.000]  不停的視像會議、網上學習
[00:01:33.000 --> 00:01:36.000]  眼睛就會加倍疲勞
[00:01:36.000 --> 00:01:39.000]  所以我們又要吃藍莓素
[00:01:39.000 --> 00:01:42.000]  很緊張,膽固醇高了
[00:01:42.000 --> 00:01:44.000]  又要吃Omega-3
[00:01:44.000 --> 00:01:46.000]  不知道大家有沒有試過
[00:01:46.000 --> 00:01:49.000]  買了一堆健康產品回家
[00:01:49.000 --> 00:01:51.000]  但經常都忘記吃
[00:01:51.000 --> 00:01:52.000]  就這樣放在家裡
[00:01:52.000 --> 00:01:55.000]  放不下就過期了
[00:01:55.000 --> 00:01:57.000]  那個就是我了
[00:01:57.000 --> 00:01:59.000]  健康真的很重要
[00:01:59.000 --> 00:02:01.000]  人人都知道
[00:02:01.000 --> 00:02:04.000]  但重要的事
[00:02:04.000 --> 00:02:07.000]  通常都不緊急
[00:02:07.000 --> 00:02:09.000]  不是很迫切
[00:02:09.000 --> 00:02:10.000]  好像靈修
[00:02:10.000 --> 00:02:13.000]  每個基督徒都知道是重要的
[00:02:13.000 --> 00:02:16.000]  我們從初信班開始就已經學靈修
[00:02:16.000 --> 00:02:18.000]  年年都有靈修主入
[00:02:18.000 --> 00:02:22.000]  我們似乎到現在都未必可以很穩定去靈修
[00:02:22.000 --> 00:02:24.000]  又或者有靈修
[00:02:24.000 --> 00:02:27.000]  我們又未必很享受那個靈修
[00:02:27.000 --> 00:02:29.000]  靈修的重要
[00:02:29.000 --> 00:02:31.000]  不單只是每天都去讀聖經
[00:02:31.000 --> 00:02:33.000]  讀完之後任務完成
[00:02:33.000 --> 00:02:34.000]  就繼續搏擦
[00:02:34.000 --> 00:02:36.000]  靈修的意義
[00:02:36.000 --> 00:02:37.000]  我相信大家都知道
[00:02:37.000 --> 00:02:40.000]  就是要和我們的神建立關係
[00:02:40.000 --> 00:02:42.000]  一個親密的關係
[00:02:42.000 --> 00:02:45.000]  是不可以沒有溝通的
[00:02:45.000 --> 00:02:48.000]  如果你生命裡也有過一些你很愛的人
[00:02:48.000 --> 00:02:53.000]  你很自然就想多點和他聊天
[00:02:53.000 --> 00:02:55.000]  一個沒有溝通的關係
[00:02:55.000 --> 00:02:57.000]  還算不算是關係呢?
[00:02:57.000 --> 00:03:00.000]  我們和神的關係沒有靈修
[00:03:00.000 --> 00:03:02.000]  只有祈禱
[00:03:02.000 --> 00:03:04.000]  又夠不夠呢?
[00:03:04.000 --> 00:03:06.000]  今天的經文裡說到兩個門徒
[00:03:06.000 --> 00:03:09.000]  他們悠悠愁愁離開耶路撒冷
[00:03:09.000 --> 00:03:13.000]  開始回到他們的家鄉二馬五師
[00:03:13.000 --> 00:03:15.000]  在這個路途當中
[00:03:15.000 --> 00:03:17.000]  他們遇見復活了的主耶穌
[00:03:17.000 --> 00:03:20.000]  但是他們又不認得主
[00:03:20.000 --> 00:03:23.000]  經過和這個復活主走了十一公里
[00:03:23.000 --> 00:03:26.000]  大概三個小時左右
[00:03:26.000 --> 00:03:30.000]  他們就由悠悠愁愁變成心裡火熱
[00:03:30.000 --> 00:03:33.000]  當他們認出復活主的時候
[00:03:33.000 --> 00:03:37.000]  他們連夜起程又回到耶路撒冷
[00:03:37.000 --> 00:03:40.000]  這個旅程裡的門徒
[00:03:40.000 --> 00:03:42.000]  情緒起起伏伏
[00:03:42.000 --> 00:03:44.000]  由憂愁到火熱
[00:03:44.000 --> 00:03:47.000]  今天可能我們對著這個疫情
[00:03:47.000 --> 00:03:49.000]  對著香港的處境
[00:03:49.000 --> 00:03:51.000]  我們又擔心又憂愁
[00:03:51.000 --> 00:03:53.000]  百感交集
[00:03:53.000 --> 00:03:56.000]  這一切有沒有影響你的靈修呢?
[00:03:56.000 --> 00:03:59.000]  今天會讓我們從這兩個門徒
[00:03:59.000 --> 00:04:03.000]  他們在這個與復活主同行的旅程裡
[00:04:03.000 --> 00:04:05.000]  三個不同狀態
[00:04:05.000 --> 00:04:09.000]  去思想神給我們的教導
[00:04:09.000 --> 00:04:11.000]  我們先來看
[00:04:11.000 --> 00:04:15.000]  第十三至二十六節
[00:04:15.000 --> 00:04:17.000]  面帶仇恨的門徒
[00:04:17.000 --> 00:04:20.000]  原來是信得太遲鈍
[00:04:20.000 --> 00:04:23.000]  在第十三節說到
[00:04:23.000 --> 00:04:24.000]  同一天
[00:04:24.000 --> 00:04:27.000]  即是那些婦女遇見天使
[00:04:27.000 --> 00:04:30.000]  知道耶穌已經復活的那一天
[00:04:30.000 --> 00:04:33.000]  那些婦女告訴十一個使徒
[00:04:33.000 --> 00:04:34.000]  他們所遇到的
[00:04:34.000 --> 00:04:35.000]  是這樣的
[00:04:35.000 --> 00:04:36.000]  這麼奇妙
[00:04:36.000 --> 00:04:39.000]  但是這群人不相信
[00:04:39.000 --> 00:04:42.000]  這兩個門徒就是和那些使徒
[00:04:42.000 --> 00:04:43.000]  經常在一起的人
[00:04:43.000 --> 00:04:45.000]  他們現在要去二萬五師
[00:04:45.000 --> 00:04:47.000]  他們在路上一路走
[00:04:47.000 --> 00:04:49.000]  一路交談議論
[00:04:49.000 --> 00:04:52.000]  這幾天在耶路撒冷所發生的事
[00:04:52.000 --> 00:04:55.000]  但是談劇似乎沒有什麼答案
[00:04:55.000 --> 00:04:56.000]  這個時候
[00:04:56.000 --> 00:05:00.000]  耶穌親自走到那群門徒那裡
[00:05:00.000 --> 00:05:02.000]  我們留意第十六節
[00:05:02.000 --> 00:05:09.000]  但他們的眼睛卻蒙蔽了,認不出他來
