
[00:00:00.000 --> 00:00:04.420]  今天和你們分享一個題目
[00:00:04.420 --> 00:00:05.620]  父親節
[00:00:05.620 --> 00:00:07.340]  我眼中的父親
[00:00:07.340 --> 00:00:10.820]  今天這個題目就是從一個兒子的角度
[00:00:10.820 --> 00:00:15.240]  如何去看我們的父親
[00:00:15.240 --> 00:00:19.740]  如果你有發覺的時候
[00:00:19.740 --> 00:00:25.600]  在近十多二十年
[00:00:25.600 --> 00:00:31.720]  特別是在美國 父親的形象是日益低落
[00:00:31.720 --> 00:00:36.600]  也有人說我們現在的下一代
[00:00:36.600 --> 00:00:40.800]  是沒有父親的下一代
[00:00:40.800 --> 00:00:41.720]  為什麼呢?
[00:00:41.720 --> 00:00:43.340]  因為作一個統計
[00:00:43.340 --> 00:00:51.000]  今晚全美國大概有40%的小朋友
[00:00:51.560 --> 00:00:57.440]  他們今晚睡覺前是沒有親生的父親在他旁邊
[00:00:57.440 --> 00:00:58.640]  或者在家裏
[00:00:58.640 --> 00:01:00.720]  40%
[00:01:00.720 --> 00:01:03.960]  即是十個裏面有四個小朋友
[00:01:03.960 --> 00:01:08.320]  不是和他自己親生的父親同居
[00:01:08.320 --> 00:01:09.640]  難怪
[00:01:09.640 --> 00:01:11.840]  可能就是因為這個原因
[00:01:11.840 --> 00:01:16.880]  父親的形象是日漸低落
[00:01:17.760 --> 00:01:25.920]  或者引申到男性的形象是日漸低落
[00:01:25.920 --> 00:01:29.240]  其實聖經裏面不是這樣教導我們
[00:01:29.240 --> 00:01:36.080]  聖經裏面是很重視父親在家裏的角色
[00:01:36.080 --> 00:01:39.640]  其實神做男做女
[00:01:39.640 --> 00:01:43.360]  有些地方是男的可以去做
[00:01:43.360 --> 00:01:46.680]  有些地方是女的才可以去做
[00:01:46.680 --> 00:01:50.680]  我們要你幫我忙,我又幫你忙
[00:01:50.680 --> 00:01:54.240]  這樣才可以建立一個完整的家庭
[00:01:54.240 --> 00:01:55.760]  有一天
[00:01:55.760 --> 00:01:59.360]  也是大熱的暑期
