
[00:00:00.000 --> 00:00:03.560]  各位電影姐妹,今天開始我們看舊約的先知書
[00:00:03.560 --> 00:00:04.880]  荷西亞書
[00:00:04.880 --> 00:00:06.120]  荷西亞書
[00:00:06.120 --> 00:00:07.920]  荷西亞是
[00:00:07.920 --> 00:00:11.000]  和耶利米,我覺得在聖經裏面
[00:00:11.000 --> 00:00:13.360]  是兩個最多情的先知
[00:00:13.360 --> 00:00:16.320]  耶利米是淚眼先知
[00:00:16.320 --> 00:00:18.000]  而荷西亞呢
[00:00:18.000 --> 00:00:20.800]  是一個悲情的先知
[00:00:20.800 --> 00:00:22.720]  一會兒再講為什麼
[00:00:22.720 --> 00:00:26.320]  那麼開始的時候呢
[00:00:26.320 --> 00:00:30.560]  想講一個事情給大家聽
[00:00:30.560 --> 00:00:33.160]  有一個老闆他開食店
[00:00:33.160 --> 00:00:34.920]  那麼這個老闆就很好心
[00:00:34.920 --> 00:00:39.800]  他見到他的食店周圍附近有很多很窮的人
[00:00:39.800 --> 00:00:42.480]  所以他就有一個持長的心
[00:00:42.480 --> 00:00:50.320]  就開始定期派發免費的一些食物給一些有需要的人
[00:00:50.320 --> 00:00:54.600]  起初的時候很多人很受惠,很多人來的
[00:00:54.600 --> 00:00:58.080]  派來派去都派不夠的
[00:00:58.080 --> 00:01:00.280]  過了一段日子之後
[00:01:00.280 --> 00:01:04.160]  慢慢慢慢就有這樣的一些評價
[00:01:04.160 --> 00:01:06.280]  那些人就開始批評
[00:01:06.280 --> 00:01:09.360]  為什麼吃來吃去都是那些東西來的
[00:01:09.360 --> 00:01:12.000]  為什麼食物那麼少
[00:01:12.000 --> 00:01:17.240]  為什麼沒有什麼肉
[00:01:17.240 --> 00:01:19.280]  接著開始
[00:01:19.280 --> 00:01:22.720]  人的說話就是這樣,一傳十,十傳百
[00:01:22.720 --> 00:01:24.600]  慢慢講著講著就說
[00:01:24.600 --> 00:01:27.240]  為什麼老闆那麼刻薄
[00:01:27.240 --> 00:01:30.720]  老闆這樣對待身邊的人
[00:01:30.720 --> 00:01:32.440]  施捨別人
[00:01:32.440 --> 00:01:35.840]  有些人就說老闆哪有那麼好心
[00:01:35.840 --> 00:01:39.960]  薄出名而已,薄宣傳
[00:01:39.960 --> 00:01:46.600]  甚至開始附近的街坊對老闆和對他的食店都有些誤解
[00:01:46.600 --> 00:01:52.200]  越來越少人去這個店舖光顧
[00:01:52.200 --> 00:01:55.600]  這個老闆很大壓力,很不開心
[00:01:55.600 --> 00:01:57.000]  他的心想其實
[00:01:57.000 --> 00:02:02.280]  我一心一意都是想服務一下身邊有需要的鄰舍
[00:02:02.280 --> 00:02:06.000]  我都是免費的服務他們
[00:02:06.000 --> 00:02:12.480]  為什麼到最後會這樣
[00:02:12.480 --> 00:02:17.360]  如果是你,你會怎樣
[00:02:17.360 --> 00:02:21.600]  如果是你,你是這個老闆,你會怎樣
[00:02:21.600 --> 00:02:24.920]  這個老闆他害怕了
[00:02:24.920 --> 00:02:30.200]  他不敢再做這些事情
[00:02:30.200 --> 00:02:33.360]  原本他是一個很有情,很有愛的人
[00:02:33.360 --> 00:02:38.120]  但是就遇到這樣的事情
[00:02:38.120 --> 00:02:40.880]  各位影視姐妹,今天我們來看看荷西亞
[00:02:40.880 --> 00:02:44.120]  荷西亞這裡都是一個很特別的人物
[00:02:44.120 --> 00:02:47.600]  他是《聖經》舊約裡面的一個先知
[00:02:47.600 --> 00:02:51.760]  荷西亞經歷耶和華神
[00:02:51.760 --> 00:02:55.880]  上帝要他去愛一個淫婦
[00:02:55.880 --> 00:02:57.720]  更加不單只是愛她
[00:02:57.720 --> 00:03:03.720]  更加要接納這個淫婦生出來的子女
[00:03:03.720 --> 00:03:06.080]  整件事情好像不是很合邏輯
[00:03:06.080 --> 00:03:08.560]  他是做先知的,先知的作用
[00:03:08.560 --> 00:03:10.520]  先知的工作就是傳講神的話
[00:03:10.520 --> 00:03:14.280]  神跟他說話,他就做回神要跟他說的話
[00:03:14.280 --> 00:03:16.560]  給一群人聽
[00:03:16.560 --> 00:03:19.280]  但是神要他做一些行動
[00:03:19.280 --> 00:03:22.320]  要他娶這個淫婦為妻
[00:03:22.320 --> 00:03:25.280]  整件事情好像不是很合邏輯
[00:03:25.280 --> 00:03:27.160]  也有些荒謬
[00:03:27.160 --> 00:03:32.480]  我們很難理解為何上帝要荷西亞這樣做
[00:03:32.480 --> 00:03:34.360]  也很苛刻
[00:03:34.360 --> 00:03:38.600]  換作是你,你願意嗎?
[00:03:38.600 --> 00:03:40.760]  我們很難想像
[00:03:40.760 --> 00:03:42.480]  更加要想一下
[00:03:42.480 --> 00:03:46.320]  這一份愛,根本就不能這樣去愛
[00:03:46.320 --> 00:03:49.400]  但荷西亞也照樣去愛
[00:03:49.400 --> 00:03:52.280]  為甚麼呢?
[00:03:52.280 --> 00:03:54.720]  今天我們來看看三件事
[00:03:54.720 --> 00:03:57.280]  不能去愛,但荷西亞也去愛
[00:03:57.280 --> 00:03:58.520]  因為
[00:03:58.520 --> 00:04:00.160]  第一
[00:04:00.160 --> 00:04:02.840]  上帝要使用荷西亞的生命
[00:04:02.840 --> 00:04:06.480]  去傳講信息
[00:04:06.480 --> 00:04:09.200]  剛才我們看到經文說甚麼呢?
[00:04:09.200 --> 00:04:11.800]  就是荷西亞書第一章和第三章
[00:04:11.800 --> 00:04:16.040]  分別說他娶一個淫婦
[00:04:16.040 --> 00:04:19.280]  第一章我們看到第三節說
