
[00:00:00.000 --> 00:00:04.000]  今天是三月份最後一個主日
[00:00:04.000 --> 00:00:09.000]  一至三月我們一起看《歷代誌》
[00:00:09.000 --> 00:00:15.000]  而今天也是《歷代誌》最後一篇相關的講道
[00:00:15.000 --> 00:00:21.000]  我們知道這一季我們選了歷代至上 歷代至下
[00:00:21.000 --> 00:00:26.000]  大家記不記得我們看了多少個王的事蹟
[00:00:27.000 --> 00:00:34.000]  大衛 所羅門這兩個是聯合王國的時間的王
[00:00:34.000 --> 00:00:38.000]  跟著南北國分裂
[00:00:38.000 --> 00:00:42.000]  歷代誌跟著就進去記述羅邦安
[00:00:42.000 --> 00:00:45.000]  然後羅邦安的兒子亞比亞
[00:00:45.000 --> 00:00:47.000]  然後他的兒子亞薩
[00:00:47.000 --> 00:00:50.000]  然後他的兒子約沙伐
[00:00:50.000 --> 00:00:54.000]  我們這段時間就是看這六個王的事
[00:00:55.000 --> 00:00:57.000]  還有十幾個王的
[00:00:57.000 --> 00:01:02.000]  我們看的時候我們都會有一個印象
[00:01:02.000 --> 00:01:06.000]  你會記得聖經怎樣形容這六個的王
[00:01:06.000 --> 00:01:13.000]  他們都在在位的時間行上主眼中看為正的事
[00:01:13.000 --> 00:01:16.000]  這個都是我們很多時特別講到
[00:01:16.000 --> 00:01:18.000]  南國是否有一些的王
[00:01:18.000 --> 00:01:20.000]  如果我們有機會再看歷代誌
[00:01:20.000 --> 00:01:24.000]  下一個王約沙伐之後就不是了
[00:01:25.000 --> 00:01:31.000]  不過聖經說他們行耶和華眼中看為正的事
[00:01:31.000 --> 00:01:34.000]  就不等於他們沒有做錯事
[00:01:34.000 --> 00:01:38.000]  或者說他們沒有做一些上帝不喜悅
[00:01:38.000 --> 00:01:40.000]  甚至發怒的事情
[00:01:40.000 --> 00:01:44.000]  例如我們看
[00:01:44.000 --> 00:01:54.000]  歷代之下第十九章第二節
[00:01:55.000 --> 00:01:57.000]  我們上次都有提過
[00:01:57.000 --> 00:02:02.000]  當時就是約沙伐王和亞哈結盟
[00:02:02.000 --> 00:02:04.000]  差點沒命
[00:02:04.000 --> 00:02:06.000]  不過上帝保守了他
[00:02:06.000 --> 00:02:08.000]  當他回來平安無事
[00:02:08.000 --> 00:02:10.000]  但是亞哈陣亡之後
[00:02:10.000 --> 00:02:13.000]  這裡說哈拿尼的兒子耶穌
[00:02:13.000 --> 00:02:16.000]  這位仙見去迎接約沙伐王
[00:02:16.000 --> 00:02:20.000]  就對他說你怎可以幫助惡人
[00:02:20.000 --> 00:02:23.000]  愛那個恨耶和華的人呢
[00:02:24.000 --> 00:02:27.000]  因此耶和華的憤怒臨到你
[00:02:27.000 --> 00:02:29.000]  我們知道原來約沙伐王
[00:02:29.000 --> 00:02:31.000]  上個星期我們說的時候
[00:02:31.000 --> 00:02:33.000]  他有這個污點
[00:02:33.000 --> 00:02:35.000]  有這個過失
[00:02:35.000 --> 00:02:38.000]  其實我們今天最後再看
[00:02:38.000 --> 00:02:40.000]  約沙伐王最後的事蹟裡面
[00:02:40.000 --> 00:02:42.000]  都有提相關的地方
[00:02:42.000 --> 00:02:45.000]  就是剛才永成傳道幫我們讀經文
[00:02:45.000 --> 00:02:48.000]  讀到最後你記得的部分
[00:02:48.000 --> 00:02:53.000]  在二十章三十五至三十七節這裡說
[00:02:54.000 --> 00:02:59.000]  此後由大王約沙伐與以色列王亞哈謝結盟
[00:02:59.000 --> 00:03:01.000]  亞哈謝就是亞哈的兒子
[00:03:01.000 --> 00:03:04.000]  咦 為什麼會結盟呢
[00:03:04.000 --> 00:03:06.000]  而且聖經特別加了一句
[00:03:06.000 --> 00:03:09.000]  亞哈謝多行惡事
[00:03:09.000 --> 00:03:12.000]  這個王不是一個好的王
[00:03:12.000 --> 00:03:15.000]  這個王好像他爸爸一樣是一個惡的王
[00:03:15.000 --> 00:03:21.000]  但是約沙伐竟然又再次和他的兒子結盟
[00:03:22.000 --> 00:03:25.000]  他們合夥造船要往他師去
[00:03:25.000 --> 00:03:28.000]  然後聖經就說
[00:03:28.000 --> 00:03:31.000]  上帝興起 先知以你以謝
[00:03:31.000 --> 00:03:33.000]  就向約沙伐去預言
[00:03:33.000 --> 00:03:36.000]  就說 因你與亞哈謝結盟
[00:03:36.000 --> 00:03:39.000]  耶和華必破壞你所造的
[00:03:39.000 --> 00:03:42.000]  於是乎真是後來那些船果然毀壞
[00:03:42.000 --> 00:03:45.000]  不能往他師去了
[00:03:45.000 --> 00:03:48.000]  我們看到原來真的
[00:03:49.000 --> 00:03:52.000]  就是說約沙伐王都是行神眼中看為正的事
[00:03:52.000 --> 00:03:56.000]  但是他也會有過失 有錯的地方
[00:03:56.000 --> 00:03:59.000]  聖經沒有去掩飾這些地方
[00:03:59.000 --> 00:04:01.000]  你可能會想
[00:04:01.000 --> 00:04:03.000]  為什麼歷代誌會這樣去寫呢
[00:04:03.000 --> 00:04:05.000]  或者說你也想像
[00:04:05.000 --> 00:04:10.000]  咦 我記得大衛王他也有行一些上帝憤怒的事
[00:04:10.000 --> 00:04:14.000]  就是和烏利亞的妻子行淫
[00:04:14.000 --> 00:04:16.000]  還殺了烏利亞者都殺人
[00:04:16.000 --> 00:04:18.000]  咦 歷代誌沒有記載
[00:04:19.000 --> 00:04:20.000]  或者歷代誌沒有記載
[00:04:20.000 --> 00:04:25.000]  所羅門王在晚年的時候離棄上帝有很多的妻妾
[00:04:25.000 --> 00:04:28.000]  所以我們開始就會明白
[00:04:28.000 --> 00:04:33.000]  原來歷代誌他沒有記載這些王他們有的惡行
[00:04:33.000 --> 00:04:35.000]  或者他們就算有記載
[00:04:35.000 --> 00:04:38.000]  譬如說亞撒或者我們看過約沙伐王一些的事
[00:04:38.000 --> 00:04:41.000]  但是他也沒有完全否定到
[00:04:41.000 --> 00:04:44.000]  他們行神眼中看為正的事
