
[00:00:00.000 --> 00:00:20.000]  提問:亞國和猶太兩代積落的恩怨,如何在家庭中解脫這些恩怨,讓我們生命中勝過歷史的陰影和恩怨?
[00:00:30.000 --> 00:00:36.000]  梁國雄議員
[00:01:00.000 --> 00:01:06.000]  梁國雄議員
[00:01:30.000 --> 00:01:36.000]  梁國雄議員
[00:02:00.000 --> 00:02:06.000]  梁國雄議員
[00:02:30.000 --> 00:02:36.000]  梁國雄議員
[00:03:00.000 --> 00:03:06.000]  梁國雄議員
[00:03:30.000 --> 00:03:36.000]  梁國雄議員
[00:04:00.000 --> 00:04:06.000]  梁國雄議員
[00:04:30.000 --> 00:04:36.000]  梁國雄議員
[00:05:00.000 --> 00:05:06.000]  梁國雄議員
[00:05:30.000 --> 00:05:36.000]  梁國雄議員
[00:06:00.000 --> 00:06:06.000]  梁國雄議員
[00:06:30.000 --> 00:06:36.000]  梁國雄議員
[00:07:00.000 --> 00:07:06.000]  梁國雄議員
[00:07:30.000 --> 00:07:36.000]  梁國雄議員
[00:08:00.000 --> 00:08:06.000]  梁國雄議員
[00:08:30.000 --> 00:08:36.000]  梁國雄議員
[00:09:00.000 --> 00:09:06.000]  梁國雄議員
[00:09:30.000 --> 00:09:36.000]  梁國雄議員
[00:10:01.000 --> 00:10:07.000]  梁國雄議員
[00:10:31.000 --> 00:10:37.000]  梁國雄議員
[00:11:01.000 --> 00:11:07.000]  梁國雄議員
[00:11:31.000 --> 00:11:37.000]  梁國雄議員
[00:12:01.000 --> 00:12:07.000]  梁國雄議員
[00:12:31.000 --> 00:12:37.000]  梁國雄議員
[00:13:01.000 --> 00:13:07.000]  梁國雄議員
[00:13:31.000 --> 00:13:37.000]  梁國雄議員
[00:14:01.000 --> 00:14:07.000]  梁國雄議員
[00:14:30.000 --> 00:14:36.000]  梁國雄議員
[00:15:01.000 --> 00:15:07.000]  梁國雄議員
[00:15:31.000 --> 00:15:37.000]  梁國雄議員
[00:16:01.000 --> 00:16:07.000]  梁國雄議員
[00:16:31.000 --> 00:16:37.000]  梁國雄議員
[00:17:01.000 --> 00:17:07.000]  梁國雄議員
[00:17:31.000 --> 00:17:37.000]  梁國雄議員
[00:18:00.000 --> 00:18:06.000]  梁國雄議員
[00:18:31.000 --> 00:18:37.000]  梁國雄議員
[00:19:01.000 --> 00:19:07.000]  梁國雄議員
[00:19:31.000 --> 00:19:37.000]  梁國雄議員
[00:20:01.000 --> 00:20:07.000]  梁國雄議員
