
[00:00:00.000 --> 00:00:02.000]  再一次同心我們一同祈禱
[00:00:02.000 --> 00:00:04.000]  天父我們再一次感謝祢
[00:00:04.000 --> 00:00:06.000]  讓祢寶貴的話語作為我們生命的指引
[00:00:06.000 --> 00:00:08.000]  求祢藉著祢的話語去提醒
[00:00:08.000 --> 00:00:12.000]  勸勉、教導、安慰、督責、挑戰
[00:00:12.000 --> 00:00:13.000]  改變我們
[00:00:13.000 --> 00:00:15.000]  讓我們能夠容得下祢的話語
[00:00:15.000 --> 00:00:17.000]  改變我們的生命
[00:00:17.000 --> 00:00:19.000]  祈禱奉耶穌基督名求
[00:00:19.000 --> 00:00:21.000]  阿們
[00:00:21.000 --> 00:00:23.000]  萬子講過一句話
[00:00:23.000 --> 00:00:25.000]  天將降大任於斯人也
[00:00:25.000 --> 00:00:27.000]  必先勞其筋骨
[00:00:27.000 --> 00:00:28.000]  餓其體膚
[00:00:28.000 --> 00:00:30.000]  控罰其身
[00:00:30.000 --> 00:00:34.000]  我想萬子講這句話也很有道理
[00:00:34.000 --> 00:00:38.000]  如果我們一個從未曾經歷過風浪
[00:00:38.000 --> 00:00:41.000]  又在溫室長大
[00:00:41.000 --> 00:00:43.000]  沒有什麼人生閱歷
[00:00:43.000 --> 00:00:49.000]  其實我們很難去了解一些在痛苦裡掙扎的人
[00:00:49.000 --> 00:00:52.000]  有些牙醫如果自己牙痛過
[00:00:52.000 --> 00:00:58.000]  他會特別重視那些病人
[00:00:58.000 --> 00:01:01.000]  一個醫生經歷過大的痛楚
[00:01:01.000 --> 00:01:04.000]  可能他的體症有所不同
[00:01:04.000 --> 00:01:06.000]  但很可惜在今天這個社會裡
[00:01:06.000 --> 00:01:08.000]  我們所謂的成功神學
[00:01:08.000 --> 00:01:10.000]  往往是告訴別人
[00:01:10.000 --> 00:01:11.000]  如果你信耶穌的時候
[00:01:11.000 --> 00:01:13.000]  你會凡事順利
[00:01:13.000 --> 00:01:14.000]  一無牽掛
[00:01:14.000 --> 00:01:16.000]  樣樣都會安安定定
[00:01:16.000 --> 00:01:20.000]  我們會很多時候用這些所謂的成功神學
[00:01:20.000 --> 00:01:22.000]  去吸引人信耶穌
[00:01:22.000 --> 00:01:26.000]  其實這是對基督教一個很大的錯誤
[00:01:26.000 --> 00:01:28.000]  基督教最精彩的地方
[00:01:28.000 --> 00:01:31.000]  不是上帝為我們預備一條很平坦的道路
[00:01:31.000 --> 00:01:33.000]  叫我們因然渡過
[00:01:33.000 --> 00:01:36.000]  基督教最重要最精彩的地方
[00:01:36.000 --> 00:01:38.000]  是讓我們有一個不同的眼光
[00:01:38.000 --> 00:01:40.000]  去看面對面
[00:01:40.000 --> 00:01:42.000]  面前無論有多大的風雨
[00:01:42.000 --> 00:01:43.000]  多大的崎嶇路
[00:01:43.000 --> 00:01:45.000]  都叫我們勇往直前
[00:01:45.000 --> 00:01:48.000]  永不退縮
[00:01:48.000 --> 00:01:52.000]  這就是基督教給我們一個很大的恩典
[00:01:52.000 --> 00:01:55.000]  我經常說一個成功的父母
[00:01:55.000 --> 00:01:57.000]  不是為他兒女預備一些平坦的道路
[00:01:57.000 --> 00:01:58.000]  因然渡過
[00:01:58.000 --> 00:02:00.000]  不是的
[00:02:00.000 --> 00:02:02.000]  而是用時間
[00:02:02.000 --> 00:02:04.000]  用他的生命
[00:02:04.000 --> 00:02:06.000]  去訓練他的兒女
[00:02:06.000 --> 00:02:07.000]  就算在崎嶇路
[00:02:07.000 --> 00:02:08.000]  暴風雨
[00:02:08.000 --> 00:02:10.000]  都永不退縮
