
[00:00:00.000 --> 00:00:02.000]  請前輩們平安
[00:00:02.000 --> 00:00:04.000]  我們先一起祈禱
[00:00:04.000 --> 00:00:06.000]  三位前輩們感謝您的恩典
[00:00:06.000 --> 00:00:09.000]  希望我們在這裏清晨可以聚集
[00:00:09.000 --> 00:00:11.000]  可以敬拜您
[00:00:11.000 --> 00:00:13.000]  聆聽您的話
[00:00:13.000 --> 00:00:15.000]  我們求父神您的聖靈在我們當中動工
[00:00:15.000 --> 00:00:17.000]  幫助我們
[00:00:17.000 --> 00:00:19.000]  讓我們聽到您的話語
[00:00:19.000 --> 00:00:23.000]  並且從您的話語裏得到教導
[00:00:23.000 --> 00:00:26.000]  幫助我們能夠進行您的教導
[00:00:26.000 --> 00:00:28.000]  奉耶穌基督的命祈禱
[00:00:28.000 --> 00:00:30.000]  請祈禱
[00:00:30.000 --> 00:00:32.000]  我們今天繼續
[00:00:32.000 --> 00:00:34.000]  《以利亞先知》系列
[00:00:34.000 --> 00:00:36.000]  上星期
[00:00:36.000 --> 00:00:38.000]  相傳道已經講了
[00:00:38.000 --> 00:00:40.000]  《廖皇記》上第十八章
[00:00:40.000 --> 00:00:43.000]  非常精彩的一段經文
[00:00:43.000 --> 00:00:45.000]  就是先知以利亞
[00:00:45.000 --> 00:00:49.000]  挑戰巴力的四百五十位先知
[00:00:49.000 --> 00:00:52.000]  我相信大家都記得那件事
[00:00:52.000 --> 00:00:54.000]  結果就是
[00:00:54.000 --> 00:00:56.000]  上主從天降火
[00:00:56.000 --> 00:00:58.000]  燒了以利亞
[00:00:58.000 --> 00:01:00.000]  所擺在壇上的祭物
[00:01:00.000 --> 00:01:02.000]  完全燒光
[00:01:02.000 --> 00:01:05.000]  而巴力那些先知其實是先祈禱
[00:01:05.000 --> 00:01:07.000]  他們又祈禱又做又跳舞
[00:01:07.000 --> 00:01:09.000]  但是結果
[00:01:09.000 --> 00:01:11.000]  他們所信的神
[00:01:11.000 --> 00:01:15.000]  沒有將祭物燒掉
[00:01:15.000 --> 00:01:17.000]  於是所有在場的
[00:01:17.000 --> 00:01:20.000]  以色列的民眾都高聲喊
[00:01:20.000 --> 00:01:22.000]  耶和華是上帝
[00:01:22.000 --> 00:01:24.000]  耶和華是上帝
[00:01:24.000 --> 00:01:28.000]  當人民都承認耶和華是上帝之後
[00:01:28.000 --> 00:01:30.000]  以利亞就把握機會了
[00:01:30.000 --> 00:01:32.000]  馬上發出命令
[00:01:32.000 --> 00:01:36.000]  叫法祖先殺那幫先知
[00:01:36.000 --> 00:01:38.000]  然後以利亞就
[00:01:38.000 --> 00:01:42.000]  向上主祈禱求雨
[00:01:42.000 --> 00:01:44.000]  知道有雨要來的時候
[00:01:44.000 --> 00:01:46.000]  就吩咐哈皇
[00:01:46.000 --> 00:01:48.000]  你上車走吧
[00:01:48.000 --> 00:01:50.000]  雨就來了
[00:01:50.000 --> 00:01:52.000]  哈皇就上了他馬車
[00:01:52.000 --> 00:01:56.000]  朝著耶和華的方向走下去了
[00:01:56.000 --> 00:02:00.000]  我們看一幅地圖
[00:02:00.000 --> 00:02:02.000]  耶和華
[00:02:02.000 --> 00:02:06.000]  綠色的圈就是加密山
[00:02:06.000 --> 00:02:08.000]  紅色的圈就是耶和華
[00:02:08.000 --> 00:02:12.000]  大約相差30公里
[00:02:12.000 --> 00:02:14.000]  哈去耶和華
[00:02:14.000 --> 00:02:20.000]  因為他的皇宮就在耶和華那裡
[00:02:20.000 --> 00:02:24.000]  所以18章46節還記載了
[00:02:24.000 --> 00:02:28.000]  以利亞也去到耶穌年
[00:02:28.000 --> 00:02:34.000]  以利亞去到耶穌年
[00:02:34.000 --> 00:02:38.000]  但是他去的方法是非常有趣的
[00:02:38.000 --> 00:02:42.000]  他好像是跑馬拉松那樣跑去的
[00:02:42.000 --> 00:02:46.000]  我們看看18章46節的經文
[00:02:46.000 --> 00:02:50.000]  職手安在以利亞身上
[00:02:50.000 --> 00:02:52.000]  他就束上腰奔在阿哈前頭
[00:02:52.000 --> 00:02:54.000]  一路到耶穌年
[00:02:54.000 --> 00:02:56.000]  我們留意到
[00:02:56.000 --> 00:02:58.000]  以利亞不是單靠自己的力量去跑
[00:02:58.000 --> 00:03:02.000]  而是上帝的手安在他身上
[00:03:02.000 --> 00:03:06.000]  加能次力讓他跑
[00:03:06.000 --> 00:03:16.000]  讓阿哈先到耶穌年的地方
[00:03:16.000 --> 00:03:20.000]  他真是厲害
[00:03:20.000 --> 00:03:22.000]  有上帝的力量
[00:03:22.000 --> 00:03:24.000]  他竟然跑得比馬車還快
[00:03:24.000 --> 00:03:28.000]  上帝的力量是包可思議的
[00:03:28.000 --> 00:03:32.000]  我們詳細來到今天的經文
[00:03:32.000 --> 00:03:36.000]  當阿哈回到耶穌年之後
[00:03:36.000 --> 00:03:38.000]  他第一件做的事
[00:03:38.000 --> 00:03:40.000]  就是向他的皇后耶穌別
[00:03:40.000 --> 00:03:44.000]  講有關以利亞在加密山上
[00:03:44.000 --> 00:03:46.000]  所做的一切事
[00:03:46.000 --> 00:03:48.000]  這件事來說
[00:03:48.000 --> 00:03:50.000]  我相信當時是大新聞
[00:03:50.000 --> 00:03:52.000]  所有在場的人
[00:03:52.000 --> 00:03:54.000]  回家都可能會向家人講述
[00:03:54.000 --> 00:03:58.000]  阿哈也沒有例外
[00:03:58.000 --> 00:04:00.000]  他將事情的來龍去脈
[00:04:00.000 --> 00:04:02.000]  告訴耶穌別
[00:04:02.000 --> 00:04:04.000]  這是非常正常的事
[00:04:04.000 --> 00:04:06.000]  但是耶穌別的反應
[00:04:06.000 --> 00:04:08.000]  好像有點不正常
[00:04:08.000 --> 00:04:10.000]  他聽完這件事
[00:04:10.000 --> 00:04:14.000]  並沒有由於以利亞上帝降火
[00:04:14.000 --> 00:04:16.000]  以及降雨
[00:04:16.000 --> 00:04:18.000]  而好像民眾那樣反應
[00:04:18.000 --> 00:04:20.000]  認定耶穌是上帝
[00:04:20.000 --> 00:04:22.000]  反而我覺得他真的好像
[00:04:22.000 --> 00:04:24.000]  司徒保羅所說
[00:04:24.000 --> 00:04:26.000]  他們的思想變為
[00:04:26.000 --> 00:04:28.000]  「虛妄無知的心,昏暗了」
[00:04:28.000 --> 00:04:32.000]  當然他們認識上帝的時候
[00:04:32.000 --> 00:04:36.000]  他們的思想真的有點不正常
[00:04:36.000 --> 00:04:38.000]  在十九章一節
[00:04:38.000 --> 00:04:42.000]  我們看到阿哈似乎沒有很詳細
[00:04:42.000 --> 00:04:44.000]  或者強調上帝
[00:04:44.000 --> 00:04:46.000]  是以利亞所行的神蹟
[00:04:46.000 --> 00:04:50.000]  反而是很強調以利亞
[00:04:50.000 --> 00:04:52.000]  「用刀殺眾先知」
[00:04:52.000 --> 00:04:54.000]  當然我們要記得
[00:04:54.000 --> 00:05:00.000]  不是以利亞一個人去殺四百五十位先知
