
[00:00:00.000 --> 00:00:06.000]  四篇 119篇 這次是第五講
[00:00:06.000 --> 00:00:12.000]  今天我們要一同來看 要學習的
[00:00:12.000 --> 00:00:19.000]  就是119篇裏頭的57節到72節
[00:00:19.000 --> 00:00:25.000]  這兩段是119篇 每一段的話都是8節
[00:00:25.000 --> 00:00:29.000]  一共有22段 我們來看這兩段
[00:00:29.000 --> 00:00:34.000]  57節到72節
[00:00:34.000 --> 00:00:38.000]  我們先來一起讀第一段
[00:00:38.000 --> 00:00:43.000]  就是57節到64節
[00:00:43.000 --> 00:00:48.000]  我們一起來讀一面思想裏面的意識
[00:00:48.000 --> 00:00:53.000]  10篇 119篇 57節 我們一起來
[00:00:53.000 --> 00:00:59.000]  耶和華是我的福分 我曾說我要遵守禰的言語
[00:00:59.000 --> 00:01:05.000]  我一心求過禰的恩 願禰照禰的話領領我
[00:01:05.000 --> 00:01:11.000]  我思想我所行的道 就轉步跪向禰的法度
[00:01:11.000 --> 00:01:15.000]  我期望遵守禰的命令 並不怯然
[00:01:15.000 --> 00:01:21.000]  惡人的神所纏繞我 我卻沒有忘記禰的律法
[00:01:21.000 --> 00:01:27.000]  我因禰公義的典章 半夜立即出來親自見禰
[00:01:27.000 --> 00:01:33.000]  凡親近爲禰 守禰性子的人 我都與祂同伴
[00:01:33.000 --> 00:01:41.000]  耶和華 禰的慈愛遍滿大地 求禰將禰的內力教訓我
[00:01:41.000 --> 00:01:47.000]  這一段的話是講到神是我們永遠的部分
[00:01:47.000 --> 00:01:51.000]  這一段的話有八節的經文
[00:01:51.000 --> 00:01:56.000]  這個寫詩的人的心情很堅定
[00:01:56.000 --> 00:01:58.000]  他得到安慰
[00:01:58.000 --> 00:02:05.000]  所以他就說到一個真心圖應該有八個標誌
[00:02:05.000 --> 00:02:11.000]  從這一段裏頭他講到這個真心圖的八個標記
[00:02:11.000 --> 00:02:18.000]  第一個標記就講到耶和華是我的附奉
[00:02:18.000 --> 00:02:23.000]  意思說神是屬於我的
[00:02:23.000 --> 00:02:31.000]  附奉其實廣義來說除了神賜給我們的附奉以外
[00:02:31.000 --> 00:02:34.000]  一些一個一個的附奉以外
[00:02:34.000 --> 00:02:39.000]  應該說到人生我們中間所需要的一切
[00:02:39.000 --> 00:02:44.000]  神都是會賜給我們的
[00:02:44.000 --> 00:02:47.000]  就是有了主就有了一切
[00:02:47.000 --> 00:02:51.000]  所以我們想到我們很有福氣的
[00:02:51.000 --> 00:02:55.000]  因爲我們所得到的不是一點點靈性的福氣
[00:02:55.000 --> 00:02:58.000]  但是神是我們的附奉
[00:02:58.000 --> 00:03:01.000]  而且這個附奉不是暫時的
[00:03:01.000 --> 00:03:03.000]  而是永遠的附奉
[00:03:03.000 --> 00:03:05.000]  這是非常的寶貴
[00:03:05.000 --> 00:03:09.000]  所以有了主我們就有了一切了
[00:03:09.000 --> 00:03:14.000]  沒有主的話我們再努力的話我們也得不到什麼
[00:03:14.000 --> 00:03:20.000]  所以這個人生最大的一個重要的地方
[00:03:20.000 --> 00:03:23.000]  就是要以神做我們的附奉
[00:03:23.000 --> 00:03:30.000]  那麼這個是第五十七節所說的
[00:03:30.000 --> 00:03:32.000]  耶和華是我的附奉
[00:03:32.000 --> 00:03:35.000]  有了主就是有了一切了
[00:03:35.000 --> 00:03:41.000]  有一次有一個傳道人到一個農場
[00:03:41.000 --> 00:03:45.000]  有一個基督徒住在農場的
[00:03:45.000 --> 00:03:49.000]  他到底有沒有真的信主還不知道
[00:03:49.000 --> 00:03:52.000]  所以這個傳道人就去看他去
[00:03:52.000 --> 00:04:00.000]  去了以後這個主人就領他上了一個樓
[00:04:00.000 --> 00:04:04.000]  叫他去看一看他這個地方
[00:04:04.000 --> 00:04:06.000]  他就指着東面叫他看
[00:04:06.000 --> 00:04:10.000]  你看東面這片地方都是我的
[00:04:10.000 --> 00:04:13.000]  西面呢再看看西面呢
[00:04:13.000 --> 00:04:16.000]  這片地方也都是我的
[00:04:16.000 --> 00:04:21.000]  南面北面他說你看看我有多麼多的地方
