
[00:00:00.000 --> 00:00:01.560]  講到的題目叫做
[00:00:01.560 --> 00:00:03.360]  莫戀上別的床
[00:00:03.360 --> 00:00:06.240]  講性與婚姻的
[00:00:06.240 --> 00:00:09.840]  我記得差不多20年前
[00:00:09.840 --> 00:00:12.320]  有一齣戲叫做《戀上你的床》
[00:00:12.320 --> 00:00:13.320]  有沒有人看過?
[00:00:13.320 --> 00:00:15.840]  我沒有看過
[00:00:15.840 --> 00:00:18.600]  應該是鄭秀文做的
[00:00:18.600 --> 00:00:20.240]  我也是上網找的
[00:00:20.240 --> 00:00:22.880]  你的名字也挺有趣的
[00:00:22.880 --> 00:00:25.960]  你知道我的年代也不是鄭秀文
[00:00:25.960 --> 00:00:27.960]  我的年代就是鄭少秋
[00:00:27.960 --> 00:00:31.520]  或者是鄭錦昌
[00:00:31.520 --> 00:00:33.160]  我改了一個名字叫做
[00:00:33.160 --> 00:00:34.920]  莫戀上別的床
[00:00:34.920 --> 00:00:37.520]  看看聖經裏面是怎樣說的
[00:00:37.520 --> 00:00:38.520]  請聽我讀出
[00:00:38.520 --> 00:00:42.400]  「上帝說,那人單獨一個不好,
[00:00:42.400 --> 00:00:45.160]  我要為他做一個配偶,幫助他。
[00:00:45.160 --> 00:00:48.800]  上帝用泥土造了野地各樣的走獸,
[00:00:48.800 --> 00:00:50.400]  和天空各樣的飛鳥,
[00:00:50.400 --> 00:00:53.640]  都帶到那人面前,看他叫什麼。
[00:00:53.640 --> 00:00:56.680]  那人怎樣叫各樣的動物,
[00:00:56.680 --> 00:00:58.400]  那就是他的名字。
[00:00:58.400 --> 00:01:01.760]  那人吸一切的生畜,
[00:01:01.760 --> 00:01:04.520]  天空的飛鳥和野地各樣的走獸,
[00:01:04.520 --> 00:01:05.440]  都起了名,
[00:01:05.440 --> 00:01:09.520]  只是阿當沒有找到配偶幫助他。
[00:01:09.520 --> 00:01:11.680]  耶和華上帝就把他沉睡,
[00:01:11.680 --> 00:01:12.560]  他就睡了,
[00:01:12.560 --> 00:01:14.640]  於是取下他一斤肋骨,
[00:01:14.640 --> 00:01:17.040]  又在原處把肉合起來。
[00:01:17.040 --> 00:01:20.320]  耶和華上帝就用那人身上所取的肋骨,
[00:01:20.320 --> 00:01:21.720]  造了一個女人,
[00:01:21.720 --> 00:01:23.520]  帶她到那人面前,
[00:01:23.520 --> 00:01:24.320]  那人說:
[00:01:24.320 --> 00:01:26.920]  「這是我骨中的骨,肉中的肉,
[00:01:26.920 --> 00:01:28.520]  可以稱她為女人,
[00:01:28.520 --> 00:01:32.000]  因為她從男人身上取出來的,
[00:01:32.000 --> 00:01:35.160]  因此人要離開父母,與妻子聯合,
[00:01:35.160 --> 00:01:36.680]  二人成為一體。」
[00:01:36.680 --> 00:01:39.360]  當時夫妻二人赤身露體,
[00:01:39.360 --> 00:01:41.800]  並不覺得羞恥。
[00:01:41.800 --> 00:01:44.080]  另一段經文,大家很熟悉的希伯來書,
[00:01:44.080 --> 00:01:45.600]  三十三章四字和本,
[00:01:45.600 --> 00:01:46.440]  那裡說:
[00:01:46.440 --> 00:01:48.840]  「婚姻,人人都當尊重,
[00:01:48.840 --> 00:01:50.200]  床也不可污穢,
[00:01:50.200 --> 00:01:55.600]  因為苟合行淫的人,上帝必要審判。」
[00:01:55.600 --> 00:01:58.760]  我叫「莫亂上別的床」,
[00:01:58.760 --> 00:02:00.280]  其實是用廣東話,
[00:02:00.280 --> 00:02:02.840]  就是不要亂上別人的床,
[00:02:02.840 --> 00:02:05.840]  就是「莫亂上別的床」。
[00:02:05.840 --> 00:02:07.480]  這個系列,
[00:02:07.480 --> 00:02:10.760]  我們其實談過,
[00:02:10.760 --> 00:02:13.800]  會講一個這樣的系列,
[00:02:13.800 --> 00:02:14.800]  已經兩年了,
[00:02:14.800 --> 00:02:17.640]  我初初來到這個會點的時候,
[00:02:17.640 --> 00:02:19.920]  開始編這個廣東話系列,
[00:02:19.920 --> 00:02:20.920]  我們已經說要講的,
[00:02:20.920 --> 00:02:24.840]  但是當中當然有很多不同的迴響,
[00:02:24.840 --> 00:02:26.960]  因為教會一講這個題目的時候,
[00:02:26.960 --> 00:02:28.560]  講到關於性的題目,
[00:02:28.560 --> 00:02:32.920]  就有很多不同的觀念,
[00:02:32.920 --> 00:02:36.360]  我記得當這個題目一出宣傳的時候,
[00:02:36.360 --> 00:02:38.360]  已經有,我聽到一位家長,
[00:02:38.360 --> 00:02:40.280]  他說在二月份,
[00:02:40.280 --> 00:02:47.640]  他不會叫他的小孩來青少年崇拜,
[00:02:47.640 --> 00:02:49.960]  因為他們太小了,
[00:02:49.960 --> 00:02:52.720]  不適合聽這些講題的。
[00:02:52.720 --> 00:02:56.680]  去到我們青少年的都是最少的中學,
[00:02:56.680 --> 00:03:00.800]  最少第八,第六,第七,第八班的最少。
[00:03:00.800 --> 00:03:07.640]  我們以往的家長都是這樣的觀念,
[00:03:07.640 --> 00:03:15.120]  就是性這件事是難於啟齒的,
[00:03:15.120 --> 00:03:16.640]  是不應該聽的,
