
[00:00:00.000 --> 00:00:03.000]  大英姐妹,你們來看看
[00:00:03.000 --> 00:00:06.000]  昨晚有沒有來看?
[00:00:06.000 --> 00:00:10.000]  昨晚我們起碼超過40碟美食
[00:00:10.000 --> 00:00:13.000]  起碼,不止,應該加起來
[00:00:13.000 --> 00:00:15.000]  很多,超過100人來參加
[00:00:15.000 --> 00:00:17.000]  你們來看過就知道
[00:00:17.000 --> 00:00:19.000]  昨晚是多麼的墟冚
[00:00:19.000 --> 00:00:22.000]  多麼好吃,比外面的店舖好吃很多
[00:00:22.000 --> 00:00:24.000]  很多很多倍
[00:00:24.000 --> 00:00:27.000]  你們來看看
[00:00:27.000 --> 00:00:31.000]  有一次我經過一間新開張的日本餐廳
[00:00:31.000 --> 00:00:34.000]  門口有一個服務員
[00:00:34.000 --> 00:00:36.000]  派傳單
[00:00:36.000 --> 00:00:38.000]  他很積極的跟我說
[00:00:38.000 --> 00:00:40.000]  你們來看看
[00:00:40.000 --> 00:00:43.000]  我們這間餐廳新開張很好吃的
[00:00:43.000 --> 00:00:45.000]  你們來看看
[00:00:45.000 --> 00:00:48.000]  他就帶我在門口裝一下裡面的裝修
[00:00:48.000 --> 00:00:51.000]  裝一下裡面的情況是怎麼樣
[00:00:51.000 --> 00:00:54.000]  然後說,進來光顧吧
[00:00:54.000 --> 00:00:57.000]  然後我看一看
[00:00:57.000 --> 00:00:59.000]  一個黃金定律
[00:00:59.000 --> 00:01:03.000]  通常一間好吃的餐廳應該有很多人
[00:01:03.000 --> 00:01:05.000]  那間餐廳沒有什麼人
[00:01:05.000 --> 00:01:08.000]  我就不進去了
[00:01:08.000 --> 00:01:10.000]  當我不進去的時候
[00:01:10.000 --> 00:01:13.000]  你知道服務員怎麼樣嗎?
[00:01:13.000 --> 00:01:17.000]  給我一個鞠躬
[00:01:17.000 --> 00:01:19.000]  還微笑
[00:01:19.000 --> 00:01:21.000]  不要緊,我們這間餐廳真的很好吃
[00:01:21.000 --> 00:01:25.000]  你下次經過再來吃吧
[00:01:25.000 --> 00:01:30.000]  這個服務員的態度給我很深刻印象
[00:01:30.000 --> 00:01:32.000]  結果有一天中午我經過的時候
[00:01:32.000 --> 00:01:34.000]  我要吃午餐
