
[00:00:00.000 --> 00:00:07.000]  好,說到約書,雖然今天停戰,也不可能不說一下打仗
[00:00:07.000 --> 00:00:11.000]  大家幾年前有沒有看過一套美國的電影
[00:00:11.000 --> 00:00:14.000]  那時候也挺受歡迎的,我想很多人也看過
[00:00:14.000 --> 00:00:20.000]  就叫做「鋼巨嶺」,大家有沒有聽過這套戲
[00:00:20.000 --> 00:00:24.000]  裡面有個主角叫杜絲,Desmond Dose
[00:00:24.000 --> 00:00:32.000]  他其實是在二次世界大戰的時代,出於保家衛國的心
[00:00:32.000 --> 00:00:35.000]  他去應徵,去當兵
[00:00:35.000 --> 00:00:44.000]  但是就是因為他很卓越,體能很特別,於是他可以入伍
[00:00:44.000 --> 00:00:49.000]  但是他卻是一個很堅信基督的信徒
[00:00:49.000 --> 00:00:56.000]  就在他的信仰裡面,他非常謹守十誡當中的不可殺人這條誡命
[00:00:56.000 --> 00:01:01.000]  於是他就堅持拒絕去拿槍
[00:01:01.000 --> 00:01:05.000]  在當兵的時候他不願意拿槍,這件事很奇怪
[00:01:05.000 --> 00:01:11.000]  然後他也是一個很謹守安息日的信徒,於是他就堅持
[00:01:11.000 --> 00:01:17.000]  一到安息日的時候,他就不受訓,也不當值
[00:01:17.000 --> 00:01:23.000]  就是這樣,這個杜絲在軍中產生了一個很大的矛盾衝突
[00:01:23.000 --> 00:01:28.000]  甚至乎被軍中的他的上司,他的同袍
[00:01:28.000 --> 00:01:33.000]  視他為一個精神病的患者,想隔扯他
[00:01:33.000 --> 00:01:36.000]  但是幾經波折,他沒有放棄
[00:01:36.000 --> 00:01:43.000]  結果軍事法庭判決了宗教信仰不算是精神病
[00:01:43.000 --> 00:01:52.000]  他就可以繼續當兵,而且也被派到日本沖繩參加鋼巨嶺的戰役
[00:01:52.000 --> 00:01:56.000]  在戰場上一樣,一如他的信仰
[00:01:56.000 --> 00:02:00.000]  杜絲堅持不帶槍,不殺人
[00:02:00.000 --> 00:02:05.000]  但是神非常保守他,他當然沒有陣亡
[00:02:05.000 --> 00:02:10.000]  不會一上去就馬上陣亡,沒什麼好說的
[00:02:10.000 --> 00:02:15.000]  反而他在戰場上盡力救援傷兵
[00:02:15.000 --> 00:02:19.000]  而到了安息日的時候,杜絲又堅持
[00:02:19.000 --> 00:02:25.000]  他要先敬拜,先禱告我們的神之後,他才肯上陣
[00:02:25.000 --> 00:02:28.000]  但是令到隊友都沒有辦法了
[00:02:28.000 --> 00:02:33.000]  因為他一直打不死這個奇蹟,他受到感動
[00:02:33.000 --> 00:02:36.000]  可能當他是一個福將
[00:02:36.000 --> 00:02:44.000]  而且他上陣的時候,那些人都不願意發動攻擊
