
[00:00:00.000 --> 00:00:03.480]  很高興再一次在港台跟大家見面
[00:00:03.480 --> 00:00:06.800]  特別今天是2020年最後一天的
[00:00:06.800 --> 00:00:08.880]  最後一個主日
[00:00:08.880 --> 00:00:13.280]  今年的確是一個很特別的一年
[00:00:13.280 --> 00:00:17.080]  年初都沒有想過我年尾會在這裡講道
[00:00:17.080 --> 00:00:20.560]  而且還穿得好像一個科學怪人一樣
[00:00:20.560 --> 00:00:25.520]  對著一個差不多沒有人的禮堂
[00:00:25.520 --> 00:00:27.920]  只是對著鏡頭
[00:00:27.920 --> 00:00:31.800]  這些都是我們從來都沒有想過的
[00:00:31.800 --> 00:00:37.480]  今年不單止是一個很特別的一年
[00:00:37.480 --> 00:00:42.680]  而且也是我們學會很多新的英文字的一年
[00:00:42.680 --> 00:00:46.640]  例如lockdown這個字
[00:00:46.640 --> 00:00:48.680]  以前都很少聽過的
[00:00:48.680 --> 00:00:51.160]  lockdown就是封鎖、封城
[00:00:51.160 --> 00:00:52.400]  甚麼都封了
[00:00:52.400 --> 00:00:55.000]  通常是有恐怖襲擊
[00:00:55.000 --> 00:00:59.840]  還是可能有核爆才要lockdown
[00:00:59.840 --> 00:01:05.960]  沒有想過原來病毒可以把我們全城的人都要lockdown
[00:01:05.960 --> 00:01:08.800]  不准出街、禁聚、禁足
[00:01:08.800 --> 00:01:11.760]  這個都是很少聽過這個字的
[00:01:11.760 --> 00:01:14.080]  我們常常都以為是第三世界國家
[00:01:14.080 --> 00:01:15.640]  罪惡很高的國家
[00:01:15.640 --> 00:01:19.120]  或者很不文明的不民主國家才會有lockdown
[00:01:19.120 --> 00:01:22.160]  誰知我們英國也要lockdown
[00:01:22.160 --> 00:01:23.920]  第二個英文字是甚麼
[00:01:23.920 --> 00:01:25.920]  大家學會的是furlough這個字
[00:01:25.920 --> 00:01:28.480]  furlough這個字原來解釋是甚麼呢
[00:01:28.480 --> 00:01:30.040]  是被休假
[00:01:30.040 --> 00:01:32.920]  即是我不是拿假去旅行
[00:01:32.920 --> 00:01:34.840]  我不是拿假去哪裡玩
[00:01:34.840 --> 00:01:37.200]  是我一定要強迫我拿假
[00:01:37.200 --> 00:01:38.440]  被休假
[00:01:38.440 --> 00:01:40.200]  被自殺我聽過了
[00:01:40.200 --> 00:01:42.280]  被失蹤我聽過了
[00:01:42.280 --> 00:01:45.400]  但是被休假就是furlough的意思
[00:01:45.400 --> 00:01:47.040]  我們學會了新字是甚麼
[00:01:47.040 --> 00:01:50.400]  第三個字詞是social distancing
[00:01:50.400 --> 00:01:52.400]  social worker我聽過了
[00:01:52.400 --> 00:01:55.080]  social life社交活動
[00:01:55.080 --> 00:01:57.440]  社工我聽過了
[00:01:57.440 --> 00:01:59.440]  社交居然要距離
[00:01:59.440 --> 00:02:01.960]  其實這個字是很矛盾的
[00:02:01.960 --> 00:02:04.440]  是一個弔詭
[00:02:04.440 --> 00:02:07.240]  社交當然要親熱、親近
[00:02:07.240 --> 00:02:08.960]  親近才是社交
[00:02:08.960 --> 00:02:12.240]  大家抱著、親一下、握一下手
[00:02:12.240 --> 00:02:13.480]  這樣才是社交
[00:02:13.480 --> 00:02:15.480]  正常的社交很健康的
[00:02:15.480 --> 00:02:17.240]  但也很開心的
[00:02:17.240 --> 00:02:20.160]  但是社交居然要距離
[00:02:20.160 --> 00:02:22.160]  距離一米、一米半
[00:02:22.160 --> 00:02:23.120]  兩米
[00:02:23.120 --> 00:02:25.560]  甚至是距離越遠越好
[00:02:25.560 --> 00:02:27.560]  我們學會了新的詞語
[00:02:27.560 --> 00:02:29.840]  還有一個詞語就是bubbles
[00:02:29.840 --> 00:02:30.760]  bubbles
[00:02:30.760 --> 00:02:33.560]  bubbles我們洗澡時玩的bubbles
[00:02:33.560 --> 00:02:35.560]  原來這些泡泡泡沫
[00:02:35.560 --> 00:02:36.760]  或者甚麼泡呢
[00:02:36.760 --> 00:02:37.880]  氣泡
[00:02:37.880 --> 00:02:39.560]  原來現在有social bubble
[00:02:39.560 --> 00:02:41.080]  社交你就有bubble
[00:02:41.080 --> 00:02:44.840]  即是說你只是和這幾個人可以在一起
[00:02:44.840 --> 00:02:46.840]  你就不可以和其他人一起了
[00:02:46.840 --> 00:02:48.440]  學校有bubble
[00:02:48.440 --> 00:02:50.440]  school bubble就是你的班裏面
[00:02:50.440 --> 00:02:52.440]  一個病有事
[00:02:52.440 --> 00:02:54.440]  一個中招全部都要隔離
[00:02:54.440 --> 00:02:56.440]  有work bubble
[00:02:56.440 --> 00:02:58.240]  公司有bubble
[00:02:58.240 --> 00:03:00.240]  然後有Christmas bubble
[00:03:00.240 --> 00:03:02.240]  聖誕節有bubble
[00:03:02.240 --> 00:03:04.240]  你只可以聖誕日和這兩家人
[00:03:04.240 --> 00:03:06.240]  這兩家人一起聚一聚
[00:03:06.240 --> 00:03:08.240]  不可以有第三家人的了
[00:03:08.240 --> 00:03:09.440]  Christmas bubble
[00:03:09.440 --> 00:03:10.640]  連我們worship
[00:03:10.640 --> 00:03:12.440]  敬拜今天都有bubble
[00:03:12.440 --> 00:03:15.440]  即是你只可以經常和那個人一起去敬拜
[00:03:15.440 --> 00:03:17.440]  回來教會也要隔離
[00:03:17.440 --> 00:03:20.240]  但是又不可以和多幾個不同的人
[00:03:20.240 --> 00:03:23.240]  因為這樣就會增加風險了
