
[00:00:00.000 --> 00:00:05.600]  有一個老人家就知道自己將要離世的日子近了
[00:00:05.600 --> 00:00:07.400]  就跟他的太太商量
[00:00:07.400 --> 00:00:11.600]  商量好之後就將他畢生的財富
[00:00:11.600 --> 00:00:14.100]  就擺在箱子那裡
[00:00:14.100 --> 00:00:17.200]  然後就擺在閣樓
[00:00:17.200 --> 00:00:18.700]  就打算離世的時候
[00:00:18.700 --> 00:00:22.700]  靈魂升天就順手拿著財寶一起走
[00:00:22.700 --> 00:00:24.800]  好了,沒多久之後
[00:00:24.800 --> 00:00:28.900]  那老人家就離世
[00:00:28.900 --> 00:00:30.900]  就在辦完後事之後
[00:00:30.900 --> 00:00:35.600]  太太就去閣樓那裡收拾東西
[00:00:35.600 --> 00:00:36.700]  發覺收拾的時候
[00:00:36.700 --> 00:00:40.600]  那個財富的箱子還在那裡
[00:00:40.600 --> 00:00:42.100]  裡面的東西也在那裡
[00:00:42.100 --> 00:00:43.800]  太太就一聲長嘆
[00:00:43.800 --> 00:00:47.500]  就說我都知道應該將那個箱子擺在地牢
[00:00:47.500 --> 00:00:51.100]  不要擺在上面閣樓
[00:00:51.100 --> 00:00:56.700]  無論是擺在閣樓還是擺在地牢
[00:00:56.700 --> 00:01:01.700]  這對夫婦對死後的觀念
[00:01:01.700 --> 00:01:04.000]  有對,也有錯
[00:01:04.000 --> 00:01:05.800]  正確的地方就是說
[00:01:05.800 --> 00:01:07.500]  沒錯,人死了之後
[00:01:07.500 --> 00:01:10.300]  要麼就上天堂,要麼就下地獄
[00:01:10.300 --> 00:01:11.400]  這是聖經的教導
[00:01:11.400 --> 00:01:13.000]  不過他們錯的地方就是
[00:01:13.000 --> 00:01:14.600]  我們大家都知道的
[00:01:14.600 --> 00:01:15.400]  人死了之後
[00:01:15.400 --> 00:01:17.800]  不能夠將我們地上的財富
[00:01:17.800 --> 00:01:19.800]  帶進去我們死後的世界
[00:01:19.800 --> 00:01:21.000]  這個我們都知道的
[00:01:21.000 --> 00:01:25.600]  所以我們從來不會看到有人這樣寫遺囑的
[00:01:25.600 --> 00:01:27.300]  怎麼寫遺囑的
[00:01:27.300 --> 00:01:30.700]  兒女們、孫兒們
[00:01:30.700 --> 00:01:31.400]  我死了之後
[00:01:31.400 --> 00:01:35.200]  你們千萬不要動我銀行裡面的錢
[00:01:35.200 --> 00:01:36.600]  我要將我銀行裡面的錢
[00:01:36.600 --> 00:01:39.100]  帶進去我們死後的世界
[00:01:39.100 --> 00:01:41.000]  繼續享用的
[00:01:41.000 --> 00:01:41.900]  沒有的,是不是?
[00:01:41.900 --> 00:01:43.300]  從來不會有人這樣寫遺囑的
[00:01:43.300 --> 00:01:44.200]  為什麼?
[00:01:44.200 --> 00:01:45.700]  因為我們都知道死後
[00:01:45.700 --> 00:01:49.000]  我們不能夠將我們在地上
[00:01:49.000 --> 00:01:50.400]  所累積的財富
[00:01:50.400 --> 00:01:53.900]  帶進我們死後的世界
[00:01:53.900 --> 00:01:57.100]  不過我想大家再想清楚
[00:01:57.100 --> 00:02:01.600]  是不是這個說法是真的呢?
[00:02:01.600 --> 00:02:04.100]  這個說法是不是完全的正確呢?
[00:02:04.100 --> 00:02:09.600]  縱然我們不能夠將我們的財富帶走
[00:02:09.600 --> 00:02:11.300]  但是我想大家想一想
[00:02:11.300 --> 00:02:13.100]  我們地上的財富
[00:02:13.100 --> 00:02:15.400]  是不是真的對我們死後的世界
[00:02:15.400 --> 00:02:19.400]  完全沒有果效、沒有效用的呢?
[00:02:19.400 --> 00:02:21.300]  我想今天通過這一段的經文
[00:02:21.300 --> 00:02:25.200]  跟大家思考我們剛才所問的問題
[00:02:25.200 --> 00:02:26.600]  在這裡耶穌跟我們說
[00:02:26.600 --> 00:02:29.200]  不要為生命憂慮吃什麼
[00:02:29.200 --> 00:02:32.400]  也不要憂慮我們要穿什麼
[00:02:32.400 --> 00:02:35.400]  你們不要求吃什麼、喝什麼
[00:02:35.400 --> 00:02:37.900]  也不要掛心
[00:02:37.900 --> 00:02:39.300]  我想大家去想一想
[00:02:39.300 --> 00:02:41.500]  我們應該怎麼理解
[00:02:41.500 --> 00:02:44.900]  耶穌這裡所說的這幾句話呢?
[00:02:44.900 --> 00:02:48.700]  是不是真的說我們不要追求美食
[00:02:48.700 --> 00:02:51.000]  也不要去買好衣服
[00:02:51.000 --> 00:02:54.200]  是不是這幾句話是這樣解釋的呢?
[00:02:54.200 --> 00:02:56.500]  如果我們這樣理解的時候
[00:02:56.500 --> 00:02:59.000]  我猜大概我們每一個人都
[00:02:59.000 --> 00:03:01.400]  沒有認真的遵守這一個教導
[00:03:01.400 --> 00:03:02.600]  為什麼呢?
[00:03:02.600 --> 00:03:04.900]  我們現在已經在想
[00:03:04.900 --> 00:03:08.300]  我們完崇拜之後去找什麼美食
[00:03:08.300 --> 00:03:09.900]  很明顯這句話不是這個意思
[00:03:09.900 --> 00:03:12.300]  不是可以按字面來解釋的
[00:03:12.300 --> 00:03:13.600]  既然不按字面來解釋
[00:03:13.600 --> 00:03:15.500]  我們應該怎麼去理解
[00:03:15.500 --> 00:03:18.200]  耶穌這一句話呢?
[00:03:18.200 --> 00:03:21.900]  在今天我們所讀的經文裡面
[00:03:21.900 --> 00:03:24.200]  我找到四個事實
[00:03:24.200 --> 00:03:26.000]  可以幫助我們去理解
[00:03:26.000 --> 00:03:29.300]  耶穌這裡這個教導
[00:03:29.300 --> 00:03:30.600]  第一
