
[00:00:00.000 --> 00:00:02.800]  好久不見了,大家好嗎?
[00:00:02.800 --> 00:00:06.660]  至於我發生了一件
[00:00:06.660 --> 00:00:11.720]  我從來沒有想過會發生的事
[00:00:11.720 --> 00:00:14.900]  大概半年前,我因為
[00:00:14.900 --> 00:00:17.180]  心絞痛
[00:00:17.180 --> 00:00:20.760]  就叫救護車進醫院
[00:00:20.760 --> 00:00:23.880]  進入聯合急症室
[00:00:23.880 --> 00:00:26.560]  說明急症即是好
[00:00:26.560 --> 00:00:29.440]  急了,你猜我等了多久?
[00:00:30.000 --> 00:00:36.000]  差不多九個小時
[00:00:36.000 --> 00:00:39.600]  我又忍得痛,又沒有叫
[00:00:39.600 --> 00:00:42.440]  乖乖地,輪到我去見醫生
[00:00:42.440 --> 00:00:45.520]  我做了心電圖,驗血
[00:00:45.520 --> 00:00:48.280]  照X光,醫生看完報告
[00:00:48.280 --> 00:00:51.940]  說我急性心臟病發
[00:00:51.940 --> 00:00:56.220]  要爭分奪秒,幫我做手術
[00:00:56.220 --> 00:00:59.280]  不過,幫我做手術的醫生
[00:00:59.280 --> 00:01:01.280]  今天早上放假
[00:01:01.280 --> 00:01:04.660]  那位護士立即打電話
[00:01:04.660 --> 00:01:06.880]  去急症室
[00:01:06.880 --> 00:01:10.640]  救護車送我去急症室
[00:01:10.640 --> 00:01:12.620]  好像電視劇一樣
[00:01:12.620 --> 00:01:16.480]  救護人員很急
[00:01:16.480 --> 00:01:22.220]  把床借車進去手術室
[00:01:22.220 --> 00:01:23.940]  光彩彩的
[00:01:23.940 --> 00:01:27.600]  然後醫生已經準備好了
[00:01:27.600 --> 00:01:29.600]  立即為我做手術
[00:01:29.600 --> 00:01:33.740]  感謝主,手術相當成功
[00:01:33.740 --> 00:01:40.600]  做完手術第二天
[00:01:40.600 --> 00:01:46.040]  我就被接回聯合醫院受護理
[00:01:46.040 --> 00:01:48.840]  在聯合醫院
[00:01:48.840 --> 00:01:51.800]  連同伊利沙伯有一天
[00:01:51.800 --> 00:01:53.800]  總共前後六天
[00:01:53.800 --> 00:01:55.800]  現在我已經康復了
[00:01:55.800 --> 00:02:00.660]  不過身體輕了八磅
[00:02:00.660 --> 00:02:02.660]  我已經夠瘦了
[00:02:02.660 --> 00:02:04.660]  還要輕八磅
[00:02:04.660 --> 00:02:08.240]  而且,貧血相當嚴重
[00:02:08.240 --> 00:02:10.240]  個人很容易累
[00:02:10.240 --> 00:02:12.940]  因為肌肉流失得很快
[00:02:12.940 --> 00:02:15.700]  所以走路很容易失去平衡
[00:02:15.700 --> 00:02:17.700]  如果在我這個年紀
[00:02:17.700 --> 00:02:19.700]  跌倒
[00:02:19.700 --> 00:02:21.700]  是可大可小的
[00:02:21.700 --> 00:02:23.700]  所以,上落我都非常小心
[00:02:23.700 --> 00:02:26.700]  因為吃了薄血卷
[00:02:26.700 --> 00:02:30.700]  令我很容易流血
[00:02:30.700 --> 00:02:32.700]  有一次
[00:02:32.700 --> 00:02:36.700]  我參加香港博物館的時候
[00:02:36.700 --> 00:02:40.700]  我喜歡看古董
[00:02:40.700 --> 00:02:42.700]  就跪過頭過去
[00:02:42.700 --> 00:02:44.700]  誰知道
[00:02:44.700 --> 00:02:48.700]  那個玻璃這麼乾淨
[00:02:48.700 --> 00:02:50.700]  我以為沒有
[00:02:50.700 --> 00:02:54.700]  一下子撞到頭
[00:02:54.700 --> 00:02:56.700]  又不是撞到鼻子
[00:02:56.700 --> 00:02:58.700]  想不到
[00:02:58.700 --> 00:03:00.700]  鼻子很硬
[00:03:00.700 --> 00:03:02.700]  一聲一聲流鼻血
[00:03:02.700 --> 00:03:05.700]  我唯有急著回家
[00:03:05.700 --> 00:03:07.700]  用冰敷
[00:03:07.700 --> 00:03:09.700]  才慢慢止血
[00:03:09.700 --> 00:03:13.700]  因為吃了薄血卷
[00:03:13.700 --> 00:03:15.700]  腎時、卯時
[00:03:15.700 --> 00:03:17.700]  都可能出血
[00:03:17.700 --> 00:03:19.700]  而且,走路
[00:03:19.700 --> 00:03:22.700]  也很容易失去平衡
[00:03:22.700 --> 00:03:24.700]  所以我對這點有點擔心
[00:03:24.700 --> 00:03:27.700]  已經取消了四個旅程
[00:03:27.700 --> 00:03:31.700]  我打算明年才再飛
[00:03:31.700 --> 00:03:34.700]  我做夢都想不到
[00:03:34.700 --> 00:03:39.700]  心臟病會發生在我身上
[00:03:39.700 --> 00:03:41.700]  因為我平時吃東西
[00:03:41.700 --> 00:03:46.700]  少糖、少鹽、少油
[00:03:46.700 --> 00:03:50.700]  是,我上康復班的時候才知道
[00:03:50.700 --> 00:03:55.700]  原來與我吃的東西無關
[00:03:55.700 --> 00:03:59.700]  姑娘說六成心臟病
[00:03:59.700 --> 00:04:04.700]  是與先天遺傳有關的
[00:04:04.700 --> 00:04:06.700]  通過這個病
[00:04:06.700 --> 00:04:11.700]  我對《雅各書》兩節經文
[00:04:11.700 --> 00:04:14.700]  有很深刻的體會
[00:04:14.700 --> 00:04:19.700]  她說,其實明天是怎樣?
[00:04:19.700 --> 00:04:22.700]  你們是不知道的
