
[00:00:00.000 --> 00:00:01.000]  如果你有聖經的話
[00:00:01.000 --> 00:00:03.080]  我鼓勵你一起去擁抱神的話語
[00:00:03.080 --> 00:00:04.040]  我們一起去祈禱
[00:00:30.000 --> 00:00:33.000]  我們在主裡面也是神的一家人
[00:00:33.000 --> 00:00:36.000]  這也是因為耶穌基督的救贖的緣故
[00:00:36.000 --> 00:00:39.000]  幫助我們能夠常存一個感謝的心
[00:00:39.000 --> 00:00:41.000]  也能夠定性仰望基督
[00:00:41.000 --> 00:00:46.000]  能夠更加地去降服於主耶穌的主權底下
[00:00:46.000 --> 00:00:48.000]  我們將以下時間恭敬交上
[00:00:48.000 --> 00:00:50.000]  求你親自向我們說話
[00:00:50.000 --> 00:00:51.000]  觸動我們的心靈
[00:00:51.000 --> 00:00:53.000]  改變我們的生命
[00:00:53.000 --> 00:00:54.000]  聽我們的祈禱
[00:00:54.000 --> 00:00:57.000]  奉靠耶穌基督得勝的名字祈求
[00:00:57.000 --> 00:01:00.000]  阿門
[00:01:28.000 --> 00:01:31.000]  我們看到身邊的人都對我們特別快樂
[00:01:31.000 --> 00:01:33.000]  劉海康家平時不會幫我們開門
[00:01:33.000 --> 00:01:35.000]  但新年期間他會很有善地幫我們開門
[00:01:35.000 --> 00:01:38.000]  因為希望我們可以充分地利事他
[00:01:38.000 --> 00:01:39.000]  我們去喝茶的時候
[00:01:39.000 --> 00:01:41.000]  突然有很多舊朋友
[00:01:41.000 --> 00:01:43.000]  那些侍應個個好像認識了你二十年
[00:01:43.000 --> 00:01:44.000]  喂 這麼久不見了
[00:01:44.000 --> 00:01:46.000]  新年快樂 身體健康
[00:01:46.000 --> 00:01:49.000]  個個都要很快樂地對著我們
[00:01:49.000 --> 00:01:52.000]  因為他們有不同的原因需要快樂
[00:01:52.000 --> 00:01:53.000]  但回過頭來
[00:01:53.000 --> 00:01:56.000]  我們也要有一個很快樂的樣子讓別人看到
[00:01:56.000 --> 00:01:58.000]  新年是應該要快樂的
[00:01:58.000 --> 00:01:59.000]  所以我們見到親戚朋友
[00:01:59.000 --> 00:02:00.000]  我們個個都要很開心
[00:02:00.000 --> 00:02:02.000]  個個都要祝賀他們
[00:02:02.000 --> 00:02:03.000]  當然我們明白
[00:02:03.000 --> 00:02:04.000]  新年期間
[00:02:04.000 --> 00:02:06.000]  我們都想大家開心
[00:02:06.000 --> 00:02:07.000]  不過有些時候
[00:02:07.000 --> 00:02:09.000]  我們欣賞我們面子的緣故
[00:02:09.000 --> 00:02:11.000]  我們不開心都要假裝開心
[00:02:11.000 --> 00:02:14.000]  因為新年是應該要快樂的
[00:02:14.000 --> 00:02:19.000]  所以如果我和我太太吵架的話
[00:02:19.000 --> 00:02:20.000]  她去拜年
[00:02:20.000 --> 00:02:22.000]  我告訴別人我家裡病了
[00:02:22.000 --> 00:02:25.000]  因為我不可以讓別人看到我不快樂的樣子
[00:02:25.000 --> 00:02:27.000]  如果我家裡有什麼醜事的話
[00:02:27.000 --> 00:02:29.000]  我去旅行 我去避年
[00:02:29.000 --> 00:02:31.000]  因為我不想見到別人
[00:02:31.000 --> 00:02:33.000]  我不想有群眾壓力
[00:02:33.000 --> 00:02:35.000]  見到我親友的情況下
[00:02:35.000 --> 00:02:38.000]  我擺出一個我不快樂的樣子
[00:02:38.000 --> 00:02:41.000]  因為新年是應該要快樂的
[00:02:41.000 --> 00:02:44.000]  甚至我們在信主的群體都是
[00:02:44.000 --> 00:02:45.000]  我們作為基督徒
[00:02:45.000 --> 00:02:47.000]  我們都很在乎別人怎樣看我們
[00:02:47.000 --> 00:02:48.000]  以致到新年
