
[00:00:00.000 --> 00:00:07.000]  一年很快要過去了
[00:00:07.000 --> 00:00:13.000]  今年我們主日的訊息
[00:00:13.000 --> 00:00:15.000]  我們是以歌羅西書
[00:00:15.000 --> 00:00:18.000]  你看 歌羅西書幾章
[00:00:18.000 --> 00:00:24.000]  四章 講了一年
[00:00:24.000 --> 00:00:27.000]  所以可能再兩三次
[00:00:27.000 --> 00:00:30.000]  我們就要把歌羅西書結束了
[00:00:30.000 --> 00:00:32.000]  今天剛好我們要講到的
[00:00:32.000 --> 00:00:34.000]  跟今天這個幸福小組主題有關係
[00:00:34.000 --> 00:00:39.000]  他說要如何用智慧與外人
[00:00:39.000 --> 00:00:44.000]  怎麼樣 教我
[00:00:44.000 --> 00:00:46.000]  這個《合合本聖經》
[00:00:46.000 --> 00:00:48.000]  需要稍微把它解釋一下
[00:00:48.000 --> 00:00:50.000]  什麼叫外人啊
[00:00:50.000 --> 00:00:52.000]  還有內人外人啊
[00:00:52.000 --> 00:00:54.000]  我們講內人是什麼
[00:00:54.000 --> 00:00:56.000]  內人就是內人
[00:00:56.000 --> 00:00:59.000]  我們講中國人講內人是什麼
[00:00:59.000 --> 00:01:01.000]  但《聖經》裡面這邊講到說
[00:01:01.000 --> 00:01:02.000]  內人 外人
[00:01:02.000 --> 00:01:03.000]  它是講外人是什麼呢
[00:01:03.000 --> 00:01:07.000]  這個外人就是指的教外的人
[00:01:07.000 --> 00:01:11.000]  就是指的還沒有信主的人
[00:01:11.000 --> 00:01:13.000]  所以保羅在這裡告訴我們說
[00:01:13.000 --> 00:01:16.000]  要用智慧跟外人交往
[00:01:16.000 --> 00:01:17.000]  意思就是說
[00:01:17.000 --> 00:01:20.000]  我們要跟非基督徒
[00:01:20.000 --> 00:01:22.000]  跟還沒有信主的人
[00:01:22.000 --> 00:01:28.000]  我們跟他們怎麼樣子交往
[00:01:28.000 --> 00:01:29.000]  今天這段《聖經》裡面
[00:01:29.000 --> 00:01:32.000]  其實你看上下文
[00:01:32.000 --> 00:01:33.000]  保羅在前面提到說
[00:01:33.000 --> 00:01:36.000]  你們要行刑感恩 對不對
[00:01:36.000 --> 00:01:38.000]  然後接著說你們要禱告
[00:01:38.000 --> 00:01:39.000]  然後說什麼禱告呢
[00:01:39.000 --> 00:01:41.000]  要為我禱告
[00:01:41.000 --> 00:01:42.000]  為傳道人禱告
[00:01:42.000 --> 00:01:48.000]  使我能夠講明福音的奧秘
[00:01:48.000 --> 00:01:49.000]  所以保羅講完說
[00:01:49.000 --> 00:01:51.000]  你們要為我禱告
[00:01:51.000 --> 00:01:52.000]  讓我講到的時候
[00:01:52.000 --> 00:01:54.000]  能夠講明神的福音 對不對
[00:01:54.000 --> 00:01:56.000]  接著就說 所以你們呢
[00:01:56.000 --> 00:01:58.000]  好了 接著是該我們的
[00:01:58.000 --> 00:02:00.000]  所以他就接下來勉勵信徒們說
[00:02:00.000 --> 00:02:02.000]  你們要愛惜光陰
[00:02:02.000 --> 00:02:13.000]  用智慧與外人交往
[00:02:13.000 --> 00:02:15.000]  那麼這個剛才已經解釋了
[00:02:15.000 --> 00:02:17.000]  這個什麼叫外人 對不對
