
[00:00:00.000 --> 00:00:06.500]  「讓我們在趕路之先, 我想再一次向心低頭祈禱, 讓我們的心靈也交給天父」
[00:00:06.500 --> 00:00:17.500]  「聰華天父, 我們感謝你, 因為是你的恩典, 讓我們能夠站在你的面前, 去敬拜你, 亦都去聆聽你的話語」
[00:00:17.500 --> 00:00:24.500]  「我們求天父你的靈, 打開我們心靈的眼睛, 幫助我們軟化我們的心」
[00:00:24.500 --> 00:00:30.000]  「讓我們真的被主你的話語, 你自己的靈, 去向我們說話, 去提醒我們」
[00:00:30.000 --> 00:00:37.500]  「又讓我們剛硬的心被主你的軟化, 以致我們能夠緊緊地跟隨你, 深深地去愛你」
[00:00:37.500 --> 00:00:44.000]  「我們將我們以下, 沿著我們話語的時間, 交給天父, 求你在我們當中, 成就你今日要成就的心意」
[00:00:44.000 --> 00:00:47.000]  「祈禱感恩, 奉主耶穌基督的名求, 阿們」
[00:00:50.500 --> 00:00:59.000]  《尼希米記》我們已經看了很多, 過去兩個月, 由第1章到第7章都是講建築城牆
[00:00:59.000 --> 00:01:08.500]  在建築城牆的過程中, 你會發覺有很多的挑戰, 亦有很多的故事在當中
[00:01:08.500 --> 00:01:15.500]  我們亦都看得見, 其實在《尼希米記》整卷書, 其實設計真的非常精彩
[00:01:15.500 --> 00:01:23.000]  因為頭七章, 由尼希米出場, 一直帶領著以色列人去建城牆
[00:01:23.000 --> 00:01:28.000]  在第八章開始, 輪到以斯拉出場
[00:01:28.000 --> 00:01:37.000]  以斯拉去張臣的話語揭開, 剛才貝尼斯姆已經讀了第八章那一段經文
[00:01:37.000 --> 00:01:47.000]  但我想大家留意, 在過去七章中, 你見到以色列人在建築城牆這件事上
[00:01:47.000 --> 00:01:54.500]  你應該都看得見他們是全人投入, 是毀身去侍奉, 是作犧牲的奉獻
[00:01:54.500 --> 00:02:04.000]  為甚麼犧牲? 因為所有的東西, 廣東話我們逐些說, 拿出來, 就建那些城牆
[00:02:04.000 --> 00:02:10.000]  但同一時間, 你也見到他們的生命是怎樣
[00:02:10.000 --> 00:02:18.500]  你見到這班以色列人慢慢, 你見到他們是寧命成熟的, 是願意捨己的, 是生命以臣為中心的
[00:02:18.500 --> 00:02:22.000]  特別在第八章你會見到, 是一呼百應的
[00:02:22.000 --> 00:02:27.000]  但我想問大家一個問題, 很想大家想一想
[00:02:27.000 --> 00:02:35.500]  如果以色列人在第一章出牆的話, 你猜會有甚麼景象呢?
[00:02:35.500 --> 00:02:41.000]  可能大家會覺得, 未去到那個位置, 很大壓力的
[00:02:41.000 --> 00:02:45.000]  很多時我都思想一下, 我自己特別在退休裏面都想一想
[00:02:45.000 --> 00:02:54.000]  究竟侍奉神一生的日子, 前半生是做生意, 以義工義務的身份去為神工作
[00:02:54.000 --> 00:02:58.000]  下半生就是全時間奉獻服侍
[00:02:58.000 --> 00:03:01.000]  究竟我怎樣去回應神呢?
[00:03:01.000 --> 00:03:09.000]  我自小都經常聽到很多教會裏面的長輩, 說他們怎樣去服侍
[00:03:09.000 --> 00:03:14.000]  也被他們提醒, 我最深印象就是剛出來工作的時候
[00:03:14.000 --> 00:03:18.000]  我們在教會見證, 其中一位的會助姓馮
[00:03:18.000 --> 00:03:21.000]  如果你去見證, 你會認識他
[00:03:21.000 --> 00:03:25.000]  他就在團契裏面說怎樣去奉獻
[00:03:25.000 --> 00:03:30.000]  他就說, 你十一奉獻, 如果未成功, 你就先由零點一
[00:03:30.000 --> 00:03:35.000]  然後慢慢由一個百分比, 慢慢由十個百分比, 一直去到那裏
[00:03:35.000 --> 00:03:40.000]  很老實, 他說的那一次, 我覺得, 喂, 你是甚麼?
[00:03:40.000 --> 00:03:45.000]  就好像教會一定要十一奉獻, 那種壓力, 壓迫感
