
[00:00:00.000 --> 00:00:03.300]  今日講呢個題目大家都聽過好多
[00:00:03.300 --> 00:00:06.300]  耶穌基督的聲稱 我是道路真理生命
[00:00:06.300 --> 00:00:08.800]  我地一齊有個禱告
[00:00:08.800 --> 00:00:10.800]  天父求你幫助我地
[00:00:10.800 --> 00:00:12.800]  俾我地明白你自己的話語
[00:00:12.800 --> 00:00:14.800]  又活用你自己的話語
[00:00:14.800 --> 00:00:16.800]  係我地嘅生命裏面
[00:00:16.800 --> 00:00:18.800]  今日嘅經文係主耶穌好重要嘅聲稱
[00:00:18.800 --> 00:00:20.800]  求主你幫助我地
[00:00:20.800 --> 00:00:22.800]  令我地生命得到改變
[00:00:22.800 --> 00:00:25.800]  我地咁樣祈禱奉主耶穌基督嘅名
[00:00:25.800 --> 00:00:27.800]  阿門
[00:00:27.800 --> 00:00:30.800]  我相信大家都睇到報章
[00:00:30.800 --> 00:00:34.800]  報導斯里蘭卡恐襲嘅悲劇
[00:00:34.800 --> 00:00:37.800]  我諗下全球都係震驚
[00:00:37.800 --> 00:00:39.800]  據報導
[00:00:39.800 --> 00:00:41.800]  大概開頭公佈嘅數字
[00:00:41.800 --> 00:00:43.800]  話係三百幾人
[00:00:43.800 --> 00:00:46.800]  後來佢地話可能都計唔到
[00:00:46.800 --> 00:00:48.800]  保守都係二百
[00:00:48.800 --> 00:00:50.800]  二百五十 二百六十左右
[00:00:50.800 --> 00:00:52.800]  但係我地睇到呢個好傷痛
[00:00:52.800 --> 00:00:54.800]  喺當中我地會發現
[00:00:54.800 --> 00:00:57.800]  後來ISIS就認咗
[00:00:57.800 --> 00:00:59.800]  自己嘅工作
[00:00:59.800 --> 00:01:01.800]  呢個恐襲
[00:01:01.800 --> 00:01:03.800]  我地留意
[00:01:03.800 --> 00:01:05.800]  佢地所集中嘅目標
[00:01:05.800 --> 00:01:07.800]  係一啲嘅基督徒
[00:01:07.800 --> 00:01:09.800]  我地會睇到有好多嘅教堂
[00:01:09.800 --> 00:01:11.800]  或者酒店
[00:01:11.800 --> 00:01:13.800]  係有呢個恐襲嘅事件
[00:01:13.800 --> 00:01:15.800]  其中一間嘅教會
[00:01:15.800 --> 00:01:17.800]  叫做石安福音教會
[00:01:17.800 --> 00:01:20.800]  呢間教會聚會嘅人數
[00:01:20.800 --> 00:01:22.800]  大概一般係五十幾人
[00:01:22.800 --> 00:01:24.800]  喺當日嘅早上
[00:01:24.800 --> 00:01:26.800]  有一位叫做Ramesh
[00:01:26.800 --> 00:01:28.800]  只係返嚟參加崇拜
[00:01:28.800 --> 00:01:30.800]  佢就見到一個人好可疑
[00:01:30.800 --> 00:01:32.800]  於是乎佢就覺得
[00:01:32.800 --> 00:01:35.800]  唔係喇 不如邀請佢離開呢個教會
[00:01:35.800 --> 00:01:37.800]  當佢邀請嘅時候
[00:01:37.800 --> 00:01:38.800]  好有禮貌
[00:01:38.800 --> 00:01:41.800]  呢位嘅人物就離開咗
[00:01:41.800 --> 00:01:44.800]  步出禮堂嘅外邊
[00:01:44.800 --> 00:01:48.800]  其實呢個就係恐襲嘅人物
[00:01:48.800 --> 00:01:51.800]  佢就喺嗰個情況之下就引爆
[00:01:51.800 --> 00:01:53.800]  於是乎都係有啲嘅死傷
[00:01:53.800 --> 00:01:56.800]  而呢個Ramesh當然係其中之一
[00:01:56.800 --> 00:02:00.800]  我會睇到呢啲問題點解會咁樣
[00:02:00.800 --> 00:02:04.800]  我哋會發覺呢個教會其實都好多災難
[00:02:04.800 --> 00:02:06.800]  因為呢個教會好強調
[00:02:06.800 --> 00:02:09.800]  佢有一啲異教徒去傳福音
[00:02:09.800 --> 00:02:11.800]  特別係印度教徒
[00:02:11.800 --> 00:02:13.800]  好多印度教徒係因為
[00:02:13.800 --> 00:02:15.800]  歸順咗主耶穌基督
[00:02:15.800 --> 00:02:17.800]  以至於佢哋要同家人去隔離
[00:02:17.800 --> 00:02:19.800]  被家人嘅拒絕
[00:02:19.800 --> 00:02:23.800]  所以呢啲匯眾本來已經係好悲傷嘅匯眾
[00:02:23.800 --> 00:02:24.800]  唔少嘅
[00:02:24.800 --> 00:02:25.800]  再加上呢個恐襲
[00:02:25.800 --> 00:02:28.800]  其實係一個我哋好難去理解
[00:02:28.800 --> 00:02:31.800]  係令人好悲哀嘅一件事情
[00:02:31.800 --> 00:02:36.800]  我相信全球都係為咗呢件事傷痛
[00:02:36.800 --> 00:02:38.800]  有時我哋諗吓
[00:02:38.800 --> 00:02:40.800]  即係我哋喺在世裏面
[00:02:40.800 --> 00:02:44.800]  我哋都會諗唔到嘅嘢會發生嘅危難都會發生
[00:02:44.800 --> 00:02:49.800]  其實我哋每個人都係一個黃驊
[00:02:49.800 --> 00:02:52.800]  一個憂慮嘅警方當中
[00:02:52.800 --> 00:02:53.800]  有好多嘅壓力
[00:02:53.800 --> 00:02:56.800]  又或者呢啲壓力嚟自我哋嘅工作
[00:02:56.800 --> 00:02:59.800]  又或者係啲人際嘅關係
[00:02:59.800 --> 00:03:00.800]  人生總有好多張力
[00:03:00.800 --> 00:03:02.800]  你想好唔想好
[00:03:02.800 --> 00:03:04.800]  自然會捲入呢啲既漩渦
[00:03:04.800 --> 00:03:06.800]  你好想做好嘢
[00:03:06.800 --> 00:03:07.800]  做好事
[00:03:07.800 --> 00:03:10.800]  但係每每你嘅角色係使到你
[00:03:10.800 --> 00:03:12.800]  都唔知自己做得啱定錯
[00:03:12.800 --> 00:03:14.800]  好大嘅張力
[00:03:14.800 --> 00:03:17.800]  我哋基督徒點樣去面對呢啲嘅憂愁
[00:03:17.800 --> 00:03:20.800]  或者呢啲嘅困惑呢
[00:03:20.800 --> 00:03:22.800]  或者患難呢
[00:03:22.800 --> 00:03:24.800]  主耶穌就講佢一句說話
[00:03:24.800 --> 00:03:27.800]  佢話在世上你哋有苦難嘅
[00:03:27.800 --> 00:03:29.800]  呢個必然嘅
[00:03:29.800 --> 00:03:33.800]  但係唔係代表我哋就憂憂愁愁過一個嘅生活
[00:03:33.800 --> 00:03:36.800]  成日係一個好憂慮嘅警方當中
[00:03:36.800 --> 00:03:38.800]  因為耶穌基督話
[00:03:38.800 --> 00:03:40.800]  你哋唔好膽怯
[00:03:40.800 --> 00:03:42.800]  因為喺我裏面有平安
[00:03:42.800 --> 00:03:45.800]  我已經將平安畀過你哋
[00:03:45.800 --> 00:03:47.800]  我已經勝過世界
[00:03:47.800 --> 00:03:50.800]  今日呢段經文讓我哋好好學習
[00:03:50.800 --> 00:03:53.800]  耶穌基督講咗一個好重要嘅聲稱
[00:03:53.800 --> 00:03:57.800]  主耶穌喺《約翰福音》講咗七個聲稱
[00:03:57.800 --> 00:04:02.800]  大概大家都會印象第六張我係生命嘅糧
[00:04:02.800 --> 00:04:05.800]  第八張我係世界嘅光
[00:04:05.800 --> 00:04:10.800]  然後就係第十張講係我係好無人我係養個門
[00:04:10.800 --> 00:04:12.800]  跟住我哋會睇到十一張
[00:04:12.800 --> 00:04:15.800]  我係復活生命在我
[00:04:15.800 --> 00:04:17.800]  復活在我生命也在我
[00:04:17.800 --> 00:04:19.800]  嚟到呢一次係第六次
[00:04:19.800 --> 00:04:23.800]  你發覺越嚟越多嘅深入去講到我係邊個
[00:04:23.800 --> 00:04:26.800]  呢度講到我係道路真理生命
[00:04:26.800 --> 00:04:30.800]  我哋基督徒非常熟悉呢句嘅說話
[00:04:30.800 --> 00:04:34.800]  願意我哋今日好好嘅去學習裏面佢嘅意思
[00:04:34.800 --> 00:04:38.800]  或者喺應用喺我哋嘅生命上裏面係非常重要
[00:04:38.800 --> 00:04:41.800]  喺呢段經文之前主耶穌講過一個消息
[00:04:41.800 --> 00:04:45.800]  就話同門徒講你同我一齊嘅時間唔多
[00:04:45.800 --> 00:04:48.800]  我要去嘅地方你哋唔能夠去
