
[00:00:00.000 --> 00:00:02.300]  讓我們開始聆聽主導義先
[00:00:02.300 --> 00:00:04.100]  我們一起再次以禱告
[00:00:04.100 --> 00:00:06.900]  一起將我們身心靈交給主我們神
[00:00:06.900 --> 00:00:08.900]  讓我們一起同心低頭禱告
[00:00:08.900 --> 00:00:11.600]  慈悲的父神 多謝祢
[00:00:11.600 --> 00:00:17.000]  讓我們能夠再次回到祢在祢寶貴的說話上面的學習
[00:00:17.000 --> 00:00:22.300]  讓我們敬拜的心也一直源源不止
[00:00:22.300 --> 00:00:23.700]  求祢的帶領
[00:00:23.700 --> 00:00:26.400]  讓每一個屬於祢的子民
[00:00:26.400 --> 00:00:28.700]  都能夠藉著今天的敬拜
[00:00:28.700 --> 00:00:30.600]  透過祢的說話
[00:00:30.600 --> 00:00:33.700]  能夠一同的再次親近上主祢
[00:00:33.700 --> 00:00:35.900]  明白主祢的心思意念
[00:00:35.900 --> 00:00:39.000]  要讓我們能夠在平日的生活裡
[00:00:39.000 --> 00:00:41.000]  有力量 有根據
[00:00:41.000 --> 00:00:43.000]  一同的敬拜祢
[00:00:43.000 --> 00:00:45.000]  將這段聆聽主導的時間
[00:00:45.000 --> 00:00:47.600]  將它恭敬在主祢的手
[00:00:47.600 --> 00:00:50.000]  讓聖靈能夠帶領我們
[00:00:50.000 --> 00:00:53.100]  去準確拿捏上主祢的心思
[00:00:53.100 --> 00:00:54.900]  我們今天同心的禱告
[00:00:54.900 --> 00:00:57.200]  奉靠主耶穌基督
[00:00:57.200 --> 00:00:58.800]  得聖的名字而求
[00:00:58.800 --> 00:01:00.200]  阿們
[00:01:00.200 --> 00:01:03.000]  好 今天跟大家一起去思想的經文
[00:01:03.000 --> 00:01:06.200]  是《馬太福音》的第27章
[00:01:06.200 --> 00:01:10.700]  第62至第66節的主題是叫做
[00:01:10.700 --> 00:01:12.900]  《偽善的陰謀》
[00:01:12.900 --> 00:01:14.200]  這個題目很特別
[00:01:14.200 --> 00:01:15.400]  很多大兄姐妹說
[00:01:15.400 --> 00:01:18.000]  啊 牧師為什麼會選這個題目呢
[00:01:18.000 --> 00:01:20.200]  我想其中一個主要原因就是
[00:01:20.200 --> 00:01:22.300]  當我看完這段聖經之後
[00:01:22.300 --> 00:01:26.700]  我就發覺在我自己做人這麼多年的裡面
[00:01:26.700 --> 00:01:29.700]  有一個小小的經驗
[00:01:29.700 --> 00:01:31.800]  也都是很多朋友
[00:01:31.800 --> 00:01:34.800]  或者真的關心我的同事
[00:01:34.800 --> 00:01:36.500]  甚至是一些教牧同工
[00:01:36.500 --> 00:01:40.100]  他們有很多的經驗的
[00:01:40.100 --> 00:01:42.500]  他們都分享了一件事
[00:01:42.500 --> 00:01:43.500]  他們就說
[00:01:43.500 --> 00:01:46.400]  單凡是做一份新的工作
