
[00:00:00.000 --> 00:00:02.000]  檸姐妹平安
[00:00:02.000 --> 00:00:07.000]  不知不覺我們踏入了第八屆的猜全聯會
[00:00:07.000 --> 00:00:11.000]  最近我在...
[00:00:11.000 --> 00:00:16.000]  其實是三年前看到的一篇網上的報導
[00:00:16.000 --> 00:00:19.000]  它的標題是這樣的
[00:00:19.000 --> 00:00:21.000]  括著「不孝子女」
[00:00:21.000 --> 00:00:25.000]  送八個子女赴美升學全讀員博士
[00:00:25.000 --> 00:00:30.000]  12歲退休教授吧,避棄老人院,鬱鬱而終
[00:00:30.000 --> 00:00:37.000]  這位爸爸是一位台灣的教授
[00:00:37.000 --> 00:00:42.000]  內文說他很辛苦地供養八個子女
[00:00:42.000 --> 00:00:46.000]  全部到美國讀書,讀到博士
[00:00:46.000 --> 00:00:50.000]  但當他退休後,無法安享晚年
[00:00:50.000 --> 00:00:54.000]  被子女遺棄在老人院,對他不聞不問
[00:00:54.000 --> 00:00:57.000]  最後他鬱鬱而終
[00:00:57.000 --> 00:01:04.000]  身在外國的子女都拒絕回來為父親奔喪
[00:01:04.000 --> 00:01:08.000]  檸姐妹,當你看到這篇報導的時候
[00:01:08.000 --> 00:01:11.000]  不知你心裡有什麼感覺呢?
[00:01:11.000 --> 00:01:16.000]  父母辛苦養育兒女,供書教學
[00:01:16.000 --> 00:01:24.000]  希望我們作為子女都有向父母盡孝的責任
[00:01:24.000 --> 00:01:29.000]  我相信每個人看到這篇報導
[00:01:29.000 --> 00:01:33.000]  內心都有千般滋味在心頭
[00:01:33.000 --> 00:01:36.000]  今天我想帶大家去看另一班人
[00:01:36.000 --> 00:01:39.000]  這個故事發生的時間
[00:01:39.000 --> 00:01:43.000]  就是耶穌往耶路撒冷去的時候
[00:01:43.000 --> 00:01:49.000]  其實這個行動在路加福音已經是第三次出現
[00:01:49.000 --> 00:01:54.000]  第一次的時候說耶穌被接上升的日子快到了
[00:01:54.000 --> 00:01:57.000]  他決意向耶路撒冷去
[00:01:57.000 --> 00:02:00.000]  並且差遣使者走在前頭
[00:02:00.000 --> 00:02:03.000]  他們去了進入撒瑪利亞的一個村莊
[00:02:03.000 --> 00:02:06.000]  要為他預備,那裡的人不接待他
[00:02:06.000 --> 00:02:09.000]  因為他面向著耶路撒冷走
[00:02:09.000 --> 00:02:14.000]  第二次的時候就說耶穌經過各城各鄉往耶路撒冷去
[00:02:14.000 --> 00:02:16.000]  沿途教導人行
[00:02:16.000 --> 00:02:19.000]  當聖經在路加福音這裡說
[00:02:19.000 --> 00:02:22.000]  耶穌向耶路撒冷去的時候
[00:02:22.000 --> 00:02:24.000]  一路前進的時候
[00:02:24.000 --> 00:02:28.000]  是指他要搭上邁向十字架的那條路
[00:02:28.000 --> 00:02:31.000]  他預備要來上十字架
[00:02:31.000 --> 00:02:33.000]  就是說這個時刻
[00:02:33.000 --> 00:02:36.000]  其實就是耶穌受難時刻
[00:02:36.000 --> 00:02:39.000]  很接近很接近的時候
[00:02:39.000 --> 00:02:45.000]  當他經過撒瑪利亞和加利利的邊境的時候
[00:02:45.000 --> 00:02:48.000]  耶穌就在一個村莊裡面
[00:02:48.000 --> 00:02:51.000]  遇見有十個麻風病人
[00:02:51.000 --> 00:02:54.000]  加利利其實是外邦人
[00:02:54.000 --> 00:02:56.000]  住了很多外邦人的一個地方
