
[00:00:00.000 --> 00:00:04.000]  今日講到的不是一個系列
[00:00:04.000 --> 00:00:06.000]  而是一個特別加插進去的
[00:00:06.000 --> 00:00:08.000]  雖然今天是Pom Sunday
[00:00:08.000 --> 00:00:10.000]  通常我們講耶穌、榮進、耶路撒冷
[00:00:10.000 --> 00:00:11.000]  不過呢
[00:00:11.000 --> 00:00:14.000]  在這裏我想加插一個
[00:00:14.000 --> 00:00:16.000]  跟我們大家都應該挺接近的
[00:00:16.000 --> 00:00:18.000]  一個講到的題目
[00:00:18.000 --> 00:00:20.000]  原因是甚麼呢
[00:00:20.000 --> 00:00:22.000]  因為三月底的時候
[00:00:22.000 --> 00:00:25.000]  我們大芝加哥區的華人教會
[00:00:25.000 --> 00:00:27.000]  有一個聯會
[00:00:27.000 --> 00:00:31.000]  聯會發了一個電郵給所有教會
[00:00:31.000 --> 00:00:34.000]  說在大芝加哥區的教會
[00:00:34.000 --> 00:00:38.000]  有一個異端非常活躍
[00:00:38.000 --> 00:00:43.000]  我們都知道最近異端是活躍的
[00:00:43.000 --> 00:00:45.000]  譬如耶和華見證人
[00:00:45.000 --> 00:00:49.000]  特別這個電郵講到一個異端
[00:00:49.000 --> 00:00:51.000]  叫做東方閃電
[00:00:51.000 --> 00:00:53.000]  所以滲入不同的教會
[00:00:53.000 --> 00:00:58.000]  都是很主動、很熱烈地去認識人
[00:00:58.000 --> 00:01:02.000]  去傳講他們的信息等等
[00:01:02.000 --> 00:01:03.000]  所以為甚麼呢
[00:01:03.000 --> 00:01:05.000]  今日想插這個進去
[00:01:05.000 --> 00:01:08.000]  想大家有少少的awareness
[00:01:08.000 --> 00:01:11.000]  和有少少的明白
[00:01:11.000 --> 00:01:12.000]  好嗎
[00:01:12.000 --> 00:01:16.000]  我的經文是取自誓唐傳第二十章的
[00:01:16.000 --> 00:01:20.000]  這裏所謂這個military farewell speech
[00:01:20.000 --> 00:01:24.000]  即是保羅在他第三次宣教旅程回程的時候
[00:01:24.000 --> 00:01:26.000]  快要回耀山的時候
[00:01:26.000 --> 00:01:28.000]  在米利都這個地方
[00:01:28.000 --> 00:01:30.000]  米利都一個海灣、一個碼頭那裏
[00:01:30.000 --> 00:01:33.000]  和爾弗索的長老有一些的交代
[00:01:33.000 --> 00:01:35.000]  有一些的叮嚀
[00:01:35.000 --> 00:01:40.000]  這裏講到教會會遇見甚麼的威脅
[00:01:40.000 --> 00:01:42.000]  很簡單
[00:01:42.000 --> 00:01:44.000]  有三點我想今日帶出
[00:01:44.000 --> 00:01:46.000]  第一個就是真理
[00:01:46.000 --> 00:01:47.000]  福音的真理
[00:01:47.000 --> 00:01:48.000]  聖經的真理
[00:01:48.000 --> 00:01:50.000]  是可以被扭曲的
[00:01:50.000 --> 00:01:51.000]  可以被扭曲的
[00:01:51.000 --> 00:01:52.000]  二端就是這樣的意思
[00:01:52.000 --> 00:01:53.000]  是不是
[00:01:53.000 --> 00:01:57.000]  第二點就是真理是必須要我們去守護
[00:01:57.000 --> 00:01:59.000]  並且我們以生命來活出的
[00:01:59.000 --> 00:02:03.000]  講出這個米利都的道別講話
[00:02:03.000 --> 00:02:05.000]  先給少少的背景
[00:02:05.000 --> 00:02:07.000]  你看地圖就知道這次是
[00:02:07.000 --> 00:02:10.000]  保羅第三次的旅程
[00:02:10.000 --> 00:02:11.000]  第三次宣教的旅程
[00:02:11.000 --> 00:02:13.000]  你看到他們右上角
[00:02:13.000 --> 00:02:15.000]  安提阿開始
[00:02:15.000 --> 00:02:19.000]  在那裏他在綠路去到爾弗索
[00:02:19.000 --> 00:02:20.000]  看到嗎
[00:02:20.000 --> 00:02:22.000]  爾弗索是一個很重要的城市
[00:02:22.000 --> 00:02:25.000]  然後在那裏他一路上去北邊
[00:02:25.000 --> 00:02:27.000]  就去到特羅亞另外一個海灣
[00:02:27.000 --> 00:02:28.000]  另外一個碼頭
[00:02:28.000 --> 00:02:31.000]  在那裏他就過海
[00:02:31.000 --> 00:02:33.000]  就是過海對面
[00:02:33.000 --> 00:02:36.000]  然後就將福音傳到去
[00:02:36.000 --> 00:02:39.000]  菲勒比去探望那裏的教會
[00:02:39.000 --> 00:02:42.000]  然後他就繼續以綠路
[00:02:42.000 --> 00:02:45.000]  以綠路下去下面的哥倫多
[00:02:45.000 --> 00:02:48.000]  就是今天的希臘半島的地方
[00:02:48.000 --> 00:02:50.000]  然後又再上回去
[00:02:50.000 --> 00:02:53.000]  回到特羅亞他又再搭船下去
[00:02:53.000 --> 00:02:56.000]  這次就繞過爾弗索了
[00:02:56.000 --> 00:02:59.000]  因為他趕路要回去耶路撒硬
[00:02:59.000 --> 00:03:01.000]  那為什麼要回去耶路撒硬呢
[00:03:01.000 --> 00:03:03.000]  就是因為他想去報告
[00:03:03.000 --> 00:03:05.000]  外邦人的工作
[00:03:05.000 --> 00:03:06.000]  所有的修成
[00:03:06.000 --> 00:03:08.000]  告訴所謂的總會
[00:03:08.000 --> 00:03:10.000]  那個母會
[00:03:10.000 --> 00:03:12.000]  並且保羅周遊列國
[00:03:12.000 --> 00:03:14.000]  周圍去不同的地方
[00:03:14.000 --> 00:03:16.000]  在特別外邦人多的教會裏面
[00:03:16.000 --> 00:03:18.000]  就可以籌款
[00:03:18.000 --> 00:03:20.000]  去支持母會裏面的大英節目
[00:03:20.000 --> 00:03:22.000]  因為當時有一些天災等等
[00:03:22.000 --> 00:03:24.000]  所以耶路撒硬教會
[00:03:24.000 --> 00:03:28.000]  很需要資金上面的支持
[00:03:28.000 --> 00:03:31.000]  所以保羅就帶著這些奉獻
[00:03:31.000 --> 00:03:34.000]  他趕路要去到耶路撒硬
[00:03:34.000 --> 00:03:37.000]  所以他就繞過了爾弗索
[00:03:37.000 --> 00:03:41.000]  然後他就在米利都那裏做了什麼呢
[00:03:41.000 --> 00:03:45.000]  他就去到叫爾弗索的長老來到
