
[00:00:00.000 --> 00:00:02.920]  好,丁姊妹,平安!
[00:00:02.920 --> 00:00:07.560]  讓我們一起先有祈禱領受神的說話
[00:00:07.560 --> 00:00:09.560]  海參下主,我們去到您的面前
[00:00:09.560 --> 00:00:12.360]  我們再一次在您面前去禱告
[00:00:12.360 --> 00:00:15.920]  求主,您的靈,您親自在我們中間
[00:00:15.920 --> 00:00:19.000]  我們邀請聖靈在我們中間去坐植
[00:00:19.000 --> 00:00:21.960]  並且在我們的心裡去引導我們
[00:00:21.960 --> 00:00:23.880]  今天我們要聽的
[00:00:23.880 --> 00:00:26.040]  神啊,您對我們說的說話
[00:00:26.040 --> 00:00:28.640]  讓我們能夠聽得準,聽得明白
[00:00:28.640 --> 00:00:33.520]  並且成為我們生命之中很寶貴的提醒
[00:00:33.520 --> 00:00:37.320]  主啊,無論今天是說的或是聽的
[00:00:37.320 --> 00:00:39.840]  我們的心思意念都夢裡越納
[00:00:39.840 --> 00:00:43.960]  願聖靈引導我們各人在您裡面得著祢的慈福
[00:00:43.960 --> 00:00:45.480]  多謝主,讚美你
[00:00:45.480 --> 00:00:48.880]  奉主耶穌基督得聖名字祈求,阿們
[00:00:48.880 --> 00:00:52.840]  好,丁姊妹,想看一看今天的講題
[00:00:52.840 --> 00:00:55.800]  叫做「從死看生」
[00:00:55.800 --> 00:00:57.280]  剛才讀了經文
[00:00:57.280 --> 00:01:00.800]  稍後我們會看怎樣「從死看生」
[00:01:00.800 --> 00:01:07.720]  最近我們坊間都有很多人趕著時間
[00:01:07.720 --> 00:01:09.400]  看看趕著什麼時間
[00:01:09.400 --> 00:01:13.840]  趕著要清垃圾,你們有沒有清垃圾?
[00:01:13.840 --> 00:01:17.600]  有啊,有些人說要收費了
[00:01:17.600 --> 00:01:18.960]  家裡要換傢俬了
[00:01:18.960 --> 00:01:21.520]  快點換,有沒有人是這樣?
[00:01:21.520 --> 00:01:24.800]  我有同工是這樣,他說要換梳化
[00:01:24.800 --> 00:01:28.880]  然後將我覺得挺好的梳化送給別人
[00:01:28.880 --> 00:01:30.560]  就有新的梳化了
[00:01:30.560 --> 00:01:33.000]  有時間的,是不是?
[00:01:33.000 --> 00:01:36.320]  同工七樓之前有說過
[00:01:36.320 --> 00:01:42.960]  快點收拾,我們有很多不用的東西放在這裡
[00:01:42.960 --> 00:01:44.760]  都要清理,是不是?
[00:01:44.760 --> 00:01:47.160]  趕時間
