
[00:00:00.000 --> 00:00:04.280]  獵王記合一王朝系列的第七講
[00:00:04.280 --> 00:00:08.560]  我今天要講獵王記上的第八章
[00:00:08.560 --> 00:00:10.920]  一共有66節的經文
[00:00:10.920 --> 00:00:13.480]  所以我沒可能能夠講完
[00:00:13.480 --> 00:00:16.200]  能夠講多少我今天就講多少
[00:00:16.200 --> 00:00:21.040]  下一次會繼續完成獵王記上的第八章
[00:00:21.040 --> 00:00:22.760]  今天的題目叫做
[00:00:22.760 --> 00:00:30.520]  耶和華的榮耀充滿聖殿 神同在的高峰 人心馴服的考驗
[00:00:30.520 --> 00:00:32.600]  為何有這樣的題目?
[00:00:32.600 --> 00:00:36.520]  因為今天要講所羅門奉獻聖殿
[00:00:36.520 --> 00:00:40.080]  耶和華的榮光臨到聖殿
[00:00:40.080 --> 00:00:43.000]  耶和華與以色列人同在
[00:00:43.000 --> 00:00:46.400]  但很可惜 因為以色列人沒有馴服
[00:00:46.400 --> 00:00:52.200]  最後聖殿被毀 耶路撒冷被毀 人民被擄去
[00:00:52.200 --> 00:00:56.400]  所以雖然我們的神願意與我們同在
[00:00:56.400 --> 00:00:59.160]  但很多時候我們都需要馴服
[00:00:59.160 --> 00:01:04.040]  今天結束的時候 我們會回來看這一點
[00:01:04.040 --> 00:01:07.520]  其實所羅門奉獻聖殿
[00:01:07.520 --> 00:01:10.080]  在聖殿禱告祈求
[00:01:10.080 --> 00:01:14.800]  是在獵王記當中非常重要的經文
[00:01:14.800 --> 00:01:16.480]  而我時時都說
[00:01:16.480 --> 00:01:20.600]  獵王記的作者有很多神學的思想
[00:01:20.600 --> 00:01:24.760]  在第六章 當所羅門起聖殿的時候
[00:01:24.760 --> 00:01:29.760]  作者就將起聖殿的事和出埃及記連在一起
[00:01:29.760 --> 00:01:32.640]  讓我們看到不單止知道
[00:01:32.640 --> 00:01:35.480]  究竟以色列人是何時出埃及
[00:01:35.480 --> 00:01:39.600]  亦都是透過埃及讓我們看到以色列人的罪
[00:01:39.600 --> 00:01:42.640]  埃及就是代表罪的捆綁
[00:01:42.640 --> 00:01:45.400]  神說你們不要回去這條路
[00:01:45.400 --> 00:01:49.960]  但很可惜 以色列的君王就不斷走回這條路
[00:01:49.960 --> 00:01:52.840]  和埃及納約、起文約
[00:01:52.840 --> 00:01:55.280]  向埃及招兵買馬
[00:01:55.280 --> 00:01:56.840]  所以最後是怎樣?
[00:01:56.840 --> 00:01:58.880]  就好像回到埃及
[00:01:58.880 --> 00:02:03.600]  人民被擄再一次在這裡捆綁的當中
[00:02:03.600 --> 00:02:06.520]  就好像回到埃及一樣
[00:02:06.520 --> 00:02:10.000]  現在所羅門奉獻聖殿
[00:02:10.000 --> 00:02:15.040]  作者又將這件事和大衛之約連在一起
[00:02:15.040 --> 00:02:18.720]  讓我們看到雖然神應許大衛之約
[00:02:18.720 --> 00:02:20.960]  這個王朝是會永遠的
[00:02:20.960 --> 00:02:25.840]  但就因為以色列人的反叛
[00:02:25.840 --> 00:02:28.880]  最後都是聖殿被毀
[00:02:28.880 --> 00:02:32.440]  作者描述所羅門的一生
[00:02:32.440 --> 00:02:35.600]  有很多的伏筆我們已經說了
[00:02:35.600 --> 00:02:40.080]  今次作者描述獻聖殿的事
[00:02:40.080 --> 00:02:42.320]  亦都有很多的伏筆
[00:02:42.320 --> 00:02:47.520]  其實獵王記作者的文筆非常精彩
[00:02:47.520 --> 00:02:52.280]  在第八章就有一個非常精彩的首尾結構
[00:02:52.280 --> 00:02:57.960]  我沒有時間一點一點地跟大家分析首尾結構
[00:02:57.960 --> 00:03:00.400]  但最重要的部分
[00:03:00.400 --> 00:03:03.840]  就是在首尾結構的最中心
[00:03:03.840 --> 00:03:09.320]  一共所羅門在聖殿裡祈求耶和華七件事
[00:03:09.320 --> 00:03:11.560]  有六件是具體的
[00:03:11.560 --> 00:03:17.560]  三件在前面是獵王記上的八章31至36節
[00:03:17.560 --> 00:03:23.840]  三件在後面是獵王記上的八章41至51節
[00:03:23.840 --> 00:03:27.080]  這六件事都是具體的要求
[00:03:27.080 --> 00:03:29.880]  求神赦免以色列人的罪
[00:03:29.880 --> 00:03:32.360]  但經文最中心的地方
[00:03:32.360 --> 00:03:37.560]  就是說當以色列人不服從神降災難
[00:03:37.560 --> 00:03:40.040]  這些災難都是一般的災難
[00:03:40.040 --> 00:03:42.560]  不是那麼具體的 是一般的
[00:03:42.560 --> 00:03:47.840]  這些經文就在獵王記上的八章37至40節
[00:03:47.840 --> 00:03:52.520]  所以由以所羅門向神祈求的七件事
[00:03:52.520 --> 00:03:56.600]  成為第八章最中心的經文
[00:03:56.600 --> 00:03:59.960]  我會把這個PowerPoint留在網上
[00:03:59.960 --> 00:04:04.000]  如果大家有興趣的話可以下載來看
[00:04:04.000 --> 00:04:07.040]  今天的大綱非常簡單
[00:04:07.040 --> 00:04:08.960]  一共是三件事
[00:04:08.960 --> 00:04:13.320]  第一件事是講到聖殿是神榮耀的殿
[00:04:13.320 --> 00:04:16.640]  在獵王記上的八章1至11節
[00:04:16.640 --> 00:04:20.480]  第二件事是聖殿是神同在的殿
[00:04:20.480 --> 00:04:24.000]  獵王記上的八章12至21節
[00:04:24.000 --> 00:04:28.160]  第三件事是聖殿是向神祈求的殿
[00:04:28.160 --> 00:04:33.280]  就是在獵王記上的八章22至53節
[00:04:33.280 --> 00:04:34.800]  我以前也講過
[00:04:34.800 --> 00:04:38.960]  我講很多系列都是希望和大家一起讀經
[00:04:38.960 --> 00:04:40.880]  所以當你聽這篇道的時候
[00:04:40.880 --> 00:04:43.840]  你就要讀獵王記上的第八章
[00:04:43.840 --> 00:04:45.040]  但不要忘記
[00:04:45.040 --> 00:04:49.440]  今天的經文也在歷代之下的五章至六章
[00:04:49.440 --> 00:04:51.040]  甚至第七章
[00:04:51.040 --> 00:04:54.960]  所以也應該讀這些經文
[00:04:54.960 --> 00:04:56.880]  我首先講第一點
[00:04:56.880 --> 00:05:00.320]  就是這個聖殿是神榮耀的殿
[00:05:00.320 --> 00:05:02.960]  所羅門在耶路撒冷
[00:05:02.960 --> 00:05:06.720]  他招聚了所有十二支派的領袖
[00:05:06.720 --> 00:05:11.280]  和以色列人從北面到南面的居民
[00:05:11.280 --> 00:05:14.480]  來和他一起奉獻聖殿
[00:05:14.480 --> 00:05:19.040]  所以聖殿這個字在經文裏非常重要
[00:05:19.040 --> 00:05:23.360]  在今天的經文獵王記上第八章出現26次
[00:05:23.360 --> 00:05:28.640]  但在歷代之下的第五至第七章
