
[00:00:00.000 --> 00:00:02.000]  平安
[00:00:02.000 --> 00:00:05.000]  很想和大家分享這段聖經
[00:00:05.000 --> 00:00:06.000]  剛才可能聽了一次
[00:00:06.000 --> 00:00:08.000]  讓我們再一次讀這段聖經
[00:00:08.000 --> 00:00:11.000]  盧國福音第十三章
[00:00:11.000 --> 00:00:13.000]  三十一到三十五節
[00:00:13.000 --> 00:00:15.000]  如果大家手上有聖經
[00:00:15.000 --> 00:00:16.000]  都可以打開手上的聖經
[00:00:16.000 --> 00:00:19.000]  以此我們可以看得再深入一點
[00:00:19.000 --> 00:00:21.000]  讓我們一起慢慢讀一次這段聖經
[00:00:21.000 --> 00:00:22.000]  預備起
[00:00:22.000 --> 00:00:24.000]  就在那時
[00:00:24.000 --> 00:00:27.000]  有幾個法利塞人來對耶穌說
[00:00:27.000 --> 00:00:29.000]  離開這裡到別處去吧
[00:00:29.000 --> 00:00:32.000]  因為希律想要殺你
[00:00:32.000 --> 00:00:33.000]  耶穌對他們說
[00:00:33.000 --> 00:00:36.000]  你們去告訴那個狐狸
[00:00:36.000 --> 00:00:37.000]  你看吧
[00:00:37.000 --> 00:00:39.000]  今天明天我趕鬼治病
[00:00:39.000 --> 00:00:42.000]  第三天我的事就成了
[00:00:42.000 --> 00:00:43.000]  雖然這樣
[00:00:43.000 --> 00:00:46.000]  今天明天後天我必須向前走
[00:00:46.000 --> 00:00:51.000]  因為先知是不可能在耶路撒冷之外被害的
[00:00:51.000 --> 00:00:52.000]  耶路撒冷啊
[00:00:52.000 --> 00:00:53.000]  耶路撒冷啊
[00:00:53.000 --> 00:00:55.000]  你剛殺害先知
[00:00:55.000 --> 00:00:59.000]  又用石頭打死那奉差遣到你這裏來的人
[00:00:59.000 --> 00:01:02.000]  我多少次想聚集你們的兒女
[00:01:02.000 --> 00:01:06.000]  好像母雞把小雞聚集在翅膀底下
[00:01:06.000 --> 00:01:08.000]  可是你們不願意
[00:01:08.000 --> 00:01:09.000]  看吧
[00:01:09.000 --> 00:01:11.000]  你們的家要被廢棄
[00:01:11.000 --> 00:01:12.000]  我告訴你們
[00:01:12.000 --> 00:01:14.000]  你們絕不會再見到我
[00:01:14.000 --> 00:01:17.000]  直到你們奉主命來的
[00:01:17.000 --> 00:01:19.000]  是應當稱頌的
[00:01:19.000 --> 00:01:22.000]  大家知不知道這段聖經你們熟不熟
[00:01:22.000 --> 00:01:24.000]  之前有沒有看過
[00:01:24.000 --> 00:01:27.000]  聖經裏面一開始第一句的描述是
[00:01:27.000 --> 00:01:29.000]  就在那時
[00:01:29.000 --> 00:01:32.000]  就在那時是甚麼時間呢
[00:01:32.000 --> 00:01:35.000]  可能你馬上看看聖經前面說甚麼
[00:01:35.000 --> 00:01:37.000]  耶穌在說天國是怎樣的
[00:01:37.000 --> 00:01:39.000]  好像芥菜種那樣
[00:01:39.000 --> 00:01:40.000]  好像面教那樣
[00:01:40.000 --> 00:01:43.000]  人要進閘門走閘路等等
[00:01:43.000 --> 00:01:44.000]  關於天國
[00:01:44.000 --> 00:01:47.000]  人怎樣可以領受上帝國的事情
[00:01:47.000 --> 00:01:50.000]  就在那時
[00:01:50.000 --> 00:01:55.000]  就在那時是代表當時一個甚麼狀態呢
[00:01:55.000 --> 00:01:56.000]  或者這樣問
[00:01:56.000 --> 00:01:58.000]  如果問你今天
[00:01:58.000 --> 00:01:59.000]  在這個時候
[00:01:59.000 --> 00:02:02.000]  就在這個時候
[00:02:02.000 --> 00:02:04.000]  丁子妹你覺得這個時候是甚麼時候
[00:02:04.000 --> 00:02:07.000]  是一個不錯的時候
[00:02:07.000 --> 00:02:09.000]  是一個一般般的時候
[00:02:09.000 --> 00:02:11.000]  這是一個甚麼的世界
[00:02:11.000 --> 00:02:12.000]  甚麼的社會
[00:02:12.000 --> 00:02:13.000]  甚麼的生活
[00:02:13.000 --> 00:02:14.000]  甚麼的狀況
[00:02:14.000 --> 00:02:16.000]  當你打開報紙
[00:02:16.000 --> 00:02:17.000]  開你的手機
[00:02:17.000 --> 00:02:18.000]  不同的apps
[00:02:18.000 --> 00:02:20.000]  你見到是甚麼的事情
[00:02:20.000 --> 00:02:22.000]  這幾天可能你看很多新聞
