
[00:00:00.000 --> 00:00:05.000]  在網上和我們一起敬拜的大兄姊妹大家好
[00:00:05.000 --> 00:00:10.000]  我相信大家最近在新聞裏面都有留意
[00:00:10.000 --> 00:00:15.600]  今年原本七月份奧運會是在東京舉行
[00:00:15.600 --> 00:00:21.600]  不過因為這個新冠狀病毒的疫情非常之嚴峻
[00:00:21.600 --> 00:00:28.400]  所以就要延遲一年才可以舉行得到
[00:00:28.400 --> 00:00:35.400]  其實這個消息對於運動員來說的確是一個頗大的打擊
[00:00:35.400 --> 00:00:40.600]  因為他們辛辛苦苦訓練了一段長時間
[00:00:40.600 --> 00:00:44.200]  誰知還要再等一年
[00:00:44.200 --> 00:00:49.400]  其實在1968年墨西哥的奧運會當中
[00:00:49.400 --> 00:00:54.000]  亦都有一位非常之努力的運動員
[00:00:54.000 --> 00:00:57.800]  他是來自非洲的坦桑尼亞
[00:00:57.800 --> 00:01:01.400]  他是玩馬拉松長跑的
[00:01:01.400 --> 00:01:05.400]  他的名字叫做阿克瓦里
[00:01:05.400 --> 00:01:13.800]  他用了三個多小時才跑得完那場馬拉松
[00:01:13.800 --> 00:01:17.600]  不過他留下了一句說話
[00:01:17.600 --> 00:01:24.600]  到今天仍然是非常之多人傳頌的
[00:01:24.600 --> 00:01:29.400]  1968年的非洲究竟是怎樣的呢?
[00:01:29.400 --> 00:01:33.000]  我相信大家都想像得到
[00:01:33.000 --> 00:01:37.400]  由於國家在經濟上仍然未脫貧
[00:01:37.400 --> 00:01:41.800]  所以對於很多運動員來說
[00:01:41.800 --> 00:01:46.200]  都是一個很艱難的時間
[00:01:46.200 --> 00:01:51.600]  只是能夠接受一些很基本的訓練
[00:01:51.600 --> 00:01:57.800]  阿克瓦里老遠由非洲飛到墨西哥比賽
[00:01:57.800 --> 00:02:00.400]  他第一個要克服的困難
[00:02:00.400 --> 00:02:04.400]  因為墨西哥是在高原的地方
[00:02:04.400 --> 00:02:08.000]  所以空氣非常之稀薄
[00:02:08.000 --> 00:02:12.000]  他只不過是跑了一段很短的時間
[00:02:12.000 --> 00:02:15.000]  就開始抽筋了
[00:02:15.000 --> 00:02:17.600]  去到第19公里
[00:02:17.600 --> 00:02:24.800]  更加因為一個意外與另一個選手相撞
[00:02:24.800 --> 00:02:29.000]  結果不單止是掉在地上時
[00:02:29.000 --> 00:02:33.400]  割傷了他的肩膀和右腳
[00:02:33.400 --> 00:02:37.800]  右邊的膝蓋還要脫臼
[00:02:37.800 --> 00:02:43.200]  當時的醫療人員就勸他不如退縮吧
[00:02:43.200 --> 00:02:46.000]  但是阿克瓦里不肯
[00:02:46.000 --> 00:02:49.000]  他一直不停地跑
[00:02:49.000 --> 00:02:52.600]  由天亮跑到天黑
[00:02:52.600 --> 00:02:54.600]  在那場賽事裏面
[00:02:54.600 --> 00:02:58.600]  有另外一個埃塞俄比亞的跑手
[00:02:58.600 --> 00:03:03.000]  用了2小時20分26秒
[00:03:03.000 --> 00:03:07.200]  就完成了賽事獲得冠軍
[00:03:07.200 --> 00:03:10.000]  當頒獎禮已經完結了
[00:03:10.000 --> 00:03:13.800]  觀眾都差不多要離開的時候
[00:03:13.800 --> 00:03:17.800]  突然間工作人員大聲喊
[00:03:17.800 --> 00:03:23.000]  「等等,等等,還有一個跑手正在回來」
[00:03:23.000 --> 00:03:28.000]  於是觀眾就馬上回到看台
[00:03:28.000 --> 00:03:31.600]  電視台的攝影師也準備好
[00:03:31.600 --> 00:03:38.400]  要捕捉這個運動員回來那一刻的鏡頭
[00:03:38.400 --> 00:03:43.400]  阿克瓦里雖然嘗試跑到終點
[00:03:43.400 --> 00:03:46.400]  但是因為腳傷的緣故
[00:03:46.400 --> 00:03:49.600]  他只能夠夾著夾著
[00:03:49.600 --> 00:03:52.400]  承受著極大的痛楚
[00:03:52.400 --> 00:03:55.800]  終於捱到終點了
[00:03:55.800 --> 00:04:02.000]  他足足用了3小時25分鐘27秒
[00:04:02.000 --> 00:04:07.000]  雖然比起冠軍的埃塞俄跑手
[00:04:07.000 --> 00:04:10.600]  是慢了1小時05分鐘
[00:04:10.600 --> 00:04:17.600]  但結果也能夠完成這場賽事
[00:04:17.600 --> 00:04:24.400]  我們一直都在看大衛的生平
[00:04:24.400 --> 00:04:29.000]  神在他人生的賽道當中
[00:04:29.000 --> 00:04:33.000]  預備了很多不同的經歷
[00:04:33.000 --> 00:04:38.400]  今天我們來到第27章《撒梅爾紀上》
[00:04:38.400 --> 00:04:45.000]  在這裡究竟神又為他預備了一個什麼樣的處境呢?
[00:04:45.000 --> 00:04:48.200]  我想先跟大家讀一讀
[00:04:48.200 --> 00:04:54.400]  27章第一至第六節的經文
[00:04:54.400 --> 00:04:56.600]  聖經那裡這樣說
[00:04:56.600 --> 00:05:02.000]  大衛心裡說:必有一日我死在蘇羅手裡
[00:05:02.000 --> 00:05:05.600]  不如逃奔菲利士地去
[00:05:05.600 --> 00:05:09.600]  蘇羅見我不在以色列的境內
[00:05:09.600 --> 00:05:13.400]  就必絕望不再尋殺我
[00:05:13.400 --> 00:05:17.400]  這樣我可以脫離他的手
[00:05:17.400 --> 00:05:19.400]  於是大衛起身
