
[00:00:00.000 --> 00:00:03.000]  歡迎大家來信望愛的娘堂
[00:00:03.000 --> 00:00:08.240]  今天是逾越節 又是受難日
[00:00:08.240 --> 00:00:13.340]  所以今天晚上我們會有逾越節的晚餐
[00:00:13.340 --> 00:00:18.000]  這個晚餐是叫做Passover Seder
[00:00:18.000 --> 00:00:21.600]  Seder的意思是有程序的
[00:00:21.600 --> 00:00:26.160]  所以不是開始吃就是吃 吃飽為止
[00:00:26.160 --> 00:00:28.460]  而是有程序的
[00:00:28.460 --> 00:00:33.640]  另外它每一個程序都有一些象徵的意義
[00:00:33.640 --> 00:00:36.400]  所以我們會為各位來解釋
[00:00:36.400 --> 00:00:44.800]  也會在這個事情上面 為各位來做一些教導
[00:00:44.800 --> 00:00:50.040]  那麼這個行頭或者是行頭
[00:00:50.040 --> 00:00:52.300]  這個是以色列的國旗
[00:00:52.300 --> 00:00:56.500]  這叫做David Star 大衛的星
[00:00:56.500 --> 00:00:59.500]  那麼我這個叫做Kepa
[00:00:59.500 --> 00:01:05.400]  就是瓜皮帽 猶太人的都要
[00:01:05.400 --> 00:01:08.500]  平常人都要戴
[00:01:08.500 --> 00:01:12.360]  這個叫做衣裳的穗子
[00:01:12.360 --> 00:01:17.200]  所以換血肉的婦人趴在地上摸衣裳的穗子
[00:01:17.200 --> 00:01:20.660]  就是這個 一股能力就出去了
[00:01:20.660 --> 00:01:24.840]  那你看這邊有 這邊上面有繡金紋
[00:01:24.840 --> 00:01:27.160]  看到沒有 這個上面有金紋
[00:01:27.160 --> 00:01:30.160]  所以金紋繡在錦項上
[00:01:30.160 --> 00:01:32.540]  就是這個意思
[00:01:32.540 --> 00:01:35.400]  姐妹要蒙頭
[00:01:35.400 --> 00:01:38.600]  所以今天我們是這樣子的
[00:01:38.600 --> 00:01:41.100]  按照猶太傳統
[00:01:41.100 --> 00:01:46.640]  當然了 到了新月時代
[00:01:46.640 --> 00:01:49.460]  耶穌也是做了最後的晚餐
[00:01:49.460 --> 00:01:51.900]  The Last Supper
[00:01:51.900 --> 00:01:59.240]  祂也是按照這個Sidr這個程序來做的
[00:01:59.240 --> 00:02:01.300]  但是您知道嗎
[00:02:01.300 --> 00:02:06.940]  這個逾越節 Passover
[00:02:06.940 --> 00:02:10.300]  我們知道我們等一下要吃什麼東西
[00:02:10.300 --> 00:02:12.640]  無效餅
[00:02:12.640 --> 00:02:17.300]  吃無效餅其實在之前
[00:02:17.300 --> 00:02:21.960]  會有尋孝跟除孝這一個動作
[00:02:21.960 --> 00:02:23.440]  換句話說
[00:02:23.440 --> 00:02:26.800]  每家今天晚上要吃
[00:02:26.800 --> 00:02:28.500]  逾越節的晚餐的時候
[00:02:28.500 --> 00:02:30.440]  他前一天白天的時候
[00:02:30.440 --> 00:02:33.460]  他就要開始除孝 要尋孝
[00:02:33.460 --> 00:02:36.940]  你如果去看蔡姬姬十二章 她說
[00:02:36.940 --> 00:02:38.700]  耶和華小姨摩西說
[00:02:38.700 --> 00:02:43.500]  你們要以本日為真月初一
[00:02:43.500 --> 00:02:45.040]  然後你們要整裝待發
[00:02:45.040 --> 00:02:47.100]  你們要吃無效餅
[00:02:47.100 --> 00:02:51.040]  所以這個又是一個猶太人的新年
[00:02:51.040 --> 00:02:52.900]  就好像我們中國人的
[00:02:52.900 --> 00:02:55.940]  怎麼樣 新年大掃除一樣
[00:02:55.940 --> 00:02:57.360]  除孝尋孝就是說
[00:02:57.360 --> 00:02:59.140]  你在你家裡面去看
[00:02:59.140 --> 00:03:01.100]  哪邊有孝
[00:03:01.100 --> 00:03:02.460]  哪邊有孝的面
[00:03:02.460 --> 00:03:04.440]  哪邊有什麼通通要把它除掉
[00:03:04.440 --> 00:03:06.600]  今天全部要除乾淨
[00:03:06.600 --> 00:03:09.640]  所以跟我們的大掃除一樣
[00:03:09.640 --> 00:03:12.760]  你塗羊血在門楣上紅紅的
[00:03:12.760 --> 00:03:16.800]  就好像我們過年的春節的春聯一樣
[00:03:16.800 --> 00:03:17.860]  所以猶太人
[00:03:17.860 --> 00:03:21.200]  如果你是住在耶路撒的
[00:03:21.200 --> 00:03:23.200]  以色列的中國人
[00:03:23.200 --> 00:03:24.560]  你過四個年
[00:03:24.560 --> 00:03:26.740]  一年有過四個年
[00:03:26.740 --> 00:03:29.500]  猶太新年 中國新年
[00:03:29.500 --> 00:03:34.240]  西方的新年還有一個月節
[00:03:34.240 --> 00:03:37.700]  真正的猶太新年是叫做Rashanah
[00:03:37.700 --> 00:03:40.660]  但是今天叫做Passover也是的
[00:03:40.660 --> 00:03:42.860]  好的
[00:03:42.860 --> 00:03:45.660]  所以我們要開始來
[00:03:45.660 --> 00:03:50.260]  我們請師母來點蠟燭
[00:03:50.260 --> 00:03:51.460]  這七根蠟燭
[00:03:51.460 --> 00:03:53.540]  這叫做金燈台
[00:03:53.540 --> 00:03:55.460]  Golden Lamp
[00:03:55.460 --> 00:03:58.360]  這個是我剛才拿了一下好重
[00:03:58.360 --> 00:03:59.800]  這真的是
[00:03:59.800 --> 00:04:00.760]  感謝神
[00:04:00.760 --> 00:04:12.600]  好的 感謝主
[00:04:12.600 --> 00:04:16.360]  我們點燃月節的燭光
[00:04:16.360 --> 00:04:18.700]  懇求聖靈光照我們
[00:04:18.700 --> 00:04:20.800]  帶我們經歷月節
[00:04:20.800 --> 00:04:23.360]  如同神當日拯救以色列人
[00:04:23.360 --> 00:04:26.500]  脫離埃及的奴役
[00:04:26.500 --> 00:04:29.040]  主耶穌今天也拯救我們
[00:04:29.040 --> 00:04:32.840]  脫離罪惡的奴隸
[00:04:32.840 --> 00:04:35.660]  那麼應該是要由女主人來讀這個
[00:04:35.660 --> 00:04:37.160]  但是用我來唸好了
[00:04:42.800 --> 00:05:01.100]  祂是說
[00:05:01.100 --> 00:05:05.060]  讓我們一起來讀紅的地方
[00:05:05.060 --> 00:05:06.700]  你如果不會中文
