
[00:00:00.000 --> 00:00:02.720]  今天我要跟大家講一個題目
[00:00:02.720 --> 00:00:07.360]  其實我接下來可能會講10次都是講在司的
[00:00:07.360 --> 00:00:09.360]  這次是在司聆聽
[00:00:09.360 --> 00:00:10.960]  其實我不想題目那麼長
[00:00:10.960 --> 00:00:13.760]  應該是在司聆聽神聲音
[00:00:13.760 --> 00:00:17.760]  從西乃到安提阿
[00:00:17.760 --> 00:00:20.880]  為什麼我會這樣講呢
[00:00:20.880 --> 00:00:25.840]  因為我發現可能10年前你們猜了我出去之後
[00:00:25.840 --> 00:00:29.600]  很多東西因為猜了我出去
[00:00:29.600 --> 00:00:32.800]  走在神的心意里被你們推去
[00:00:32.800 --> 00:00:35.040]  一走在神的心意里
[00:00:35.040 --> 00:00:36.800]  你就會發現
[00:00:36.800 --> 00:00:40.000]  那些啓示就越來越多越來越頻密
[00:00:40.000 --> 00:00:43.360]  還有整個人對聖經真理的認知
[00:00:43.360 --> 00:00:46.880]  對神的認知就越來越成熟
[00:00:46.880 --> 00:00:48.720]  我不是說我已經很懂
[00:00:48.720 --> 00:00:50.880]  越來越成熟
[00:00:50.880 --> 00:00:53.920]  可能是三天前覺得這煲粥都很熟
[00:00:53.920 --> 00:00:56.320]  突然發現現在還可以煲煲
[00:00:56.320 --> 00:00:57.360]  熟一點的
[00:00:57.360 --> 00:00:58.560]  真是很有趣
[00:00:58.560 --> 00:01:02.480]  那些啓示令我每天都覺得新鮮
[00:01:02.480 --> 00:01:04.480]  每天新鮮
[00:01:04.480 --> 00:01:07.280]  我現在就開始明白
[00:01:07.280 --> 00:01:10.960]  為什麼我整天都是講道給別人聽
[00:01:10.960 --> 00:01:12.480]  沒什麼機會聽別人講道
[00:01:12.480 --> 00:01:13.280]  那我怎麼辦
[00:01:13.280 --> 00:01:14.240]  我不是餓死了
[00:01:14.240 --> 00:01:15.680]  原來不是
[00:01:15.680 --> 00:01:18.000]  原來主已經
[00:01:18.000 --> 00:01:19.600]  透過我要講道給別人聽
[00:01:19.600 --> 00:01:23.200]  祂才用祂的道來餵養了我
[00:01:23.200 --> 00:01:24.480]  真是很發達
[00:01:24.480 --> 00:01:26.560]  所以你在這裡聽道
[00:01:26.560 --> 00:01:28.240]  聽完道如果你有機會
[00:01:28.240 --> 00:01:31.920]  你回去你的工作環境里
[00:01:31.920 --> 00:01:34.320]  你有機會講道給別人聽都挺好的
[00:01:34.320 --> 00:01:36.320]  你又發現你在講道里
[00:01:36.320 --> 00:01:38.880]  你可以將講過的人
[00:01:38.880 --> 00:01:40.160]  未講道的東西
[00:01:40.160 --> 00:01:42.080]  透過你那一點的成熟
[00:01:42.080 --> 00:01:44.080]  又再將它發明出來
[00:01:44.080 --> 00:01:47.440]  所以我甚願我們眾人都能夠講道
[00:01:47.440 --> 00:01:49.520]  誰很想講道的請舉一隻手
[00:01:49.520 --> 00:01:50.720]  現在就為你祈一個禱
[00:01:50.720 --> 00:01:51.760]  舉高一點
[00:01:51.760 --> 00:01:52.960]  舉高一點不要害怕
[00:01:52.960 --> 00:01:54.080]  是呀坐定定
[00:01:54.080 --> 00:01:54.880]  主我奉你的名
[00:01:54.880 --> 00:01:56.560]  舉定我未祈願
[00:01:56.560 --> 00:01:57.360]  主我奉你的名
[00:01:57.360 --> 00:01:59.920]  祝福所有這些很想講道
[00:01:59.920 --> 00:02:01.840]  並且我奉耶穌基督的名
[00:02:01.840 --> 00:02:03.200]  祝福他們講好道
[00:02:03.200 --> 00:02:05.840]  你的啓示的恩賜就與他們同在
[00:02:05.840 --> 00:02:07.760]  你話語的恩賜就與他們同在
[00:02:07.760 --> 00:02:09.280]  開他們裡面的眼睛
[00:02:09.280 --> 00:02:10.880]  禱告奉耶穌基督的名
[00:02:10.880 --> 00:02:11.600]  阿門
[00:02:11.600 --> 00:02:12.480]  哈利路亞
[00:02:12.480 --> 00:02:16.320]  請靜明兄幫這些人登記一下
[00:02:16.320 --> 00:02:19.440]  集合他們在一起
[00:02:19.440 --> 00:02:21.920]  教他們講道法言經法
[00:02:21.920 --> 00:02:24.720]  你當然要有些基本功
[00:02:24.720 --> 00:02:26.160]  不是不行的
[00:02:26.160 --> 00:02:30.400]  兩樣加在一起是很鋒利的
[00:02:30.400 --> 00:02:33.920]  所以我就會累積了一些東西
[00:02:33.920 --> 00:02:35.680]  大概幾個月前我就開始覺得
[00:02:35.680 --> 00:02:38.000]  我好像太對你們不住了
[00:02:38.000 --> 00:02:41.520]  每次來好像硬刺你們
[00:02:41.520 --> 00:02:42.640]  有些東西我都
[00:02:42.640 --> 00:02:44.560]  你呀人家都知道你又不知道
[00:02:44.560 --> 00:02:45.520]  刺你
[00:02:45.520 --> 00:02:46.960]  哇刺了兩個小時
[00:02:46.960 --> 00:02:47.840]  再這樣刺下去
[00:02:47.840 --> 00:02:50.320]  你們大概踢我出門口了
[00:02:50.320 --> 00:02:53.280]  我余下的光陰都沒多少
[00:02:53.280 --> 00:02:55.120]  都是兩年多三年
[00:02:55.120 --> 00:02:58.080]  哇進步進步進步
[00:02:58.080 --> 00:02:58.800]  那怎麼辦呢
[00:02:58.800 --> 00:02:59.680]  站在肚子里
[00:02:59.680 --> 00:03:00.720]  主就說
[00:03:00.720 --> 00:03:02.400]  那你可以有計劃有秩序
[00:03:02.400 --> 00:03:03.920]  這樣去將那些
[00:03:03.920 --> 00:03:05.360]  你覺得你要執著他們
[00:03:05.360 --> 00:03:06.720]  他們不知道的東西
[00:03:06.720 --> 00:03:08.160]  鋪排好它
[00:03:08.160 --> 00:03:10.320]  我就哎呀死蠢死蠢死蠢
[00:03:10.320 --> 00:03:10.800]  是不是
[00:03:10.800 --> 00:03:12.560]  所以接下來
[00:03:12.560 --> 00:03:14.480]  最低限度有十次再施
[00:03:14.480 --> 00:03:15.600]  這次第一次
[00:03:15.600 --> 00:03:16.400]  第一次講什麼
