
[00:00:00.000 --> 00:00:03.560]  讓我們聽神的道先 讓我們同心圖復
[00:00:03.560 --> 00:00:09.260]  請各位姐妹讓我們聽神道之前先同心禱告
[00:00:09.260 --> 00:00:13.520]  父神多謝祢讓我們回來聽祢的道理
[00:00:13.520 --> 00:00:16.720]  父神感謝祢讓我們一同敬拜
[00:00:16.720 --> 00:00:21.020]  讓我們在每一個星期日的敬拜裏面
[00:00:21.020 --> 00:00:25.720]  都更加學會專注於祢為我們處我們的神
[00:00:25.720 --> 00:00:27.720]  求祢的幫助
[00:00:27.720 --> 00:00:30.920]  親愛的恩父感謝祢給我們今天能夠再次
[00:00:30.920 --> 00:00:33.620]  跟弟兄姐妹一起來到祢的跟前
[00:00:33.620 --> 00:00:37.220]  來到聆聽主禮的說話敬拜主祢
[00:00:37.220 --> 00:00:41.620]  父神求祢讓我們在聆聽主道的時間
[00:00:41.620 --> 00:00:46.420]  更學習怎麼樣來到尊注祢是我們主我們神
[00:00:46.420 --> 00:00:50.920]  因為現在我們所看到整個世界的問題
[00:00:50.920 --> 00:00:55.620]  就在這個尊重主這個題目上面
[00:00:55.620 --> 00:00:58.620]  求祢的幫助帶領我們
[00:00:58.620 --> 00:01:00.620]  大家封住耶穌的名臣
[00:01:00.620 --> 00:01:03.620]  Amen
[00:01:03.620 --> 00:01:07.420]  很多人都認為一件事
[00:01:07.420 --> 00:01:11.520]  埋堆最重要
[00:01:11.520 --> 00:01:15.120]  就是融入到某個圈子裏是最重要的
[00:01:15.120 --> 00:01:18.420]  跟著主流是最重要的
[00:01:18.420 --> 00:01:23.420]  個個人做就一定是對的
[00:01:23.420 --> 00:01:25.920]  當所有人他認為是對的事情
[00:01:25.920 --> 00:01:28.820]  你們去做就是對的
[00:01:28.820 --> 00:01:32.920]  但當我們去見到
[00:01:32.920 --> 00:01:39.520]  這個世界有這樣的思維塑造存在的時候
[00:01:39.520 --> 00:01:42.920]  人的取向會怎麼樣呢
[00:01:42.920 --> 00:01:45.220]  人人都認為如果要做工的
[00:01:45.220 --> 00:01:47.420]  就要去大的公司去做事
[00:01:47.420 --> 00:01:50.820]  人人認為要去找工作就要去找大公司
[00:01:50.820 --> 00:01:54.720]  所以如果你要做科技公司的
[00:01:54.720 --> 00:01:55.720]  你不要理任何事
[00:01:55.720 --> 00:01:58.520]  你第一份工作最重要就是要去Microsoft
[00:01:58.520 --> 00:02:03.620]  最重要去Google
[00:02:03.620 --> 00:02:09.220]  我要去這些大的公司裏面做就有成就的了
[00:02:09.220 --> 00:02:12.320]  如果我要買電腦的話
[00:02:12.320 --> 00:02:14.620]  我要買大牌子
[00:02:14.620 --> 00:02:18.920]  我不要買那些雜物
[00:02:18.920 --> 00:02:22.920]  不過我又發覺原來很多年青人喜歡打遊戲機那些
[00:02:22.920 --> 00:02:27.920]  就不喜歡買大牌子機
[00:02:27.920 --> 00:02:31.220]  說不夠厲害
[00:02:31.220 --> 00:02:34.720]  這個世界很矛盾
[00:02:34.720 --> 00:02:40.020]  所以當我們見到這個世界的發展的時候
[00:02:40.020 --> 00:02:44.820]  不同的國家走在一起的時候
[00:02:44.820 --> 00:02:49.920]  小的國家又會去聯合一些大的國家
[00:02:49.920 --> 00:02:54.420]  希望從而可以得到一些好處
[00:02:54.420 --> 00:02:57.320]  如果我們要移民的話
[00:02:57.320 --> 00:03:00.720]  也要找一個大國去移民
[00:03:00.720 --> 00:03:04.920]  所以以前就很喜歡去美國
[00:03:04.920 --> 00:03:08.620]  現在就很喜歡來加拿大
[00:03:08.620 --> 00:03:13.020]  名字都叫大加拿大
[00:03:13.020 --> 00:03:16.020]  信仰上又怎麼樣呢
[00:03:16.020 --> 00:03:20.120]  我又發覺很類似的情況出現
[00:03:20.120 --> 00:03:26.520]  要信都要找一個大的宗教團體來去相信
[00:03:26.520 --> 00:03:29.020]  如果佛教大
[00:03:29.020 --> 00:03:31.520]  我就要信佛教
[00:03:31.520 --> 00:03:34.220]  如果在佛教裏面
[00:03:34.220 --> 00:03:39.120]  都要找一個大廟宇去敬拜
[00:03:39.120 --> 00:03:43.120]  以前天主教夠大
[00:03:43.120 --> 00:03:46.920]  所以每個人都去天主教會
[00:03:46.920 --> 00:03:52.320]  我還記得我祖母曾經跟我說
[00:03:52.320 --> 00:03:55.020]  什麼教會都是假
[00:03:55.020 --> 00:04:01.820]  最重要那間教會有米和奶粉派就是最好的
[00:04:01.820 --> 00:04:02.620]  因為夠大
[00:04:02.620 --> 00:04:07.520]  所以天主教教會以前經常都派米、派麵粉、派奶粉
[00:04:07.520 --> 00:04:11.520]  因為夠大,天主教經常是派一些食物
[00:04:11.520 --> 00:04:14.620]  有沒有留意到最近這十幾二十年
[00:04:14.620 --> 00:04:17.420]  在最近的十幾二十年
[00:04:17.420 --> 00:04:20.220]  開始很多人相信回教
[00:04:20.220 --> 00:04:22.320]  有些人開始相信回教
[00:04:22.320 --> 00:04:24.920]  不要管你究竟是中國人也好
[00:04:24.920 --> 00:04:25.920]  印度人也好
[00:04:25.920 --> 00:04:27.120]  中東人也好
[00:04:27.120 --> 00:04:28.220]  南美人也好
[00:04:28.220 --> 00:04:32.020]  不管你是中國人、印度人或南美人
[00:04:32.020 --> 00:04:34.220]  很多人都轉信回教
[00:04:34.220 --> 00:04:35.620]  很多人都轉信回教
[00:04:35.620 --> 00:04:37.120]  現在回教很多
[00:04:37.120 --> 00:04:38.120]  因為現在回教多
[00:04:38.120 --> 00:04:40.220]  曾經有些人的計算
[00:04:40.220 --> 00:04:41.320]  根據計算
[00:04:41.320 --> 00:04:43.520]  以回教的發展的進度
[00:04:43.520 --> 00:04:45.020]  以回教發展的進度
[00:04:45.020 --> 00:04:46.220]  大概十年左右
[00:04:46.220 --> 00:04:47.120]  大概十年間
[00:04:47.120 --> 00:04:50.220]  回教應該是在這個世界成為最大的宗教
[00:04:50.220 --> 00:04:53.920]  回教在世界上成為最佳的宗教
[00:04:53.920 --> 00:04:55.820]  你不黏在一起的話
[00:04:55.820 --> 00:04:57.420]  不鑽進去的話
[00:04:57.420 --> 00:04:59.620]  你就沒有好日子過
[00:04:59.620 --> 00:05:00.820]  就沒有好日子了
[00:05:00.820 --> 00:05:03.920]  但是這種火拍埋堆的觀念
[00:05:03.920 --> 00:05:08.820]  這種火拍加入這種圈子的觀念
[00:05:08.820 --> 00:05:11.620]  是不是都可以活在一個真正
[00:05:11.620 --> 00:05:14.420]  我們所相信的上帝的裏面呢?
[00:05:14.420 --> 00:05:17.820]  是不是在我們所相信的上帝裏面也是這樣呢?
[00:05:17.820 --> 00:05:19.620]  基督的信仰
[00:05:19.620 --> 00:05:20.620]  基督的信仰
[00:05:20.620 --> 00:05:23.220]  是不是都是一個埋堆的信仰呢?
[00:05:23.220 --> 00:05:25.520]  是不是一個融入圈子的信仰呢?
