
[00:00:00.000 --> 00:00:04.360]  好 接下來繼續給大家分享約翰書信系列
[00:00:04.360 --> 00:00:08.440]  我希望能夠全部都講完
[00:00:08.440 --> 00:00:11.300]  就是把約翰一書 二書還有三書
[00:00:11.300 --> 00:00:16.340]  今天已經開始從第二章進入到第三章
[00:00:16.340 --> 00:00:20.540]  就是從約翰一書的第二章的最後
[00:00:20.540 --> 00:00:22.900]  的那一節經文開始進入到第三章
[00:00:22.900 --> 00:00:25.980]  今天給大家要分享的主題是
[00:00:26.340 --> 00:00:29.980]  做神的兒女一 這是第一部分
[00:00:29.980 --> 00:00:32.380]  這次應該時間不夠講不完
[00:00:32.380 --> 00:00:35.740]  所以呢 留待下次會給大家繼續會講
[00:00:35.740 --> 00:00:36.980]  做神兒女二
[00:00:36.980 --> 00:00:41.860]  今天我們先看二章的二十九節到三章
[00:00:41.860 --> 00:00:43.260]  十節的經文
[00:00:43.260 --> 00:00:46.660]  我們先來讀一下今天的經文
[00:00:46.660 --> 00:00:49.220]  大家可以看到屏幕上的經文
[00:00:49.220 --> 00:00:51.420]  如果字太小看不清楚
[00:00:51.420 --> 00:00:54.340]  你可以看你手機屏幕上面的經文
[00:00:57.260 --> 00:00:59.420]  好 翻到經文的話
[00:00:59.420 --> 00:01:01.140]  我們一起來誦讀一下
[00:01:01.140 --> 00:01:02.100]  一二起
[00:01:02.100 --> 00:01:05.860]  你們若知道她是公益的
[00:01:05.860 --> 00:01:10.460]  就知道凡行公益之人都是她所生的
[00:01:10.460 --> 00:01:14.740]  你看父賜給我們是何等的慈愛
[00:01:14.740 --> 00:01:17.820]  使我們得稱為神的兒女
[00:01:17.820 --> 00:01:20.580]  我們也真是她的兒女
[00:01:20.580 --> 00:01:23.460]  世人所以不認識我們
[00:01:23.460 --> 00:01:26.060]  是因為曾認識她
[00:01:26.420 --> 00:01:28.100]  親愛的弟兄啊
[00:01:28.100 --> 00:01:30.820]  我們現在是神的兒女
[00:01:30.820 --> 00:01:33.820]  將來如何還未顯明
[00:01:33.820 --> 00:01:37.140]  但我們知道主若顯現
[00:01:37.140 --> 00:01:39.140]  我們必要像她
[00:01:39.140 --> 00:01:42.140]  因為必得見她的真相
[00:01:42.140 --> 00:01:48.060]  凡像她有這指望的就竭盡自己
[00:01:48.060 --> 00:01:50.300]  像她竭盡一樣
[00:01:50.300 --> 00:01:54.660]  凡犯罪的就是違背律法
[00:01:54.980 --> 00:01:57.100]  違背律法就是罪
[00:01:57.100 --> 00:01:59.900]  你們知道主曾顯現
[00:01:59.900 --> 00:02:02.260]  是要除掉人的罪
[00:02:02.260 --> 00:02:04.340]  在她並沒有罪
[00:02:04.340 --> 00:02:08.260]  凡住在她裡面的就不犯罪
[00:02:08.260 --> 00:02:11.820]  凡犯罪的是未曾看見她
[00:02:11.820 --> 00:02:14.020]  也未曾認識她
[00:02:14.020 --> 00:02:15.500]  小資們啊
[00:02:15.500 --> 00:02:17.500]  不要被人誘惑
[00:02:17.500 --> 00:02:19.900]  行益的才是益人
[00:02:19.900 --> 00:02:22.780]  正如主是益的一樣
[00:02:24.420 --> 00:02:26.540]  犯罪的是屬魔鬼
[00:02:26.540 --> 00:02:29.940]  因為魔鬼從起初就犯罪
[00:02:29.940 --> 00:02:32.820]  神的兒子顯現出來
[00:02:32.820 --> 00:02:35.860]  為要除滅魔鬼的作為
[00:02:35.860 --> 00:02:39.340]  凡從神生的就不犯罪
[00:02:39.340 --> 00:02:42.740]  因神的道存在她心裡
[00:02:42.740 --> 00:02:44.900]  她也不能犯罪
[00:02:44.900 --> 00:02:47.700]  因為她是由神生的
[00:02:47.700 --> 00:02:52.020]  從此就顯出誰是神的兒女
[00:02:52.420 --> 00:02:54.580]  誰是魔鬼的兒女
[00:02:54.580 --> 00:02:58.100]  凡不行益的就不屬神
[00:02:58.100 --> 00:03:01.580]  不愛弟兄的也是如此
[00:03:01.580 --> 00:03:03.900]  好 經文先讀到這裡
[00:03:03.900 --> 00:03:07.100]  先來問大家一個問題
[00:03:07.100 --> 00:03:08.380]  我不曉得
[00:03:08.380 --> 00:03:10.660]  你通常在別人面前
[00:03:10.660 --> 00:03:12.860]  會怎樣去介紹你自己
[00:03:12.860 --> 00:03:17.100]  我記得在我小的時候
[00:03:17.100 --> 00:03:20.500]  常常會有一些長輩
[00:03:20.500 --> 00:03:22.500]  拿來問這個小孩是誰
[00:03:22.500 --> 00:03:25.500]  我就會告訴他們我的名字
[00:03:25.500 --> 00:03:28.300]  不過當我告訴他們名字以後
[00:03:28.300 --> 00:03:30.420]  其實他們還是不知道我是誰
[00:03:30.420 --> 00:03:33.420]  所以他們一頭霧水
