
[00:00:00.000 --> 00:00:03.000]  承接上一個月,我們繼續思想
[00:00:03.000 --> 00:00:05.880]  在八幅山上
[00:00:05.880 --> 00:00:09.220]  耶穌所頒布的天國的獻章
[00:00:09.220 --> 00:00:12.360]  告訴一些
[00:00:12.360 --> 00:00:15.360]  真的渴慕
[00:00:15.360 --> 00:00:18.280]  認識神的角度的人知道
[00:00:18.280 --> 00:00:21.240]  這個新角度的子民是一群蒙福的群體
[00:00:21.240 --> 00:00:24.360]  是一群屬天國的兒女
[00:00:24.360 --> 00:00:29.360]  主耶穌用
[00:00:29.360 --> 00:00:32.360]  八個福來開始天國的子民獻章
[00:00:32.360 --> 00:00:35.360]  來表明
[00:00:35.360 --> 00:00:38.860]  我們能夠得著神的祝福的一群人
[00:00:38.860 --> 00:00:42.120]  所以每一句話他都用福來開始
[00:00:42.120 --> 00:00:45.120]  有福的,有福的
[00:00:45.120 --> 00:00:48.120]  我們中文翻譯把它放在最後
[00:00:48.120 --> 00:00:51.120]  原本的文字或英文的譯本就把它放在前面
[00:00:51.120 --> 00:00:54.120]  Blessed are those
[00:00:54.120 --> 00:00:57.120]  這些人是怎樣的呢?
[00:00:57.120 --> 00:01:00.120]  這個也可以說是指出
[00:01:00.120 --> 00:01:03.120]  我們一些生命品格的
[00:01:03.120 --> 00:01:06.120]  神給我們的栽培和祈望
[00:01:06.120 --> 00:01:09.120]  是一種人生的態度
[00:01:09.120 --> 00:01:12.120]  所以這個叫Be Attitudes 八福
[00:01:12.120 --> 00:01:15.120]  Be Attitudes 指出我們天國子民
[00:01:15.120 --> 00:01:18.120]  應該有的一種人生的態度
[00:01:18.120 --> 00:01:21.120]  我們能夠有這種態度
[00:01:21.120 --> 00:01:24.120]  活出這種生命的品格
[00:01:24.120 --> 00:01:27.120]  就是神要我們蒙福的原因
[00:01:27.120 --> 00:01:30.120]  正如這位私人
[00:01:30.120 --> 00:01:33.120]  阿爾米所說的名言
[00:01:33.120 --> 00:01:36.120]  一個人的價值
[00:01:36.120 --> 00:01:39.120]  不是在乎他有什麼
[00:01:39.120 --> 00:01:42.120]  或者擁有什麼
[00:01:42.120 --> 00:01:45.120]  而是在乎他是什麼
[00:01:45.120 --> 00:01:48.120]  意思就是說
[00:01:48.120 --> 00:01:51.120]  擁有的是外在的東西
[00:01:51.120 --> 00:01:54.120]  而我們內在的生命
[00:01:54.120 --> 00:01:57.120]  我們的品格
[00:01:57.120 --> 00:02:00.120]  是我們這個人真正有的價值
[00:02:00.120 --> 00:02:03.120]  所以同樣的主耶穌指示的天國
[00:02:03.120 --> 00:02:06.120]  不是一種地上的繁茂
[00:02:06.120 --> 00:02:09.120]  不只是權勢
[00:02:09.120 --> 00:02:12.120]  有很多人當時以為
[00:02:12.120 --> 00:02:15.120]  耶穌來到要把神的國帶來的時候
[00:02:15.120 --> 00:02:18.120]  叫以色列復國得著他的威榮
[00:02:18.120 --> 00:02:21.120]  耶穌告訴我們
[00:02:21.120 --> 00:02:24.120]  原來這個天國的子民所帶來的
[00:02:24.120 --> 00:02:27.120]  是給我們真正有的人生的價值
[00:02:27.120 --> 00:02:30.120]  這種內在的生命的品格
[00:02:30.120 --> 00:02:33.120]  人生的態度
[00:02:33.120 --> 00:02:36.120]  以致我們能夠成為一班蒙福的子民
[00:02:36.120 --> 00:02:39.120]  所以我們看見
[00:02:39.120 --> 00:02:42.120]  在八福開始的時候
[00:02:42.120 --> 00:02:45.120]  還記得嗎?上個月
[00:02:45.120 --> 00:02:48.120]  「虛心的人有福了」
[00:02:48.120 --> 00:02:51.120]  我們一起讀讀
[00:02:51.120 --> 00:02:54.120]  「虛心的人有福了,因為天國是他們的」
[00:02:54.120 --> 00:02:57.120]  這個實在是很需要的
[00:02:57.120 --> 00:03:00.120]  怎樣能夠成為天國裡面的子民呢?
[00:03:00.120 --> 00:03:03.120]  這個入門就是說我們需要虛心
[00:03:03.120 --> 00:03:06.120]  或者在靈裡面承認我們的貧窮
[00:03:06.120 --> 00:03:09.120]  承認我們的需要
[00:03:09.120 --> 00:03:12.120]  事實上很明顯的
[00:03:12.120 --> 00:03:15.120]  我們才會得到幫助
[00:03:15.120 --> 00:03:18.120]  唯有當我們承認虛心的時候
[00:03:18.120 --> 00:03:21.120]  我們才能夠支取到神的力量
[00:03:21.120 --> 00:03:24.120]  承認我們自己的軟弱
[00:03:24.120 --> 00:03:27.120]  才能夠經歷到神的光強
[00:03:27.120 --> 00:03:30.120]  這是一個很明顯的開步
[00:03:30.120 --> 00:03:33.120]  第二個福是什麼呢?
[00:03:33.120 --> 00:03:36.120]  還沒到
[00:03:36.120 --> 00:03:39.120]  「愛動的人有福了」
[00:03:39.120 --> 00:03:42.120]  「因為他們必得安慰」
[00:03:42.120 --> 00:03:45.120]  所以這裡主耶穌特別提到
[00:03:45.120 --> 00:03:48.120]  指我們為我們的罪來哀傷
[00:03:48.120 --> 00:03:51.120]  我們來哀動
[00:03:51.120 --> 00:03:54.120]  我們發覺自己是遠離神
[00:03:54.120 --> 00:03:57.120]  我們需要神的恩典
[00:03:57.120 --> 00:04:00.120]  我們需要認罪悔改
[00:04:00.120 --> 00:04:03.120]  來走回頭的道路
[00:04:03.120 --> 00:04:06.120]  所以先有虛心承認自己的需要
[00:04:06.120 --> 00:04:09.120]  然後耶穌指示我們來哀動
[00:04:09.120 --> 00:04:12.120]  當我們願意哀動的時候
[00:04:12.120 --> 00:04:15.120]  就能夠領受到神給我們的安慰
[00:04:15.120 --> 00:04:18.120]  第三個福是什麼呢?
[00:04:18.120 --> 00:04:21.120]  「溫柔的人有福了」
[00:04:21.120 --> 00:04:24.120]  「因為他們必承受地土」
[00:04:24.120 --> 00:04:27.120]  這裡也指到神國的土壤
[00:04:27.120 --> 00:04:30.120]  就是說我們真的成為
[00:04:30.120 --> 00:04:33.120]  天國的子民
[00:04:33.120 --> 00:04:36.120]  而不是一種強硬武力
[00:04:36.120 --> 00:04:39.120]  而是一種溫柔
[00:04:39.120 --> 00:04:42.120]  像耶穌基督所賦予的骸
[00:04:42.120 --> 00:04:45.120]  內心的謙卑柔和
[00:04:45.120 --> 00:04:48.120]  這就指到當我們悔罪之後
[00:04:48.120 --> 00:04:51.120]  我們需要有一個柔軟的心來接受神的恩典
[00:04:51.120 --> 00:04:54.120]  這個柔軟的心幫助我們能夠哀動
[00:04:54.120 --> 00:04:57.120]  幫助我們能夠承受神的祝福
[00:04:57.120 --> 00:05:00.120]  承受神的國土
[00:05:00.120 --> 00:05:03.120]  讓我們能夠領受主
[00:05:03.120 --> 00:05:06.120]  讓我們能夠在救恩裡的福分
[00:05:06.120 --> 00:05:09.120]  今天我們來到第四講
[00:05:09.120 --> 00:05:12.120]  我們都知道
[00:05:12.120 --> 00:05:15.120]  主耶穌一直連接下去
[00:05:15.120 --> 00:05:18.120]  當我們有一個溫柔的心的時候
[00:05:18.120 --> 00:05:21.120]  我們渴望什麼呢?
[00:05:21.120 --> 00:05:24.120]  所以今天我們來到第四個福分
[00:05:24.120 --> 00:05:27.120]  天國八福第四個
[00:05:27.120 --> 00:05:30.120]  第五章第六節
[00:05:30.120 --> 00:05:33.120]  「飢渴無義的人有福料
[00:05:33.120 --> 00:05:36.120]  因為他們必得飽足」
[00:05:36.120 --> 00:05:39.120]  所以對應飢渴無義的神
[00:05:39.120 --> 00:05:42.120]  就說你會得到飽足
[00:05:42.120 --> 00:05:45.120]  同樣的,跟上文的地方很相似
[00:05:45.120 --> 00:05:48.120]  就是針對這個需要
[00:05:48.120 --> 00:05:51.120]  神就去補充
[00:05:51.120 --> 00:05:54.120]  針對這個缺乏,神就供給
[00:05:54.120 --> 00:05:57.120]  當一個柔軟的心的時候
