
[00:00:00.000 --> 00:00:03.800]  好,我們最後要說大衛
[00:00:03.800 --> 00:00:07.420]  大衛的範圍是最長的,所以比較困難一些
[00:00:07.420 --> 00:00:09.760]  我都將它分為五段
[00:00:09.760 --> 00:00:13.520]  所以整個薩姆爾記,有薩姆爾記的一段
[00:00:13.520 --> 00:00:16.680]  有掃羅的一段,然後有大衛的一段
[00:00:16.680 --> 00:00:19.840]  大衛的一段由薩姆爾記上第十六章開始
[00:00:19.840 --> 00:00:24.920]  一直到薩姆爾記下第最後的二十二章
[00:00:24.920 --> 00:00:28.160]  我沒有計算最後那兩章
[00:00:28.160 --> 00:00:33.200]  那我想和你看看這幾段講大衛
[00:00:33.200 --> 00:00:34.320]  講大衛是什麼呢?
[00:00:34.320 --> 00:00:38.920]  大衛一出場的時候,大衛被告戰勝哥尼亞
[00:00:38.920 --> 00:00:43.840]  大衛流亡遭掃羅的迫害
[00:00:43.840 --> 00:00:47.480]  這很大一段,很大一段
[00:00:47.480 --> 00:00:51.120]  然後大衛作尤大和以色列的王
[00:00:51.120 --> 00:00:54.720]  他先做了尤大的王
[00:00:54.720 --> 00:01:01.840]  再過了七年半之後,才再做以色列的王
[00:01:01.840 --> 00:01:05.400]  然後大衛接曰貴,與神立讓
[00:01:05.400 --> 00:01:08.400]  這是很中心的一個認許,一會兒最後我們會看
[00:01:08.400 --> 00:01:11.080]  大衛的罪過
[00:01:11.080 --> 00:01:15.120]  然後他引來的禍患,他整家人的禍患
[00:01:15.120 --> 00:01:18.680]  他的悔改,還有他的遺言
[00:01:18.680 --> 00:01:21.280]  那我就想和你看看最後那兩段
[00:01:21.280 --> 00:01:26.480]  我們先看大衛最後的遺言
[00:01:26.480 --> 00:01:29.160]  接著我們再回到中間那裡
[00:01:29.160 --> 00:01:33.440]  我想你記得整個大圖畫
[00:01:33.440 --> 00:01:37.920]  撒姆爾記是講兩個君王的上升和墜落
[00:01:37.920 --> 00:01:41.360]  兩個君王都有上升,兩個君王都有墜落
[00:01:41.360 --> 00:01:45.840]  但是最後撐住撒姆爾記的是三個認許
[00:01:45.840 --> 00:01:51.400]  首先我們已經看了哈拿的祈禱,指向一個上帝的被告者
[00:01:51.400 --> 00:01:53.040]  現在我們要看什麼呢?
[00:01:53.040 --> 00:01:56.520]  在大衛的遺言裡面,又繼續講認許
[00:01:56.520 --> 00:02:01.120]  接著再看中間上帝與大衛所立的君王之約
[00:02:01.120 --> 00:02:05.680]  所有的一切,是指向主耶穌基督
[00:02:05.680 --> 00:02:08.880]  我想和你看看大衛最後的遺言
