
[00:00:00.000 --> 00:00:02.000]  先打開第一章的部分
[00:00:02.000 --> 00:00:03.700]  可以的時候
[00:00:03.700 --> 00:00:06.500]  幫我打開約翰一書的第一章
[00:00:06.500 --> 00:00:11.000]  我記得在起先的第一講之先提過大家
[00:00:11.000 --> 00:00:13.000]  我想看了幾節聖經
[00:00:13.000 --> 00:00:15.000]  有預備就祈禱好不好
[00:00:15.000 --> 00:00:17.000]  十八這個數目字
[00:00:17.000 --> 00:00:20.000]  每一章都找第十八節
[00:00:20.000 --> 00:00:22.000]  就大概可以掌握到約翰一書
[00:00:22.000 --> 00:00:24.000]  這個就沒有釋經書
[00:00:24.000 --> 00:00:25.000]  沒有解經書
[00:00:25.000 --> 00:00:26.000]  不過是方便記憶
[00:00:26.000 --> 00:00:28.000]  但是你問我第一章有沒有第十節
[00:00:28.000 --> 00:00:30.000]  和第八節是當然有的
[00:00:30.000 --> 00:00:32.000]  但是第一章是沒有十八節的
[00:00:32.000 --> 00:00:34.000]  那我們是怎樣找呢
[00:00:34.000 --> 00:00:36.000]  每一章用十八這個數目字
[00:00:36.000 --> 00:00:38.000]  方便我們去掌握
[00:00:38.000 --> 00:00:40.000]  整個約翰一書的思路
[00:00:40.000 --> 00:00:41.000]  好了來吧
[00:00:41.000 --> 00:00:42.000]  我讀吧
[00:00:42.000 --> 00:00:44.000]  你可以跟著我讀吧
[00:00:44.000 --> 00:00:46.000]  我們手上的是和合本修訂版
[00:00:46.000 --> 00:00:50.000]  在第一章的第十節和第八節
[00:00:50.000 --> 00:00:52.000]  我先讀第十節再讀第八節
[00:00:52.000 --> 00:00:54.000]  第十節是這樣說的
[00:00:54.000 --> 00:00:57.000]  我們若說自己沒有犯過罪
[00:00:57.000 --> 00:01:00.000]  就是把神當作說謊的
[00:01:00.000 --> 00:01:04.000]  神的道他的道就不在我們裏面了
[00:01:04.000 --> 00:01:06.000]  第八節了
[00:01:06.000 --> 00:01:09.000]  我們若說自己沒有罪
[00:01:09.000 --> 00:01:11.000]  就是欺騙自己
[00:01:11.000 --> 00:01:14.000]  真理就不在我裏面了
[00:01:14.000 --> 00:01:18.000]  第一章他提到罪
[00:01:18.000 --> 00:01:22.000]  提到是我們騙自己
[00:01:22.000 --> 00:01:24.000]  還是說上帝騙我們
[00:01:24.000 --> 00:01:26.000]  說的是神的道
[00:01:26.000 --> 00:01:28.000]  記得了嗎
[00:01:28.000 --> 00:01:30.000]  第十節第八節說到罪
[00:01:30.000 --> 00:01:32.000]  說到神的道
[00:01:32.000 --> 00:01:34.000]  好了二章十八節
[00:01:34.000 --> 00:01:36.000]  結到二章十八節
[00:01:36.000 --> 00:01:38.000]  二章十八節就透視
[00:01:38.000 --> 00:01:40.000]  在約翰一書有一個背景
[00:01:40.000 --> 00:01:43.000]  背景就是有一些假的教導
[00:01:43.000 --> 00:01:47.000]  有一些敵對基督的歪理
[00:01:47.000 --> 00:01:49.000]  在這個教會群體
[00:01:49.000 --> 00:01:51.000]  二章十八節
[00:01:51.000 --> 00:01:52.000]  我讀給大家聽
[00:01:52.000 --> 00:01:57.000]  孩子們啊 如今是末世的時光了
[00:01:57.000 --> 00:01:59.000]  你們曾經聽過了
[00:01:59.000 --> 00:02:01.000]  敵基督者要來
[00:02:01.000 --> 00:02:05.000]  現在好些敵基督者已經出來了
[00:02:05.000 --> 00:02:08.000]  由此我們就知道
[00:02:08.000 --> 00:02:10.000]  如今是末世的時光了
[00:02:10.000 --> 00:02:12.000]  我們對上幾講都知道
[00:02:12.000 --> 00:02:14.000]  這些敵基督是殺過一些
[00:02:14.000 --> 00:02:18.000]  對耶穌身份和耶穌工作的歪理
[00:02:18.000 --> 00:02:21.000]  去到三章十八節
[00:02:21.000 --> 00:02:25.000]  其實這些假的教導歪理
[00:02:25.000 --> 00:02:28.000]  其實在影響教會群體的合一
[00:02:28.000 --> 00:02:30.000]  在第三章十八節
[00:02:30.000 --> 00:02:33.000]  你又見到用孩子們做稱呼
[00:02:33.000 --> 00:02:36.000]  不如我想請你和我一起去讀
[00:02:36.000 --> 00:02:37.000]  大聲一點好不好
[00:02:37.000 --> 00:02:40.000]  三章十八節請你和我一起讀
[00:02:40.000 --> 00:02:43.000]  孩子們啊
[00:02:43.000 --> 00:02:46.000]  不要只在言語或事頭上
[00:02:46.000 --> 00:02:51.000]  總要行為和真誠表現出來
[00:02:51.000 --> 00:02:54.000]  約翰一書有幾個重要的主題圍繞著
[00:02:54.000 --> 00:02:58.000]  愛也是一個非常重要的主題
[00:02:58.000 --> 00:03:02.000]  愛上帝和愛人彼此相愛
[00:03:02.000 --> 00:03:05.000]  歪理令到教會有分裂
[00:03:05.000 --> 00:03:08.000]  有一班對信仰有不同看法的人
[00:03:08.000 --> 00:03:10.000]  就離開了這間教會
[00:03:10.000 --> 00:03:13.000]  不是他們在信仰實踐有問題
[00:03:13.000 --> 00:03:17.000]  是對信仰真理的認識出了錯誤
[00:03:17.000 --> 00:03:19.000]  結果他們有錯誤的信仰
[00:03:19.000 --> 00:03:21.000]  令到教會有分裂
[00:03:21.000 --> 00:03:24.000]  所以約翰一書就有這麼豐富的背景
[00:03:24.000 --> 00:03:27.000]  要用愛 要用神的道
[00:03:27.000 --> 00:03:30.000]  要去明白人要在罪當中
[00:03:30.000 --> 00:03:32.000]  去經歷上帝的赦免
[00:03:32.000 --> 00:03:35.000]  究竟耶穌的身份和罪的赦免有什麼關係呢
[00:03:35.000 --> 00:03:39.000]  我們試試看第四章十八節
[00:03:39.000 --> 00:03:41.000]  我們剛剛講完
[00:03:41.000 --> 00:03:43.000]  講到驚驚青青和講到愛
[00:03:43.000 --> 00:03:45.000]  那樣東西比較圓滿呢
[00:03:45.000 --> 00:03:47.000]  四章十八節
[00:03:47.000 --> 00:03:49.000]  我讀給大家聽
[00:03:49.000 --> 00:03:51.000]  四章第十八節
[00:03:51.000 --> 00:03:53.000]  經文這樣說
[00:03:53.000 --> 00:03:55.000]  在愛裡沒有懼怕
[00:03:55.000 --> 00:03:57.000]  圓滿的愛
[00:03:57.000 --> 00:03:59.000]  打懼怕驅逐出去
[00:03:59.000 --> 00:04:03.000]  因為懼怕裡含著懲罰
[00:04:03.000 --> 00:04:07.000]  懼怕的人在愛裡未得圓滿
[00:04:07.000 --> 00:04:09.000]  記不記得最後一個字是圓滿
[00:04:09.000 --> 00:04:11.000]  圓滿是形容懼怕還是愛呢
[00:04:11.000 --> 00:04:13.000]  請問你
[00:04:13.000 --> 00:04:15.000]  形容愛 為什麼呢
[00:04:15.000 --> 00:04:18.000]  因為經文裡第十八節的上半節這樣說
[00:04:18.000 --> 00:04:21.000]  在愛裡沒有懼怕
[00:04:21.000 --> 00:04:23.000]  圓滿的愛
[00:04:23.000 --> 00:04:28.000]  一個人生命裡對上帝的認識是要完全的
[00:04:28.000 --> 00:04:32.000]  裡面的愛 神的愛是完全的
[00:04:32.000 --> 00:04:34.000]  他就不再在末世的時候
[00:04:34.000 --> 00:04:38.000]  受很多歪理 錯誤的思想
[00:04:38.000 --> 00:04:43.000]  令他離開了耶穌基督的救贖和赦罪
[00:04:43.000 --> 00:04:45.000]  一章八節十節
[00:04:45.000 --> 00:04:47.000]  二章十八節
[00:04:47.000 --> 00:04:48.000]  三章十八節
[00:04:48.000 --> 00:04:50.000]  四章十八節
[00:04:50.000 --> 00:04:52.000]  下一講會講五章十八節
[00:04:52.000 --> 00:04:54.000]  我們一會兒會看五章一節
[00:04:54.000 --> 00:04:56.000]  不如也看完五章十八節吧
[00:04:56.000 --> 00:04:58.000]  如果下一講你不在
[00:04:58.000 --> 00:05:00.000]  你至少把《約翰一書》通一通
[00:05:00.000 --> 00:05:02.000]  到最後五章十八節有什麼重點呢
[00:05:02.000 --> 00:05:04.000]  我們看看五章十八節
[00:05:04.000 --> 00:05:06.000]  我們一起讀
[00:05:06.000 --> 00:05:08.000]  五章第十八節
[00:05:08.000 --> 00:05:13.000]  我們知道凡從神生的必不犯罪
[00:05:13.000 --> 00:05:17.000]  從神生的那一位必保守他
[00:05:17.000 --> 00:05:21.000]  那邪惡者無法加害於他
[00:05:21.000 --> 00:05:24.000]  五章十八節是一個保證
