
[00:00:00.000 --> 00:00:05.960]  昨天我們洛杉磯大概是下午的時間
[00:00:05.960 --> 00:00:10.540]  那麼德州發生了一個槍擊案
[00:00:10.540 --> 00:00:15.460]  死了20個人
[00:00:15.460 --> 00:00:19.420]  26個受傷
[00:00:19.420 --> 00:00:24.960]  一個21歲的槍手走進這個購物中心
[00:00:24.960 --> 00:00:32.180]  見了人就開槍
[00:00:32.180 --> 00:00:35.420]  我們不曉得這個世界到底是怎麼了
[00:00:35.420 --> 00:00:38.220]  有這麼多人充滿了仇恨
[00:00:38.220 --> 00:00:41.300]  現在我們不曉得情形為什麼他會這麼這樣做
[00:00:41.300 --> 00:00:43.340]  但是你可以看見這一個年輕人裡面
[00:00:43.340 --> 00:00:45.880]  一定充滿了這些的仇恨
[00:00:45.880 --> 00:00:48.640]  據說他可能是因為覺得那個是
[00:00:48.640 --> 00:00:51.140]  Spanish的一個越來越多的
[00:00:51.140 --> 00:00:53.380]  從這個搬到那個地方
[00:00:53.380 --> 00:00:59.660]  他覺得這些人應該通通要把他們趕回去
[00:00:59.660 --> 00:01:01.580]  那我們看見另外一個就是
[00:01:01.580 --> 00:01:05.240]  香港也是不斷的在那邊示威遊行
[00:01:05.240 --> 00:01:07.040]  幾名衝突
[00:01:07.040 --> 00:01:08.740]  好像我們今天打開報紙
[00:01:08.740 --> 00:01:10.540]  我們看電視
[00:01:10.540 --> 00:01:12.700]  我們看見到處都是紛爭
[00:01:12.700 --> 00:01:15.380]  到處都是仇恨
[00:01:15.380 --> 00:01:16.840]  兄姊妹
[00:01:16.840 --> 00:01:24.700]  聖經上說 在幕後的日子 人的愛心要漸漸冷淡
[00:01:24.700 --> 00:01:28.920]  所以在這一個充滿了暴力紛爭的世代
[00:01:28.920 --> 00:01:32.040]  人的愛心越來越冷淡的時候
[00:01:32.040 --> 00:01:34.580]  教會更是要成為一個愛的教會
[00:01:34.580 --> 00:01:38.000]  Amen
[00:01:38.000 --> 00:01:41.540]  保羅在寫這個一幅所書的時候
[00:01:41.540 --> 00:01:45.540]  他所要講的就是教會這個主題
[00:01:45.540 --> 00:01:48.300]  我們花了72年的時間在講這個主題
[00:01:48.300 --> 00:01:49.460]  弟兄姊妹
[00:01:49.460 --> 00:01:50.880]  弟兄姊妹 Again
[00:01:50.880 --> 00:01:55.080]  今天的講台常常比較是消費者為中心的
[00:01:55.080 --> 00:01:56.200]  也就是說弟兄姊妹
[00:01:56.200 --> 00:01:58.660]  你今天你生病 你需要醫治
[00:01:58.660 --> 00:02:00.240]  你今天你的工作不順利
[00:02:00.240 --> 00:02:01.580]  上帝幫你找到工作
[00:02:01.580 --> 00:02:03.080]  你今天小孩子不乖
[00:02:03.080 --> 00:02:04.780]  上帝能夠改變他
[00:02:04.780 --> 00:02:07.540]  弟兄姊妹 我不是說這些信息不好
[00:02:07.540 --> 00:02:08.620]  這些需要的
[00:02:08.620 --> 00:02:10.840]  因為我們每一個人都面臨到這麼多的難處
[00:02:10.840 --> 00:02:11.840]  對不對
[00:02:11.840 --> 00:02:14.040]  但是請你不要忘記一件事情
[00:02:14.040 --> 00:02:17.080]  上帝的心意是在教會
[00:02:17.080 --> 00:02:22.840]  而你我聚在一起就是教會
[00:02:22.840 --> 00:02:24.580]  我們常常聽到中國人講一句話說
[00:02:24.580 --> 00:02:29.340]  沒有國 哪有家
[00:02:29.340 --> 00:02:31.040]  是不是
[00:02:31.040 --> 00:02:33.160]  誰會去想到國
[00:02:33.160 --> 00:02:36.380]  一定先想到自己家
[00:02:36.380 --> 00:02:37.580]  同樣的
[00:02:37.580 --> 00:02:39.120]  很多時候我們基督徒
[00:02:39.120 --> 00:02:40.960]  我們一定會想到是自己的問題
[00:02:40.960 --> 00:02:43.840]  自己的家 了不起了
[00:02:43.840 --> 00:02:46.780]  有多少人會想到教會
