
[00:00:00.000 --> 00:00:01.640]  都想大家去想一想
[00:00:01.640 --> 00:00:05.400]  其實在培中這裡的聚會崇拜
[00:00:05.400 --> 00:00:08.360]  應該出席崇拜聚會的弟兄姊妹
[00:00:08.360 --> 00:00:12.160]  都應該是會回來培中的成長班
[00:00:12.160 --> 00:00:17.200]  想你想一下在你所屬的成長班裡面
[00:00:17.200 --> 00:00:20.240]  有哪些是你所認識的
[00:00:20.240 --> 00:00:22.440]  可能你是很少接觸的
[00:00:22.440 --> 00:00:24.800]  甚至不太留意他的
[00:00:24.800 --> 00:00:27.640]  你知不知道他的近況是怎樣呢?
[00:00:29.120 --> 00:00:31.120]  你會說「吓?你都問?」
[00:00:31.120 --> 00:00:33.280]  既然是很少接觸
[00:00:33.280 --> 00:00:34.640]  沒什麼留意的話
[00:00:34.640 --> 00:00:36.520]  當然不知道他怎樣了
[00:00:36.520 --> 00:00:38.920]  是喔,似乎是很正常
[00:00:38.920 --> 00:00:45.960]  對於在我們這個屬靈的家裡認識的對象
[00:00:45.960 --> 00:00:47.880]  認識的弟兄姊妹
[00:00:47.880 --> 00:00:50.760]  可能真的有一些我們會很熟
[00:00:50.760 --> 00:00:52.680]  我們會很多時候有接觸
[00:00:52.680 --> 00:00:55.000]  但是對於一些不熟的
[00:00:55.000 --> 00:00:57.200]  我們可能是沒什麼去認識
[00:00:58.480 --> 00:01:02.240]  那麼我就從一些統計數字裡面
[00:01:02.240 --> 00:01:03.080]  讓我們看到
[00:01:03.080 --> 00:01:04.680]  到了今年的八月底
[00:01:04.680 --> 00:01:08.240]  不同的成長班
[00:01:08.240 --> 00:01:10.320]  或者不同年齡群的成長班
[00:01:10.320 --> 00:01:13.560]  那個參與人數和去年的比較
[00:01:13.560 --> 00:01:16.040]  那麼這個
[00:01:16.040 --> 00:01:18.480]  集中看青少年
[00:01:18.480 --> 00:01:19.680]  那麼
[00:01:19.680 --> 00:01:23.760]  由今年年初到今年的平均
[00:01:23.760 --> 00:01:25.720]  少年的出席是117
[00:01:25.720 --> 00:01:28.000]  青年就是368
[00:01:28.600 --> 00:01:31.200]  那麼比起上一年那個平均數字
[00:01:31.200 --> 00:01:36.080]  就是相對有下跌的趨勢
[00:01:36.080 --> 00:01:38.840]  那就是說
