
[00:00:00.000 --> 00:00:24.000]  (水聲)
[00:00:24.000 --> 00:00:30.000]  為什麼這個情景,這麼似曾相識?
[00:00:30.000 --> 00:00:35.000]  在哪裡好像遇見過一樣呢?
[00:00:35.000 --> 00:00:39.000]  我是西門,你們不認識我不要緊
[00:00:39.000 --> 00:00:43.000]  但你們一定會認識我的主,我的老師
[00:00:43.000 --> 00:00:46.000]  他叫耶穌,他很出名的
[00:00:46.000 --> 00:00:49.000]  很多人都很喜歡聽他講道
[00:00:49.000 --> 00:00:57.000]  而且他更加是我們以色列人期望神所差派的救主尼塞亞
[00:00:57.000 --> 00:01:01.000]  我記得就在這個地方
[00:01:01.000 --> 00:01:05.000]  加利利海,有人叫做提比利亞海
[00:01:05.000 --> 00:01:09.000]  就在這個地方,不單止這個地方是我成長
[00:01:09.000 --> 00:01:13.000]  是我工作,是我維生的地方
[00:01:13.000 --> 00:01:18.000]  更加對我來說,這個地方就是我遇見我的主耶穌的地方
[00:01:18.000 --> 00:01:22.000]  他呼召我,我記得當時是這樣的
[00:01:22.000 --> 00:01:29.000]  有一晚我和我弟弟德烈和我一對好兄弟朋友約翰和雅各
[00:01:29.000 --> 00:01:33.000]  一起好像平時一樣,晚上出去打魚
[00:01:33.000 --> 00:01:36.000]  其實當晚不太順利,整晚都打不到什麼
[00:01:36.000 --> 00:01:41.000]  於是像現在這樣,剛剛天亮出來了
[00:01:41.000 --> 00:01:46.000]  我們就打算將船駛回上岸,然後就駛網
[00:01:46.000 --> 00:01:52.000]  然後就打算回家休息一下,吃點東西就算了
[00:01:52.000 --> 00:01:57.000]  誰知道很多人來,原來就是這個耶穌
[00:01:57.000 --> 00:02:00.000]  很多人跟著他,要聽他講道
[00:02:00.000 --> 00:02:03.000]  最特別的是,耶穌走過來我那裡
[00:02:03.000 --> 00:02:08.000]  他說,他想用我的船坐在上面,向著眾人講道
[00:02:08.000 --> 00:02:12.000]  我當然好,這麼榮耀,這麼榮耀的一件事
[00:02:12.000 --> 00:02:15.000]  耶穌用我的船,我和我的主隨便用吧
[00:02:15.000 --> 00:02:20.000]  他就上了我的船,其他群眾就像大家一樣
[00:02:20.000 --> 00:02:26.000]  坐在岸邊,好精神,好專心,聽耶穌講道
[00:02:26.000 --> 00:02:29.000]  耶穌講道,一點也不悶,不會睡覺的
[00:02:29.000 --> 00:02:33.000]  耶穌講道,好精彩,又令人覺得好鼓勵
[00:02:33.000 --> 00:02:37.000]  但有時又令我們責心,我們要悔改歸向神
[00:02:37.000 --> 00:02:45.000]  非常之好,不過那天,最令我難忘的不是那邊道
[00:02:45.000 --> 00:02:49.000]  是講完道之後,人群開始散去
[00:02:49.000 --> 00:02:52.000]  耶穌轉身向我講
[00:02:52.000 --> 00:02:59.000]  他說,西門,將船開到水深之處,下望打魚
[00:02:59.000 --> 00:03:09.000]  我心想,老師,我很尊敬你,但嘉利利海沒有漁夫日頭打魚
[00:03:09.000 --> 00:03:13.000]  夜晚下望,魚才見不到,才捉到魚
[00:03:13.000 --> 00:03:19.000]  我們整晚都在努力,我們打了這麼久,一條魚都打不到
[00:03:19.000 --> 00:03:24.000]  他們再拿船出去打魚,我們那時又餓,又累
[00:03:24.000 --> 00:03:28.000]  聽說他講道雖然精彩,但也要吃東西
[00:03:28.000 --> 00:03:36.000]  所以我心想,而且,耶穌,我知道祢從小就學爸爸去做木匠
[00:03:36.000 --> 00:03:39.000]  鬥我的漁船,沒有祢那麼厲害
[00:03:39.000 --> 00:03:43.000]  講打魚,祢不要外行人管外行人
[00:03:43.000 --> 00:03:48.000]  不過,始終耶穌也是我們很尊敬的主
[00:03:48.000 --> 00:03:51.000]  算了,就當應酬祂
[00:03:51.000 --> 00:03:57.000]  於是我呼召我的兄弟,拿些網過來,我們再出去
[00:03:57.000 --> 00:04:02.000]  於是我們就上了船,再一次拿我們的網
[00:04:02.000 --> 00:04:07.000]  就聽著耶穌所講,去到稍為水深的地方
[00:04:07.000 --> 00:04:10.000]  老實講,我也是敷衍的
[00:04:10.000 --> 00:04:13.000]  好吧,耶穌說要殺網,我就殺了
[00:04:13.000 --> 00:04:22.000]  唉,為什麼這麼重,網這麼重,快點幫忙
[00:04:22.000 --> 00:04:30.000]  哇,好多魚,不單止我們一艘船,還要我們兩艘船一起把網魚拿上船
[00:04:30.000 --> 00:04:32.000]  哇,好厲害,好多魚
[00:04:32.000 --> 00:04:36.000]  竟然廣武魚多到我人生沒見過這麼大魚,這麼大網魚
[00:04:36.000 --> 00:04:43.000]  最神奇的就是網沒有破,船沒有沉,好厲害
[00:04:43.000 --> 00:04:49.000]  但是我的焦點不在網魚那裡
[00:04:49.000 --> 00:04:59.000]  為什麼這樣,為什麼這個不懂得打魚的人竟然好像這麼神跡
[00:04:59.000 --> 00:05:03.000]  我對耶穌是不是小信呢,我是不是有點自大
[00:05:03.000 --> 00:05:06.000]  大家知不知道我的心情
