
[00:00:00.000 --> 00:00:00.920]  頂尖小妹晚安
[00:00:00.920 --> 00:00:10.760]  今日去到分享訊息去到我們YNWA最後一講
[00:00:10.760 --> 00:00:14.840]  我想講曾經我最近嘅唔好耐應該
[00:00:14.840 --> 00:00:18.180]  唔夠一個月我同一個朋友去傾開計呀分享
[00:00:18.180 --> 00:00:20.740]  講到一個嘅睇法唔知有冇聽過
[00:00:20.740 --> 00:00:26.360]  教會呢就其實冇乜咗冇乜話冇咗邊個唔得嘅
[00:00:26.360 --> 00:00:27.640]  你冇聽過呢樣嘢
[00:00:28.680 --> 00:00:33.560]  即係教會其實冇咗冇咗事但有啲人可能會離開教會
[00:00:33.560 --> 00:00:36.360]  因為佢各樣嘅原因啦工作移民或者乜嘢
[00:00:36.360 --> 00:00:41.720]  冇咗邊個都冇冇話冇冇咗邊個都唔得嘅咁你可唔可以聽過呢樣嘢
[00:00:41.720 --> 00:00:43.520]  咁我哋傾開呢樣嘢
[00:00:43.520 --> 00:00:45.320]  咁我哋其實兩個都唔係好同意嘅
[00:00:45.320 --> 00:00:50.680]  潘霍華呢曾經去講嗰句咁樣嘅說話
[00:00:50.680 --> 00:00:54.520]  佢話呢佢話
[00:00:54.520 --> 00:00:57.080]  He who loves the community
[00:00:57.080 --> 00:00:58.360]  Destroyed
[00:00:58.880 --> 00:00:59.400]  Community
[00:00:59.400 --> 00:01:01.200]  He who loves
[00:01:01.200 --> 00:01:03.740]  the brethren
[00:01:03.740 --> 00:01:06.560]  Builds community
[00:01:06.560 --> 00:01:09.120]  好有意思嘅一句說話
[00:01:09.120 --> 00:01:14.500]  邊一個
[00:01:14.500 --> 00:01:17.840]  好在意嗰個群體嘅呢
[00:01:17.840 --> 00:01:20.680]  就會傷
[00:01:20.680 --> 00:01:24.480]  而返如果
[00:01:25.240 --> 00:01:31.380]  邊一個好重視好愛嗰啲嘅群體裏面嘅弟兄當然包括姐妹呢
[00:01:31.380 --> 00:01:34.200]  就會建立嗰個群體
[00:01:34.200 --> 00:01:38.560]  好有意思嘅一句說話
[00:01:38.560 --> 00:01:43.420]  Community係代表緊
[00:01:43.420 --> 00:01:45.720]  Caring
[00:01:45.720 --> 00:01:47.520]  Care啲乜嘢呢
[00:01:47.520 --> 00:01:48.800]  唔係個群體
[00:01:48.800 --> 00:01:50.580]  係care
[00:01:50.580 --> 00:01:54.160]  for the people就係嗰啲每一個參與個群體嘅人
[00:01:54.420 --> 00:01:56.480]  所以你冇聽上個禮拜
[00:01:56.480 --> 00:01:57.760]  嗰篇到呀
[00:01:57.760 --> 00:01:59.800]  嗰四個係咩字呀
[00:01:59.800 --> 00:02:07.480]  Care嘛你仲記唔記得嗰隻move 仲記唔記得C代表咩呀
[00:02:07.480 --> 00:02:08.240]  ARE
[00:02:08.240 --> 00:02:11.320]  C係courage係咪
[00:02:11.320 --> 00:02:13.360]  A呢陪伴
[00:02:13.360 --> 00:02:14.900]  R呢
[00:02:14.900 --> 00:02:17.720]  一齊嘅去彼此嘅去認罪
[00:02:17.720 --> 00:02:19.000]  E
[00:02:19.000 --> 00:02:20.540]  互相嘅鼓勵
[00:02:20.540 --> 00:02:22.840]  Care
[00:02:23.360 --> 00:02:25.660]  當我哋去care個群體嘅時候
[00:02:25.660 --> 00:02:27.200]  我哋就去建立個群體
[00:02:27.200 --> 00:02:34.120]  去到最後一講呢亦都係下個series我哋其實連住我同我男朋友傾嘅時候
[00:02:34.120 --> 00:02:35.140]  下個
[00:02:35.140 --> 00:02:37.180]  下個系列呢其實我哋就講衝突
[00:02:37.180 --> 00:02:42.820]  咁就調下咁各樣原因呀咁下個禮拜又係我講啦
[00:02:42.820 --> 00:02:45.380]  咁我祈禱嘅時候呢就我好想
[00:02:45.380 --> 00:02:48.440]  將今晚嘅訊息呢同下個禮拜嘅訊息呢
[00:02:48.440 --> 00:02:50.240]  成為咗
[00:02:50.240 --> 00:02:52.540]  一個大訊息嘅兩部分
[00:02:54.080 --> 00:02:56.380]  用人物
[00:02:56.380 --> 00:02:58.440]  嚟到去分享今晚嘅訊息
[00:02:58.440 --> 00:03:01.000]  分享啲咩呢我哋先讀經先
[00:03:01.000 --> 00:03:02.520]  咁我就
[00:03:02.520 --> 00:03:05.080]  你揀咗呢少年行傳12章
[00:03:05.080 --> 00:03:11.480]  咁我哋就一齊一一齊男女男男女啦即係男大兄讀單節啦即係我啲傳統教會大嗰啲
[00:03:11.480 --> 00:03:15.080]  大兄讀單字我姐妹讀雙字啦唔使讀咁辛苦啫
[00:03:15.080 --> 00:03:17.640]  讀曬不過呢我想留意呢就係
[00:03:17.640 --> 00:03:20.440]  你一度讀嘅時候你估下今晚分享邊一個人物
[00:03:20.700 --> 00:03:23.520]  咁我哋一一準備啦睇咩到呀
[00:03:23.520 --> 00:03:27.100]  睇到呀嘛
[00:03:27.100 --> 00:03:29.160]  後生㗎嘛你哋應該係嘛
[00:03:29.160 --> 00:03:30.440]  ok喎
[00:03:30.440 --> 00:03:33.240]  睇下你得唔得呀
[00:03:33.240 --> 00:03:36.060]  即刻醒咗話本來頭先好睏㗎
[00:03:36.060 --> 00:03:39.400]  第一單節係大兄讀先喇好唔好預備
[00:03:39.400 --> 00:03:40.400]  123
[00:03:51.680 --> 00:03:53.200]  你管嘅事
[00:04:21.680 --> 00:04:25.520]  將要提出嚟嘅事嘅
[00:04:51.680 --> 00:04:53.200]  你嘅事
[00:05:21.680 --> 00:05:23.200]  就係我嘅嘅嘅事
[00:05:51.680 --> 00:05:53.200]  我哋就係你嘅事
