
[00:00:00.000 --> 00:00:02.800]  前一個星期 依蓮在這裡說
[00:00:02.800 --> 00:00:04.960]  末世的預演
[00:00:04.960 --> 00:00:06.560]  我想很多人都有印象
[00:00:06.560 --> 00:00:10.000]  就是今天社會的情況
[00:00:10.000 --> 00:00:12.000]  甚至是全世界各地的情況
[00:00:12.000 --> 00:00:14.800]  都好像是一個預告那樣
[00:00:14.800 --> 00:00:18.480]  就是主的回來的日子又近
[00:00:18.480 --> 00:00:21.360]  所以我們很多事情都在演習
[00:00:21.360 --> 00:00:23.760]  用這個角度去看我們現在的生活
[00:00:23.760 --> 00:00:25.680]  我們正在面對的一切
[00:00:25.680 --> 00:00:30.080]  我自己就想剛剛好那個年度的編排
[00:00:30.080 --> 00:00:33.120]  就是在說在這個災難裡面
[00:00:33.120 --> 00:00:36.960]  我們怎樣去面對這個世界的境況
[00:00:36.960 --> 00:00:39.600]  今天的編排就是說到啟示錄
[00:00:39.600 --> 00:00:43.040]  一個我們比較少說的一卷書
[00:00:43.040 --> 00:00:45.680]  除了第二章第三章會說得多一點之外
[00:00:45.680 --> 00:00:47.520]  其他我們會少一點說的
[00:00:47.520 --> 00:00:52.080]  今天嘗試說一下中間的第十二章
[00:00:53.520 --> 00:00:56.720]  啟示錄是一卷很特別的書
[00:00:56.720 --> 00:01:06.160]  它是說用一種我們平時很少用的方法
[00:01:06.160 --> 00:01:08.080]  去溝通的一種模式
[00:01:08.080 --> 00:01:11.360]  我們稱之為天啟文學
[00:01:11.360 --> 00:01:14.160]  意思就是從天啟示我們
[00:01:14.160 --> 00:01:17.680]  這種方式如果你讀啟示錄
[00:01:17.680 --> 00:01:19.200]  你會有一個發現
[00:01:19.200 --> 00:01:22.400]  它有很多圖畫很多動畫
[00:01:22.400 --> 00:01:24.640]  現在用現代的術語來說
[00:01:24.640 --> 00:01:27.680]  有很多的圖像有很多的圖畫
[00:01:27.680 --> 00:01:30.640]  動畫有很多的顏色
[00:01:30.640 --> 00:01:32.640]  紅色黑色白色灰色
[00:01:32.640 --> 00:01:34.640]  有很多的動物
[00:01:34.640 --> 00:01:36.640]  有馬有龍有蛇
[00:01:36.640 --> 00:01:38.640]  有很多獸
[00:01:38.640 --> 00:01:40.640]  海獸地獸怪獸
[00:01:40.640 --> 00:01:43.120]  也是有很多的數字
[00:01:43.120 --> 00:01:45.120]  除了七之外是最多的
[00:01:45.120 --> 00:01:46.640]  還有很多其他數字
[00:01:46.640 --> 00:01:53.760]  四、一載二載三載、一載二載半載
[00:01:53.760 --> 00:01:56.320]  十四萬四千
[00:01:56.320 --> 00:01:58.320]  很多很多
[00:01:58.320 --> 00:02:05.760]  這種方式其實是一種象徵意味極之濃厚的方式
[00:02:05.760 --> 00:02:11.280]  有人會認為寫啟示錄的約翰
[00:02:11.280 --> 00:02:17.280]  面對當日羅馬政權的迫害
[00:02:17.280 --> 00:02:20.800]  因為他們很多人都要在小丫小丫的地方
[00:02:20.800 --> 00:02:23.040]  即是那些親間教會的地方
[00:02:23.040 --> 00:02:28.880]  經歷一種被迫要去敬拜皇帝的迫害情況
[00:02:28.880 --> 00:02:33.680]  所以他們用這種方式去跟弟兄姊妹溝通
[00:02:33.680 --> 00:02:38.800]  講一件事讀的人又明又似明又似不明
[00:02:38.800 --> 00:02:45.600]  所以也是當日兩約之間其中一種很主要的問題
[00:02:45.600 --> 00:02:49.600]  他們用當日的方式去看
[00:02:49.600 --> 00:02:52.320]  今天我們看有很多東西我們猜測一下
[00:02:52.320 --> 00:02:54.320]  甚至有時候會讀到入座
[00:02:54.320 --> 00:02:56.320]  猜錯了
